force,displacement,judge,name
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
-0.1,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0.1,0,0,Diamond Avalon - 34000 Actuations
-0.1,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0,0,Diamond Avalon - 34000 Actuations
0,0.005,0,Diamond Avalon - 34000 Actuations
0,0.005,0,Diamond Avalon - 34000 Actuations
0,0.005,0,Diamond Avalon - 34000 Actuations
0,0.01,0,Diamond Avalon - 34000 Actuations
0,0.015,0,Diamond Avalon - 34000 Actuations
0,0.02,0,Diamond Avalon - 34000 Actuations
1.7,0.025,0,Diamond Avalon - 34000 Actuations
6.8,0.03,0,Diamond Avalon - 34000 Actuations
10.9,0.035,0,Diamond Avalon - 34000 Actuations
13.7,0.035,0,Diamond Avalon - 34000 Actuations
16,0.04,0,Diamond Avalon - 34000 Actuations
17.6,0.04,0,Diamond Avalon - 34000 Actuations
19.1,0.045,0,Diamond Avalon - 34000 Actuations
20.6,0.045,0,Diamond Avalon - 34000 Actuations
21.8,0.045,0,Diamond Avalon - 34000 Actuations
23.3,0.045,0,Diamond Avalon - 34000 Actuations
25.5,0.05,0,Diamond Avalon - 34000 Actuations
28.1,0.05,0,Diamond Avalon - 34000 Actuations
29.9,0.055,0,Diamond Avalon - 34000 Actuations
31.2,0.055,0,Diamond Avalon - 34000 Actuations
32.5,0.055,0,Diamond Avalon - 34000 Actuations
33.8,0.06,0,Diamond Avalon - 34000 Actuations
34.8,0.06,0,Diamond Avalon - 34000 Actuations
35.7,0.06,0,Diamond Avalon - 34000 Actuations
36.2,0.06,0,Diamond Avalon - 34000 Actuations
36.7,0.06,0,Diamond Avalon - 34000 Actuations
37.3,0.06,0,Diamond Avalon - 34000 Actuations
37.8,0.065,0,Diamond Avalon - 34000 Actuations
38.1,0.065,0,Diamond Avalon - 34000 Actuations
38.2,0.065,0,Diamond Avalon - 34000 Actuations
38.3,0.065,0,Diamond Avalon - 34000 Actuations
38.3,0.065,0,Diamond Avalon - 34000 Actuations
38.4,0.065,0,Diamond Avalon - 34000 Actuations
38.5,0.065,0,Diamond Avalon - 34000 Actuations
38.9,0.065,0,Diamond Avalon - 34000 Actuations
38.9,0.065,0,Diamond Avalon - 34000 Actuations
38.8,0.065,0,Diamond Avalon - 34000 Actuations
38.8,0.065,0,Diamond Avalon - 34000 Actuations
39,0.07,0,Diamond Avalon - 34000 Actuations
39.2,0.07,0,Diamond Avalon - 34000 Actuations
39.3,0.07,0,Diamond Avalon - 34000 Actuations
39.3,0.075,0,Diamond Avalon - 34000 Actuations
39.2,0.075,0,Diamond Avalon - 34000 Actuations
39.3,0.075,0,Diamond Avalon - 34000 Actuations
39.5,0.08,0,Diamond Avalon - 34000 Actuations
39.7,0.08,0,Diamond Avalon - 34000 Actuations
40,0.085,0,Diamond Avalon - 34000 Actuations
40,0.085,0,Diamond Avalon - 34000 Actuations
40,0.085,0,Diamond Avalon - 34000 Actuations
40,0.09,0,Diamond Avalon - 34000 Actuations
40.1,0.09,0,Diamond Avalon - 34000 Actuations
40.1,0.09,0,Diamond Avalon - 34000 Actuations
40.1,0.09,0,Diamond Avalon - 34000 Actuations
40.2,0.095,0,Diamond Avalon - 34000 Actuations
40.2,0.095,0,Diamond Avalon - 34000 Actuations
40.2,0.095,0,Diamond Avalon - 34000 Actuations
40.3,0.095,0,Diamond Avalon - 34000 Actuations
40.4,0.095,0,Diamond Avalon - 34000 Actuations
40.4,0.095,0,Diamond Avalon - 34000 Actuations
40.3,0.095,0,Diamond Avalon - 34000 Actuations
40.3,0.1,0,Diamond Avalon - 34000 Actuations
40.4,0.1,0,Diamond Avalon - 34000 Actuations
40.5,0.1,0,Diamond Avalon - 34000 Actuations
40.4,0.1,0,Diamond Avalon - 34000 Actuations
40.5,0.1,0,Diamond Avalon - 34000 Actuations
40.6,0.1,0,Diamond Avalon - 34000 Actuations
40.5,0.1,0,Diamond Avalon - 34000 Actuations
40.5,0.1,0,Diamond Avalon - 34000 Actuations
40.6,0.1,0,Diamond Avalon - 34000 Actuations
40.5,0.1,0,Diamond Avalon - 34000 Actuations
40.7,0.105,0,Diamond Avalon - 34000 Actuations
40.8,0.105,0,Diamond Avalon - 34000 Actuations
40.9,0.105,0,Diamond Avalon - 34000 Actuations
41,0.11,0,Diamond Avalon - 34000 Actuations
41,0.11,0,Diamond Avalon - 34000 Actuations
40.9,0.115,0,Diamond Avalon - 34000 Actuations
40.9,0.12,0,Diamond Avalon - 34000 Actuations
41,0.125,0,Diamond Avalon - 34000 Actuations
40.9,0.13,0,Diamond Avalon - 34000 Actuations
40.7,0.135,0,Diamond Avalon - 34000 Actuations
40.7,0.135,0,Diamond Avalon - 34000 Actuations
40.7,0.14,0,Diamond Avalon - 34000 Actuations
40.7,0.14,0,Diamond Avalon - 34000 Actuations
40.5,0.145,0,Diamond Avalon - 34000 Actuations
40.5,0.145,0,Diamond Avalon - 34000 Actuations
40.4,0.145,0,Diamond Avalon - 34000 Actuations
40.6,0.145,0,Diamond Avalon - 34000 Actuations
40.6,0.15,0,Diamond Avalon - 34000 Actuations
40.5,0.15,0,Diamond Avalon - 34000 Actuations
40.5,0.15,0,Diamond Avalon - 34000 Actuations
40.7,0.15,0,Diamond Avalon - 34000 Actuations
40.6,0.15,0,Diamond Avalon - 34000 Actuations
40.6,0.155,0,Diamond Avalon - 34000 Actuations
40.7,0.155,0,Diamond Avalon - 34000 Actuations
40.7,0.155,0,Diamond Avalon - 34000 Actuations
40.6,0.16,0,Diamond Avalon - 34000 Actuations
40.8,0.16,0,Diamond Avalon - 34000 Actuations
40.7,0.165,0,Diamond Avalon - 34000 Actuations
40.6,0.165,0,Diamond Avalon - 34000 Actuations
40.5,0.165,0,Diamond Avalon - 34000 Actuations
40.5,0.165,0,Diamond Avalon - 34000 Actuations
40.6,0.165,0,Diamond Avalon - 34000 Actuations
40.7,0.17,0,Diamond Avalon - 34000 Actuations
40.8,0.17,0,Diamond Avalon - 34000 Actuations
40.7,0.17,0,Diamond Avalon - 34000 Actuations
40.7,0.17,0,Diamond Avalon - 34000 Actuations
40.7,0.175,0,Diamond Avalon - 34000 Actuations
40.7,0.175,0,Diamond Avalon - 34000 Actuations
40.7,0.175,0,Diamond Avalon - 34000 Actuations
40.7,0.175,0,Diamond Avalon - 34000 Actuations
40.6,0.18,0,Diamond Avalon - 34000 Actuations
40.6,0.18,0,Diamond Avalon - 34000 Actuations
40.6,0.18,0,Diamond Avalon - 34000 Actuations
40.6,0.18,0,Diamond Avalon - 34000 Actuations
40.7,0.18,0,Diamond Avalon - 34000 Actuations
40.7,0.185,0,Diamond Avalon - 34000 Actuations
40.6,0.185,0,Diamond Avalon - 34000 Actuations
40.7,0.185,0,Diamond Avalon - 34000 Actuations
40.7,0.19,0,Diamond Avalon - 34000 Actuations
40.7,0.19,0,Diamond Avalon - 34000 Actuations
40.7,0.19,0,Diamond Avalon - 34000 Actuations
40.7,0.195,0,Diamond Avalon - 34000 Actuations
40.7,0.195,0,Diamond Avalon - 34000 Actuations
40.7,0.2,0,Diamond Avalon - 34000 Actuations
40.7,0.2,0,Diamond Avalon - 34000 Actuations
40.7,0.205,0,Diamond Avalon - 34000 Actuations
40.8,0.21,0,Diamond Avalon - 34000 Actuations
40.8,0.21,0,Diamond Avalon - 34000 Actuations
40.6,0.21,0,Diamond Avalon - 34000 Actuations
40.6,0.215,0,Diamond Avalon - 34000 Actuations
40.6,0.215,0,Diamond Avalon - 34000 Actuations
40.6,0.215,0,Diamond Avalon - 34000 Actuations
40.6,0.22,0,Diamond Avalon - 34000 Actuations
40.7,0.22,0,Diamond Avalon - 34000 Actuations
40.6,0.22,0,Diamond Avalon - 34000 Actuations
40.6,0.22,0,Diamond Avalon - 34000 Actuations
40.6,0.225,0,Diamond Avalon - 34000 Actuations
40.5,0.225,0,Diamond Avalon - 34000 Actuations
40.6,0.225,0,Diamond Avalon - 34000 Actuations
40.6,0.225,0,Diamond Avalon - 34000 Actuations
40.5,0.225,0,Diamond Avalon - 34000 Actuations
40.6,0.23,0,Diamond Avalon - 34000 Actuations
40.7,0.23,0,Diamond Avalon - 34000 Actuations
40.8,0.23,0,Diamond Avalon - 34000 Actuations
40.8,0.235,0,Diamond Avalon - 34000 Actuations
40.8,0.235,0,Diamond Avalon - 34000 Actuations
40.8,0.24,0,Diamond Avalon - 34000 Actuations
40.9,0.24,0,Diamond Avalon - 34000 Actuations
41,0.245,0,Diamond Avalon - 34000 Actuations
