force,displacement,judge,name
-0.1,0,0,Drinkey Green
0.1,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0.1,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.005,0,Drinkey Green
0,0.01,0,Drinkey Green
0,0.01,0,Drinkey Green
0,0.01,0,Drinkey Green
0,0.01,0,Drinkey Green
0,0.015,0,Drinkey Green
0,0.015,0,Drinkey Green
0,0.015,0,Drinkey Green
0,0.02,0,Drinkey Green
0,0.02,0,Drinkey Green
0,0.025,0,Drinkey Green
0,0.03,0,Drinkey Green
0,0.03,0,Drinkey Green
0,0.035,0,Drinkey Green
0,0.04,0,Drinkey Green
0,0.045,0,Drinkey Green
0,0.045,0,Drinkey Green
0,0.05,0,Drinkey Green
0,0.055,0,Drinkey Green
0,0.055,0,Drinkey Green
0,0.06,0,Drinkey Green
0,0.065,0,Drinkey Green
0,0.065,0,Drinkey Green
0,0.07,0,Drinkey Green
0,0.075,0,Drinkey Green
0,0.075,0,Drinkey Green
0,0.08,0,Drinkey Green
0,0.08,0,Drinkey Green
0,0.085,0,Drinkey Green
0,0.09,0,Drinkey Green
0,0.09,0,Drinkey Green
0,0.095,0,Drinkey Green
0,0.1,0,Drinkey Green
0,0.105,0,Drinkey Green
0,0.11,0,Drinkey Green
0,0.115,0,Drinkey Green
0,0.12,0,Drinkey Green
0,0.12,0,Drinkey Green
0,0.125,0,Drinkey Green
0,0.13,0,Drinkey Green
0,0.135,0,Drinkey Green
0,0.14,0,Drinkey Green
0,0.145,0,Drinkey Green
0,0.145,0,Drinkey Green
0,0.15,0,Drinkey Green
0,0.155,0,Drinkey Green
0,0.16,0,Drinkey Green
0,0.165,0,Drinkey Green
0,0.165,0,Drinkey Green
0,0.17,0,Drinkey Green
0,0.175,0,Drinkey Green
0,0.18,0,Drinkey Green
0,0.185,0,Drinkey Green
0,0.19,0,Drinkey Green
0,0.19,0,Drinkey Green
0,0.195,0,Drinkey Green
0,0.2,0,Drinkey Green
0,0.205,0,Drinkey Green
2.8,0.21,0,Drinkey Green
7.3,0.215,0,Drinkey Green
11,0.22,0,Drinkey Green
13.2,0.225,0,Drinkey Green
15.1,0.23,0,Drinkey Green
16.4,0.23,0,Drinkey Green
17.4,0.235,0,Drinkey Green
18,0.235,0,Drinkey Green
18.9,0.24,0,Drinkey Green
19.5,0.24,0,Drinkey Green
20.3,0.245,0,Drinkey Green
20.9,0.245,0,Drinkey Green
22.1,0.25,0,Drinkey Green
24.2,0.255,0,Drinkey Green
26.3,0.255,0,Drinkey Green
28.6,0.26,0,Drinkey Green
30.7,0.26,0,Drinkey Green
32.7,0.265,0,Drinkey Green
35.3,0.265,0,Drinkey Green
37.4,0.27,0,Drinkey Green
39.2,0.27,0,Drinkey Green
40.3,0.27,0,Drinkey Green
41,0.275,0,Drinkey Green
41.8,0.275,0,Drinkey Green
42.6,0.28,0,Drinkey Green
42.8,0.28,0,Drinkey Green
42.8,0.285,0,Drinkey Green
42.8,0.285,0,Drinkey Green
42.8,0.29,0,Drinkey Green
42.8,0.295,0,Drinkey Green
42.8,0.295,0,Drinkey Green
42.8,0.3,0,Drinkey Green
42.9,0.3,0,Drinkey Green
42.8,0.305,0,Drinkey Green
42.9,0.305,0,Drinkey Green
42.9,0.31,0,Drinkey Green
43,0.31,0,Drinkey Green
43,0.315,0,Drinkey Green
43,0.315,0,Drinkey Green
43,0.32,0,Drinkey Green
43.1,0.32,0,Drinkey Green
43.1,0.325,0,Drinkey Green
43.1,0.33,0,Drinkey Green
43.1,0.33,0,Drinkey Green
43.2,0.335,0,Drinkey Green
43.2,0.34,0,Drinkey Green
43.1,0.34,0,Drinkey Green
43.2,0.345,0,Drinkey Green
43.2,0.35,0,Drinkey Green
43.3,0.36,0,Drinkey Green
43.4,0.365,0,Drinkey Green
43.4,0.37,0,Drinkey Green
43.5,0.375,0,Drinkey Green
43.4,0.38,0,Drinkey Green
43.5,0.385,0,Drinkey Green
43.5,0.385,0,Drinkey Green
43.6,0.39,0,Drinkey Green
43.5,0.39,0,Drinkey Green
43.6,0.395,0,Drinkey Green
43.7,0.4,0,Drinkey Green
43.7,0.405,0,Drinkey Green
43.7,0.405,0,Drinkey Green
43.6,0.41,0,Drinkey Green
43.6,0.415,0,Drinkey Green
43.6,0.415,0,Drinkey Green
43.6,0.42,0,Drinkey Green
43.7,0.425,0,Drinkey Green
43.7,0.425,0,Drinkey Green
43.8,0.43,0,Drinkey Green
43.8,0.435,0,Drinkey Green
43.8,0.44,0,Drinkey Green
43.8,0.445,0,Drinkey Green
43.9,0.445,0,Drinkey Green
43.9,0.45,0,Drinkey Green
44,0.46,0,Drinkey Green
44,0.465,0,Drinkey Green
44,0.47,0,Drinkey Green
44,0.475,0,Drinkey Green
44.1,0.48,0,Drinkey Green
44.1,0.485,0,Drinkey Green
44.1,0.485,0,Drinkey Green
44.2,0.49,0,Drinkey Green
44.2,0.495,0,Drinkey Green
44.2,0.5,0,Drinkey Green
44.3,0.5,0,Drinkey Green
44.3,0.505,0,Drinkey Green
44.3,0.51,0,Drinkey Green
44.4,0.51,0,Drinkey Green
44.4,0.515,0,Drinkey Green
44.4,0.52,0,Drinkey Green
44.4,0.525,0,Drinkey Green
44.4,0.525,0,Drinkey Green
44.4,0.53,0,Drinkey Green
44.4,0.53,0,Drinkey Green
44.4,0.535,0,Drinkey Green
44.5,0.54,0,Drinkey Green
44.5,0.545,0,Drinkey Green
44.5,0.545,0,Drinkey Green
44.5,0.55,0,Drinkey Green
44.6,0.555,0,Drinkey Green
44.6,0.56,0,Drinkey Green
44.6,0.56,0,Drinkey Green
44.7,0.565,0,Drinkey Green
44.6,0.57,0,Drinkey Green
44.7,0.57,0,Drinkey Green
44.7,0.575,0,Drinkey Green
44.8,0.58,0,Drinkey Green
44.8,0.585,0,Drinkey Green
44.8,0.585,0,Drinkey Green
44.8,0.59,0,Drinkey Green
44.9,0.595,0,Drinkey Green
44.9,0.595,0,Drinkey Green
44.9,0.6,0,Drinkey Green
44.9,0.605,0,Drinkey Green
44.9,0.605,0,Drinkey Green
45,0.61,0,Drinkey Green
45,0.615,0,Drinkey Green
45.1,0.62,0,Drinkey Green
45.1,0.625,0,Drinkey Green
45.1,0.63,0,Drinkey Green
45.2,0.635,0,Drinkey Green
45.2,0.64,0,Drinkey Green
45.1,0.645,0,Drinkey Green
45.2,0.645,0,Drinkey Green
45.3,0.65,0,Drinkey Green
45.3,0.655,0,Drinkey Green
45.3,0.66,0,Drinkey Green
45.4,0.66,0,Drinkey Green
45.4,0.665,0,Drinkey Green
45.4,0.665,0,Drinkey Green
45.4,0.67,0,Drinkey Green
45.4,0.67,0,Drinkey Green
45.4,0.675,0,Drinkey Green
45.4,0.68,0,Drinkey Green
45.5,0.68,0,Drinkey Green
45.5,0.685,0,Drinkey Green
45.5,0.69,0,Drinkey Green
45.6,0.695,0,Drinkey Green
45.6,0.7,0,Drinkey Green
45.6,0.705,0,Drinkey Green
45.6,0.705,0,Drinkey Green
45.6,0.71,0,Drinkey Green
45.7,0.71,0,Drinkey Green
45.7,0.715,0,Drinkey Green
45.8,0.72,0,Drinkey Green
45.8,0.72,0,Drinkey Green
45.8,0.725,0,Drinkey Green
45.8,0.725,0,Drinkey Green
45.9,0.73,0,Drinkey Green
45.9,0.735,0,Drinkey Green
45.9,0.735,0,Drinkey Green
45.9,0.74,0,Drinkey Green
46,0.745,0,Drinkey Green
46,0.745,0,Drinkey Green
46,0.75,0,Drinkey Green
46,0.755,0,Drinkey Green
46,0.755,0,Drinkey Green
46,0.76,0,Drinkey Green
46,0.765,0,Drinkey Green
46.1,0.765,0,Drinkey Green
46.1,0.77,0,Drinkey Green
46.2,0.775,0,Drinkey Green
46.4,0.78,0,Drinkey Green
46.5,0.785,0,Drinkey Green
46.7,0.79,0,Drinkey Green
46.8,0.795,0,Drinkey Green
46.8,0.8,0,Drinkey Green
46.9,0.805,0,Drinkey Green
46.9,0.81,0,Drinkey Green
46.9,0.815,0,Drinkey Green
46.9,0.82,0,Drinkey Green
46.9,0.825,0,Drinkey Green
46.9,0.825,0,Drinkey Green
46.9,0.83,0,Drinkey Green
46.8,0.83,0,Drinkey Green
46.8,0.835,0,Drinkey Green
46.8,0.84,0,Drinkey Green
46.9,0.84,0,Drinkey Green
46.9,0.845,0,Drinkey Green
46.9,0.85,0,Drinkey Green
46.9,0.855,0,Drinkey Green
46.9,0.86,0,Drinkey Green
