force,displacement,judge,name
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0,0,Durock POM Linear
0,0.005,0,Durock POM Linear
0,0.005,0,Durock POM Linear
0,0.005,0,Durock POM Linear
0,0.01,0,Durock POM Linear
0,0.01,0,Durock POM Linear
0,0.02,0,Durock POM Linear
0,0.02,0,Durock POM Linear
0,0.025,0,Durock POM Linear
0,0.03,0,Durock POM Linear
0,0.035,0,Durock POM Linear
1.2,0.04,0,Durock POM Linear
4.3,0.04,0,Durock POM Linear
7.1,0.045,0,Durock POM Linear
9.8,0.05,0,Durock POM Linear
12.9,0.05,0,Durock POM Linear
16,0.055,0,Durock POM Linear
18.3,0.055,0,Durock POM Linear
19.6,0.06,0,Durock POM Linear
20.1,0.06,0,Durock POM Linear
21.8,0.06,0,Durock POM Linear
25.4,0.065,0,Durock POM Linear
27.2,0.065,0,Durock POM Linear
29.5,0.07,0,Durock POM Linear
28.6,0.075,0,Durock POM Linear
30,0.075,0,Durock POM Linear
31.3,0.08,0,Durock POM Linear
32.1,0.08,0,Durock POM Linear
33.2,0.085,0,Durock POM Linear
34.4,0.09,0,Durock POM Linear
35.3,0.09,0,Durock POM Linear
36.1,0.095,0,Durock POM Linear
34.1,0.1,0,Durock POM Linear
34.2,0.1,0,Durock POM Linear
34.6,0.105,0,Durock POM Linear
34.4,0.105,0,Durock POM Linear
34.4,0.11,0,Durock POM Linear
34.5,0.11,0,Durock POM Linear
34.5,0.115,0,Durock POM Linear
34.4,0.115,0,Durock POM Linear
34.4,0.12,0,Durock POM Linear
34.3,0.125,0,Durock POM Linear
34.1,0.125,0,Durock POM Linear
34,0.13,0,Durock POM Linear
33.8,0.13,0,Durock POM Linear
33.9,0.135,0,Durock POM Linear
33.9,0.135,0,Durock POM Linear
33.8,0.14,0,Durock POM Linear
33.7,0.14,0,Durock POM Linear
33.7,0.145,0,Durock POM Linear
33.7,0.145,0,Durock POM Linear
33.6,0.15,0,Durock POM Linear
33.6,0.15,0,Durock POM Linear
33.5,0.155,0,Durock POM Linear
33.5,0.155,0,Durock POM Linear
33.5,0.16,0,Durock POM Linear
33.5,0.16,0,Durock POM Linear
33.5,0.165,0,Durock POM Linear
33.4,0.17,0,Durock POM Linear
33.5,0.17,0,Durock POM Linear
33.5,0.175,0,Durock POM Linear
33.5,0.18,0,Durock POM Linear
33.3,0.185,0,Durock POM Linear
33.2,0.19,0,Durock POM Linear
33.3,0.19,0,Durock POM Linear
33.3,0.195,0,Durock POM Linear
33.3,0.2,0,Durock POM Linear
33.3,0.2,0,Durock POM Linear
33.4,0.205,0,Durock POM Linear
33.3,0.21,0,Durock POM Linear
33.2,0.21,0,Durock POM Linear
33.3,0.215,0,Durock POM Linear
33.3,0.22,0,Durock POM Linear
33.2,0.22,0,Durock POM Linear
33.2,0.225,0,Durock POM Linear
33.3,0.23,0,Durock POM Linear
33.3,0.23,0,Durock POM Linear
33.3,0.235,0,Durock POM Linear
33.3,0.235,0,Durock POM Linear
33.3,0.235,0,Durock POM Linear
33.3,0.24,0,Durock POM Linear
33.3,0.245,0,Durock POM Linear
33.3,0.245,0,Durock POM Linear
33.2,0.25,0,Durock POM Linear
33.2,0.25,0,Durock POM Linear
33.3,0.255,0,Durock POM Linear
33.2,0.255,0,Durock POM Linear
33.2,0.26,0,Durock POM Linear
33.2,0.26,0,Durock POM Linear
33.2,0.265,0,Durock POM Linear
33.3,0.265,0,Durock POM Linear
33.3,0.265,0,Durock POM Linear
33.2,0.27,0,Durock POM Linear
33.1,0.27,0,Durock POM Linear
33.2,0.27,0,Durock POM Linear
33.2,0.27,0,Durock POM Linear
33.3,0.275,0,Durock POM Linear
33.3,0.275,0,Durock POM Linear
33.3,0.28,0,Durock POM Linear
33.2,0.28,0,Durock POM Linear
33.2,0.28,0,Durock POM Linear
33.3,0.285,0,Durock POM Linear
33.4,0.285,0,Durock POM Linear
33.4,0.29,0,Durock POM Linear
33.4,0.29,0,Durock POM Linear
33.4,0.29,0,Durock POM Linear
33.4,0.295,0,Durock POM Linear
33.4,0.295,0,Durock POM Linear
33.4,0.295,0,Durock POM Linear
33.5,0.3,0,Durock POM Linear
33.5,0.3,0,Durock POM Linear
33.5,0.305,0,Durock POM Linear
33.6,0.305,0,Durock POM Linear
33.6,0.305,0,Durock POM Linear
33.6,0.31,0,Durock POM Linear
33.6,0.31,0,Durock POM Linear
