force,displacement,judge,name
0.1,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0,0,Durock Sea Glass Green
0,0.005,0,Durock Sea Glass Green
0,0.005,0,Durock Sea Glass Green
0,0.005,0,Durock Sea Glass Green
0,0.01,0,Durock Sea Glass Green
0,0.015,0,Durock Sea Glass Green
2.7,0.02,0,Durock Sea Glass Green
7.5,0.025,0,Durock Sea Glass Green
12.3,0.03,0,Durock Sea Glass Green
15.1,0.035,0,Durock Sea Glass Green
17.2,0.035,0,Durock Sea Glass Green
18.5,0.04,0,Durock Sea Glass Green
19.7,0.04,0,Durock Sea Glass Green
20.8,0.04,0,Durock Sea Glass Green
21.5,0.04,0,Durock Sea Glass Green
22,0.04,0,Durock Sea Glass Green
22.5,0.045,0,Durock Sea Glass Green
23.2,0.045,0,Durock Sea Glass Green
23.7,0.045,0,Durock Sea Glass Green
24.2,0.045,0,Durock Sea Glass Green
24.9,0.045,0,Durock Sea Glass Green
26,0.045,0,Durock Sea Glass Green
27.1,0.05,0,Durock Sea Glass Green
28.1,0.05,0,Durock Sea Glass Green
29.1,0.05,0,Durock Sea Glass Green
29,0.055,0,Durock Sea Glass Green
28.5,0.055,0,Durock Sea Glass Green
28.5,0.055,0,Durock Sea Glass Green
28.8,0.06,0,Durock Sea Glass Green
28.9,0.06,0,Durock Sea Glass Green
29.2,0.06,0,Durock Sea Glass Green
29.4,0.06,0,Durock Sea Glass Green
29.8,0.065,0,Durock Sea Glass Green
29.9,0.065,0,Durock Sea Glass Green
30.2,0.065,0,Durock Sea Glass Green
30.5,0.065,0,Durock Sea Glass Green
30.7,0.07,0,Durock Sea Glass Green
30.8,0.07,0,Durock Sea Glass Green
31.1,0.07,0,Durock Sea Glass Green
31.2,0.07,0,Durock Sea Glass Green
31.4,0.075,0,Durock Sea Glass Green
31.6,0.075,0,Durock Sea Glass Green
31.8,0.075,0,Durock Sea Glass Green
31.9,0.075,0,Durock Sea Glass Green
32,0.075,0,Durock Sea Glass Green
32.3,0.075,0,Durock Sea Glass Green
32.4,0.08,0,Durock Sea Glass Green
32.4,0.08,0,Durock Sea Glass Green
32.5,0.08,0,Durock Sea Glass Green
32.6,0.08,0,Durock Sea Glass Green
32.4,0.08,0,Durock Sea Glass Green
32,0.085,0,Durock Sea Glass Green
31.9,0.085,0,Durock Sea Glass Green
32,0.085,0,Durock Sea Glass Green
31.9,0.085,0,Durock Sea Glass Green
31.6,0.085,0,Durock Sea Glass Green
31.8,0.085,0,Durock Sea Glass Green
32,0.09,0,Durock Sea Glass Green
31.3,0.09,0,Durock Sea Glass Green
31.2,0.095,0,Durock Sea Glass Green
31,0.095,0,Durock Sea Glass Green
30.8,0.1,0,Durock Sea Glass Green
30.4,0.1,0,Durock Sea Glass Green
30.5,0.1,0,Durock Sea Glass Green
30.3,0.105,0,Durock Sea Glass Green
30.2,0.105,0,Durock Sea Glass Green
30.2,0.105,0,Durock Sea Glass Green
30,0.11,0,Durock Sea Glass Green
29.9,0.11,0,Durock Sea Glass Green
29.8,0.115,0,Durock Sea Glass Green
29.7,0.115,0,Durock Sea Glass Green
29.5,0.115,0,Durock Sea Glass Green
29.5,0.12,0,Durock Sea Glass Green
29.3,0.12,0,Durock Sea Glass Green
29.4,0.125,0,Durock Sea Glass Green
29.3,0.125,0,Durock Sea Glass Green
29.1,0.13,0,Durock Sea Glass Green
29.1,0.13,0,Durock Sea Glass Green
29,0.13,0,Durock Sea Glass Green
29,0.135,0,Durock Sea Glass Green
28.9,0.135,0,Durock Sea Glass Green
29,0.135,0,Durock Sea Glass Green
29,0.135,0,Durock Sea Glass Green
29.1,0.14,0,Durock Sea Glass Green
29.1,0.14,0,Durock Sea Glass Green
29.1,0.14,0,Durock Sea Glass Green
29.1,0.14,0,Durock Sea Glass Green
29,0.145,0,Durock Sea Glass Green
29,0.145,0,Durock Sea Glass Green
28.9,0.15,0,Durock Sea Glass Green
28.9,0.15,0,Durock Sea Glass Green
29,0.15,0,Durock Sea Glass Green
28.9,0.155,0,Durock Sea Glass Green
28.8,0.155,0,Durock Sea Glass Green
28.8,0.155,0,Durock Sea Glass Green
28.8,0.155,0,Durock Sea Glass Green
28.9,0.16,0,Durock Sea Glass Green
29,0.16,0,Durock Sea Glass Green
29.1,0.16,0,Durock Sea Glass Green
29,0.165,0,Durock Sea Glass Green
28.9,0.165,0,Durock Sea Glass Green
28.9,0.17,0,Durock Sea Glass Green
29,0.17,0,Durock Sea Glass Green
28.9,0.175,0,Durock Sea Glass Green
28.9,0.175,0,Durock Sea Glass Green
28.9,0.18,0,Durock Sea Glass Green
28.9,0.185,0,Durock Sea Glass Green
28.8,0.185,0,Durock Sea Glass Green
28.9,0.19,0,Durock Sea Glass Green
28.8,0.19,0,Durock Sea Glass Green
28.7,0.195,0,Durock Sea Glass Green
28.7,0.195,0,Durock Sea Glass Green
28.8,0.195,0,Durock Sea Glass Green
28.8,0.2,0,Durock Sea Glass Green
28.8,0.2,0,Durock Sea Glass Green
28.9,0.2,0,Durock Sea Glass Green
28.7,0.2,0,Durock Sea Glass Green
28.8,0.205,0,Durock Sea Glass Green
28.9,0.205,0,Durock Sea Glass Green
28.9,0.205,0,Durock Sea Glass Green
28.9,0.205,0,Durock Sea Glass Green
28.9,0.205,0,Durock Sea Glass Green
28.9,0.21,0,Durock Sea Glass Green
28.9,0.21,0,Durock Sea Glass Green
28.9,0.21,0,Durock Sea Glass Green
