force,displacement,judge,name
0,0,0,Durock Sea Glass White
0.1,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
-0.1,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0,0,Durock Sea Glass White
0,0.005,0,Durock Sea Glass White
0,0.005,0,Durock Sea Glass White
0,0.005,0,Durock Sea Glass White
0,0.01,0,Durock Sea Glass White
0,0.01,0,Durock Sea Glass White
0,0.015,0,Durock Sea Glass White
0,0.02,0,Durock Sea Glass White
0,0.02,0,Durock Sea Glass White
0,0.025,0,Durock Sea Glass White
0,0.025,0,Durock Sea Glass White
0,0.03,0,Durock Sea Glass White
0,0.03,0,Durock Sea Glass White
0.2,0.03,0,Durock Sea Glass White
1.6,0.035,0,Durock Sea Glass White
3.6,0.035,0,Durock Sea Glass White
5.4,0.04,0,Durock Sea Glass White
7,0.04,0,Durock Sea Glass White
8.6,0.04,0,Durock Sea Glass White
10.3,0.045,0,Durock Sea Glass White
11.6,0.045,0,Durock Sea Glass White
12.9,0.045,0,Durock Sea Glass White
14.1,0.045,0,Durock Sea Glass White
15.1,0.05,0,Durock Sea Glass White
16.1,0.05,0,Durock Sea Glass White
17.3,0.05,0,Durock Sea Glass White
18.6,0.05,0,Durock Sea Glass White
20.1,0.055,0,Durock Sea Glass White
21.3,0.055,0,Durock Sea Glass White
22.8,0.055,0,Durock Sea Glass White
24.3,0.055,0,Durock Sea Glass White
25.8,0.06,0,Durock Sea Glass White
27.1,0.06,0,Durock Sea Glass White
28,0.06,0,Durock Sea Glass White
27.6,0.065,0,Durock Sea Glass White
27.6,0.065,0,Durock Sea Glass White
27.9,0.065,0,Durock Sea Glass White
28.3,0.07,0,Durock Sea Glass White
28.8,0.07,0,Durock Sea Glass White
29.1,0.075,0,Durock Sea Glass White
28.9,0.075,0,Durock Sea Glass White
28.8,0.08,0,Durock Sea Glass White
28.8,0.08,0,Durock Sea Glass White
28.7,0.085,0,Durock Sea Glass White
28.6,0.085,0,Durock Sea Glass White
28.6,0.09,0,Durock Sea Glass White
28.5,0.09,0,Durock Sea Glass White
28.4,0.095,0,Durock Sea Glass White
28.4,0.095,0,Durock Sea Glass White
28.3,0.1,0,Durock Sea Glass White
28.3,0.1,0,Durock Sea Glass White
28.2,0.105,0,Durock Sea Glass White
28.1,0.11,0,Durock Sea Glass White
