force,displacement,judge,name
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0,0,Epomaker Wisteria Tactile
0,0.005,0,Epomaker Wisteria Tactile
0,0.005,0,Epomaker Wisteria Tactile
0,0.005,0,Epomaker Wisteria Tactile
0,0.005,0,Epomaker Wisteria Tactile
0,0.005,0,Epomaker Wisteria Tactile
0,0.01,0,Epomaker Wisteria Tactile
0,0.01,0,Epomaker Wisteria Tactile
0,0.015,0,Epomaker Wisteria Tactile
0,0.015,0,Epomaker Wisteria Tactile
0,0.015,0,Epomaker Wisteria Tactile
0,0.015,0,Epomaker Wisteria Tactile
0,0.02,0,Epomaker Wisteria Tactile
0,0.02,0,Epomaker Wisteria Tactile
0,0.02,0,Epomaker Wisteria Tactile
0,0.02,0,Epomaker Wisteria Tactile
0,0.025,0,Epomaker Wisteria Tactile
0,0.025,0,Epomaker Wisteria Tactile
0,0.025,0,Epomaker Wisteria Tactile
0,0.03,0,Epomaker Wisteria Tactile
0,0.03,0,Epomaker Wisteria Tactile
0,0.03,0,Epomaker Wisteria Tactile
0,0.035,0,Epomaker Wisteria Tactile
0.8,0.04,0,Epomaker Wisteria Tactile
4,0.04,0,Epomaker Wisteria Tactile
8.7,0.045,0,Epomaker Wisteria Tactile
14.5,0.05,0,Epomaker Wisteria Tactile
20.3,0.06,0,Epomaker Wisteria Tactile
27.1,0.065,0,Epomaker Wisteria Tactile
33,0.075,0,Epomaker Wisteria Tactile
35.5,0.08,0,Epomaker Wisteria Tactile
37.1,0.09,0,Epomaker Wisteria Tactile
38.4,0.1,0,Epomaker Wisteria Tactile
39.7,0.11,0,Epomaker Wisteria Tactile
40.7,0.12,0,Epomaker Wisteria Tactile
41.1,0.135,0,Epomaker Wisteria Tactile
41.9,0.145,0,Epomaker Wisteria Tactile
42.5,0.155,0,Epomaker Wisteria Tactile
42.8,0.165,0,Epomaker Wisteria Tactile
43.3,0.17,0,Epomaker Wisteria Tactile
43.6,0.175,0,Epomaker Wisteria Tactile
44,0.18,0,Epomaker Wisteria Tactile
44.5,0.19,0,Epomaker Wisteria Tactile
44.9,0.195,0,Epomaker Wisteria Tactile
45.4,0.195,0,Epomaker Wisteria Tactile
45.9,0.2,0,Epomaker Wisteria Tactile
46.4,0.205,0,Epomaker Wisteria Tactile
46.9,0.21,0,Epomaker Wisteria Tactile
47.4,0.215,0,Epomaker Wisteria Tactile
47.8,0.22,0,Epomaker Wisteria Tactile
48.1,0.225,0,Epomaker Wisteria Tactile
48.4,0.23,0,Epomaker Wisteria Tactile
48.6,0.235,0,Epomaker Wisteria Tactile
48.8,0.235,0,Epomaker Wisteria Tactile
48.9,0.24,0,Epomaker Wisteria Tactile
49.2,0.24,0,Epomaker Wisteria Tactile
49.3,0.245,0,Epomaker Wisteria Tactile
49.4,0.245,0,Epomaker Wisteria Tactile
49.6,0.25,0,Epomaker Wisteria Tactile
49.7,0.25,0,Epomaker Wisteria Tactile
49.9,0.255,0,Epomaker Wisteria Tactile
50,0.255,0,Epomaker Wisteria Tactile
50.2,0.26,0,Epomaker Wisteria Tactile
50.4,0.265,0,Epomaker Wisteria Tactile
50.7,0.265,0,Epomaker Wisteria Tactile
