force,displacement,judge,name
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0,0,Equalz Blueberry Toffee
0,0.005,0,Equalz Blueberry Toffee
0,0.005,0,Equalz Blueberry Toffee
0,0.005,0,Equalz Blueberry Toffee
0,0.005,0,Equalz Blueberry Toffee
0,0.005,0,Equalz Blueberry Toffee
0,0.01,0,Equalz Blueberry Toffee
0,0.01,0,Equalz Blueberry Toffee
0,0.01,0,Equalz Blueberry Toffee
0,0.015,0,Equalz Blueberry Toffee
0,0.015,0,Equalz Blueberry Toffee
0,0.015,0,Equalz Blueberry Toffee
0,0.02,0,Equalz Blueberry Toffee
0,0.025,0,Equalz Blueberry Toffee
0,0.03,0,Equalz Blueberry Toffee
0,0.035,0,Equalz Blueberry Toffee
0,0.04,0,Equalz Blueberry Toffee
0,0.045,0,Equalz Blueberry Toffee
0,0.05,0,Equalz Blueberry Toffee
0,0.055,0,Equalz Blueberry Toffee
0,0.06,0,Equalz Blueberry Toffee
1.5,0.07,0,Equalz Blueberry Toffee
6.4,0.075,0,Equalz Blueberry Toffee
11.3,0.08,0,Equalz Blueberry Toffee
15.5,0.085,0,Equalz Blueberry Toffee
15.5,0.09,0,Equalz Blueberry Toffee
17.7,0.095,0,Equalz Blueberry Toffee
21.4,0.1,0,Equalz Blueberry Toffee
23.8,0.1,0,Equalz Blueberry Toffee
26.8,0.105,0,Equalz Blueberry Toffee
30.4,0.105,0,Equalz Blueberry Toffee
36.6,0.115,0,Equalz Blueberry Toffee
