force,displacement,judge,name
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
0,0,0,FADOG Absolute Purple
-0.1,0,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.005,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.01,0,FADOG Absolute Purple
0,0.015,0,FADOG Absolute Purple
0,0.015,0,FADOG Absolute Purple
0,0.015,0,FADOG Absolute Purple
0,0.02,0,FADOG Absolute Purple
0,0.02,0,FADOG Absolute Purple
0,0.025,0,FADOG Absolute Purple
0,0.025,0,FADOG Absolute Purple
0,0.03,0,FADOG Absolute Purple
0,0.03,0,FADOG Absolute Purple
1.8,0.035,0,FADOG Absolute Purple
4.5,0.035,0,FADOG Absolute Purple
6.7,0.04,0,FADOG Absolute Purple
8.8,0.04,0,FADOG Absolute Purple
10.7,0.04,0,FADOG Absolute Purple
12.8,0.045,0,FADOG Absolute Purple
14.8,0.045,0,FADOG Absolute Purple
16.4,0.05,0,FADOG Absolute Purple
17.9,0.05,0,FADOG Absolute Purple
19.4,0.05,0,FADOG Absolute Purple
21.1,0.055,0,FADOG Absolute Purple
22.8,0.055,0,FADOG Absolute Purple
24.2,0.055,0,FADOG Absolute Purple
25.2,0.06,0,FADOG Absolute Purple
26.2,0.06,0,FADOG Absolute Purple
27.1,0.06,0,FADOG Absolute Purple
28.2,0.065,0,FADOG Absolute Purple
27.5,0.065,0,FADOG Absolute Purple
27.2,0.07,0,FADOG Absolute Purple
27.8,0.07,0,FADOG Absolute Purple
29.1,0.075,0,FADOG Absolute Purple
30.1,0.08,0,FADOG Absolute Purple
31,0.08,0,FADOG Absolute Purple
31.2,0.08,0,FADOG Absolute Purple
31.5,0.085,0,FADOG Absolute Purple
31.3,0.085,0,FADOG Absolute Purple
31,0.09,0,FADOG Absolute Purple
31.1,0.09,0,FADOG Absolute Purple
31.1,0.095,0,FADOG Absolute Purple
31,0.095,0,FADOG Absolute Purple
31,0.1,0,FADOG Absolute Purple
31,0.1,0,FADOG Absolute Purple
30.8,0.105,0,FADOG Absolute Purple
30.9,0.105,0,FADOG Absolute Purple
30.9,0.11,0,FADOG Absolute Purple
30.9,0.11,0,FADOG Absolute Purple
30.9,0.11,0,FADOG Absolute Purple
30.9,0.115,0,FADOG Absolute Purple
30.9,0.115,0,FADOG Absolute Purple
30.8,0.115,0,FADOG Absolute Purple
30.9,0.115,0,FADOG Absolute Purple
31,0.12,0,FADOG Absolute Purple
31,0.12,0,FADOG Absolute Purple
31,0.125,0,FADOG Absolute Purple
31,0.125,0,FADOG Absolute Purple
31,0.125,0,FADOG Absolute Purple
30.9,0.13,0,FADOG Absolute Purple
31,0.13,0,FADOG Absolute Purple
31,0.135,0,FADOG Absolute Purple
30.9,0.14,0,FADOG Absolute Purple
30.8,0.14,0,FADOG Absolute Purple
30.7,0.145,0,FADOG Absolute Purple
30.5,0.145,0,FADOG Absolute Purple
30.5,0.15,0,FADOG Absolute Purple
30.4,0.15,0,FADOG Absolute Purple
30.4,0.15,0,FADOG Absolute Purple
30.5,0.15,0,FADOG Absolute Purple
30.6,0.155,0,FADOG Absolute Purple
30.6,0.155,0,FADOG Absolute Purple
30.6,0.155,0,FADOG Absolute Purple
30.5,0.16,0,FADOG Absolute Purple
30.4,0.16,0,FADOG Absolute Purple
30.4,0.165,0,FADOG Absolute Purple
30.6,0.165,0,FADOG Absolute Purple
30.6,0.165,0,FADOG Absolute Purple
30.6,0.17,0,FADOG Absolute Purple
30.4,0.17,0,FADOG Absolute Purple
30.5,0.175,0,FADOG Absolute Purple
30.5,0.175,0,FADOG Absolute Purple
30.4,0.175,0,FADOG Absolute Purple
30.5,0.18,0,FADOG Absolute Purple
30.5,0.18,0,FADOG Absolute Purple
30.5,0.185,0,FADOG Absolute Purple
30.4,0.185,0,FADOG Absolute Purple
30.3,0.19,0,FADOG Absolute Purple
30.3,0.19,0,FADOG Absolute Purple
30.4,0.195,0,FADOG Absolute Purple
30.4,0.195,0,FADOG Absolute Purple
30.4,0.2,0,FADOG Absolute Purple
30.3,0.2,0,FADOG Absolute Purple
30.3,0.205,0,FADOG Absolute Purple
30.3,0.205,0,FADOG Absolute Purple
30.3,0.21,0,FADOG Absolute Purple
30.3,0.21,0,FADOG Absolute Purple
30.2,0.215,0,FADOG Absolute Purple
30.2,0.215,0,FADOG Absolute Purple
30.2,0.22,0,FADOG Absolute Purple
30.2,0.225,0,FADOG Absolute Purple
30.2,0.225,0,FADOG Absolute Purple
30.2,0.23,0,FADOG Absolute Purple
30.1,0.23,0,FADOG Absolute Purple
30.1,0.235,0,FADOG Absolute Purple
30,0.235,0,FADOG Absolute Purple
30.1,0.24,0,FADOG Absolute Purple
30,0.245,0,FADOG Absolute Purple
30,0.245,0,FADOG Absolute Purple
30,0.25,0,FADOG Absolute Purple
30,0.25,0,FADOG Absolute Purple
30,0.255,0,FADOG Absolute Purple
30,0.255,0,FADOG Absolute Purple
29.9,0.26,0,FADOG Absolute Purple
29.9,0.26,0,FADOG Absolute Purple
29.9,0.265,0,FADOG Absolute Purple
29.9,0.265,0,FADOG Absolute Purple
29.9,0.265,0,FADOG Absolute Purple
29.9,0.27,0,FADOG Absolute Purple
29.9,0.27,0,FADOG Absolute Purple
