force,displacement,judge,name
-0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
-0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
0.2,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
-0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
-0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
-0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0,0,0,FLCMMK Box Rosa Pink
-0.1,0,0,FLCMMK Box Rosa Pink
-0.1,0,0,FLCMMK Box Rosa Pink
0.1,0,0,FLCMMK Box Rosa Pink
0.1,0.005,0,FLCMMK Box Rosa Pink
0,0.005,0,FLCMMK Box Rosa Pink
-0.1,0.005,0,FLCMMK Box Rosa Pink
0,0.005,0,FLCMMK Box Rosa Pink
0.1,0.01,0,FLCMMK Box Rosa Pink
0,0.01,0,FLCMMK Box Rosa Pink
0,0.015,0,FLCMMK Box Rosa Pink
0.1,0.02,0,FLCMMK Box Rosa Pink
1.5,0.02,0,FLCMMK Box Rosa Pink
3.7,0.025,0,FLCMMK Box Rosa Pink
5.9,0.03,0,FLCMMK Box Rosa Pink
8,0.03,0,FLCMMK Box Rosa Pink
10.1,0.035,0,FLCMMK Box Rosa Pink
12.3,0.04,0,FLCMMK Box Rosa Pink
14.5,0.04,0,FLCMMK Box Rosa Pink
16.7,0.045,0,FLCMMK Box Rosa Pink
19,0.045,0,FLCMMK Box Rosa Pink
21.1,0.05,0,FLCMMK Box Rosa Pink
23,0.05,0,FLCMMK Box Rosa Pink
25.1,0.055,0,FLCMMK Box Rosa Pink
26.2,0.055,0,FLCMMK Box Rosa Pink
26,0.06,0,FLCMMK Box Rosa Pink
26.1,0.06,0,FLCMMK Box Rosa Pink
26,0.065,0,FLCMMK Box Rosa Pink
26.1,0.065,0,FLCMMK Box Rosa Pink
26,0.07,0,FLCMMK Box Rosa Pink
26,0.07,0,FLCMMK Box Rosa Pink
26.1,0.075,0,FLCMMK Box Rosa Pink
26.1,0.075,0,FLCMMK Box Rosa Pink
26.2,0.075,0,FLCMMK Box Rosa Pink
26.1,0.08,0,FLCMMK Box Rosa Pink
26.2,0.08,0,FLCMMK Box Rosa Pink
26.2,0.08,0,FLCMMK Box Rosa Pink
26.3,0.085,0,FLCMMK Box Rosa Pink
26.3,0.085,0,FLCMMK Box Rosa Pink
26.3,0.085,0,FLCMMK Box Rosa Pink
26.3,0.09,0,FLCMMK Box Rosa Pink
26.3,0.09,0,FLCMMK Box Rosa Pink
26.3,0.095,0,FLCMMK Box Rosa Pink
26.2,0.1,0,FLCMMK Box Rosa Pink
26.2,0.105,0,FLCMMK Box Rosa Pink
26.3,0.11,0,FLCMMK Box Rosa Pink
26.2,0.11,0,FLCMMK Box Rosa Pink
26.3,0.115,0,FLCMMK Box Rosa Pink
26.4,0.12,0,FLCMMK Box Rosa Pink
26.4,0.12,0,FLCMMK Box Rosa Pink
26.3,0.125,0,FLCMMK Box Rosa Pink
26.4,0.13,0,FLCMMK Box Rosa Pink
26.4,0.135,0,FLCMMK Box Rosa Pink
26.4,0.14,0,FLCMMK Box Rosa Pink
26.5,0.14,0,FLCMMK Box Rosa Pink
26.6,0.145,0,FLCMMK Box Rosa Pink
26.6,0.145,0,FLCMMK Box Rosa Pink
26.5,0.15,0,FLCMMK Box Rosa Pink
26.6,0.15,0,FLCMMK Box Rosa Pink
26.6,0.155,0,FLCMMK Box Rosa Pink
26.6,0.155,0,FLCMMK Box Rosa Pink
26.7,0.16,0,FLCMMK Box Rosa Pink
26.7,0.165,0,FLCMMK Box Rosa Pink
26.8,0.165,0,FLCMMK Box Rosa Pink
26.8,0.17,0,FLCMMK Box Rosa Pink
26.8,0.175,0,FLCMMK Box Rosa Pink
26.7,0.18,0,FLCMMK Box Rosa Pink
26.7,0.185,0,FLCMMK Box Rosa Pink
26.7,0.19,0,FLCMMK Box Rosa Pink
26.7,0.195,0,FLCMMK Box Rosa Pink
26.7,0.2,0,FLCMMK Box Rosa Pink
26.8,0.205,0,FLCMMK Box Rosa Pink
26.8,0.21,0,FLCMMK Box Rosa Pink
26.9,0.215,0,FLCMMK Box Rosa Pink
27,0.22,0,FLCMMK Box Rosa Pink
27.1,0.225,0,FLCMMK Box Rosa Pink
27.1,0.23,0,FLCMMK Box Rosa Pink
27.1,0.235,0,FLCMMK Box Rosa Pink
27.1,0.24,0,FLCMMK Box Rosa Pink
27.1,0.245,0,FLCMMK Box Rosa Pink
27.1,0.25,0,FLCMMK Box Rosa Pink
27.3,0.255,0,FLCMMK Box Rosa Pink
27.3,0.26,0,FLCMMK Box Rosa Pink
27.5,0.265,0,FLCMMK Box Rosa Pink
27.5,0.27,0,FLCMMK Box Rosa Pink
27.6,0.275,0,FLCMMK Box Rosa Pink
27.5,0.275,0,FLCMMK Box Rosa Pink
27.6,0.28,0,FLCMMK Box Rosa Pink
27.7,0.285,0,FLCMMK Box Rosa Pink
27.7,0.29,0,FLCMMK Box Rosa Pink
27.8,0.29,0,FLCMMK Box Rosa Pink
27.7,0.295,0,FLCMMK Box Rosa Pink
27.8,0.3,0,FLCMMK Box Rosa Pink
27.8,0.305,0,FLCMMK Box Rosa Pink
27.7,0.305,0,FLCMMK Box Rosa Pink
27.8,0.31,0,FLCMMK Box Rosa Pink
27.8,0.315,0,FLCMMK Box Rosa Pink
27.8,0.315,0,FLCMMK Box Rosa Pink
27.8,0.32,0,FLCMMK Box Rosa Pink
27.8,0.325,0,FLCMMK Box Rosa Pink
27.7,0.325,0,FLCMMK Box Rosa Pink
27.6,0.33,0,FLCMMK Box Rosa Pink
27.6,0.335,0,FLCMMK Box Rosa Pink
27.6,0.335,0,FLCMMK Box Rosa Pink
27.6,0.34,0,FLCMMK Box Rosa Pink
27.7,0.34,0,FLCMMK Box Rosa Pink
27.7,0.345,0,FLCMMK Box Rosa Pink
27.7,0.345,0,FLCMMK Box Rosa Pink
27.7,0.35,0,FLCMMK Box Rosa Pink
27.7,0.355,0,FLCMMK Box Rosa Pink
27.8,0.355,0,FLCMMK Box Rosa Pink
27.8,0.36,0,FLCMMK Box Rosa Pink
27.9,0.365,0,FLCMMK Box Rosa Pink
27.8,0.365,0,FLCMMK Box Rosa Pink
28,0.365,0,FLCMMK Box Rosa Pink
28,0.37,0,FLCMMK Box Rosa Pink
28.1,0.37,0,FLCMMK Box Rosa Pink
28,0.37,0,FLCMMK Box Rosa Pink
27.9,0.37,0,FLCMMK Box Rosa Pink
28.2,0.37,0,FLCMMK Box Rosa Pink
28.4,0.375,0,FLCMMK Box Rosa Pink
28.3,0.375,0,FLCMMK Box Rosa Pink
28.2,0.38,0,FLCMMK Box Rosa Pink
27.9,0.38,0,FLCMMK Box Rosa Pink
28.2,0.38,0,FLCMMK Box Rosa Pink
28.3,0.385,0,FLCMMK Box Rosa Pink
28.3,0.385,0,FLCMMK Box Rosa Pink
28.2,0.39,0,FLCMMK Box Rosa Pink
28.4,0.39,0,FLCMMK Box Rosa Pink
28.4,0.39,0,FLCMMK Box Rosa Pink
28.4,0.395,0,FLCMMK Box Rosa Pink
28.3,0.395,0,FLCMMK Box Rosa Pink
28.4,0.395,0,FLCMMK Box Rosa Pink
28.5,0.4,0,FLCMMK Box Rosa Pink
28.5,0.405,0,FLCMMK Box Rosa Pink
28.5,0.41,0,FLCMMK Box Rosa Pink
28.6,0.41,0,FLCMMK Box Rosa Pink
28.6,0.41,0,FLCMMK Box Rosa Pink
28.7,0.41,0,FLCMMK Box Rosa Pink
28.7,0.415,0,FLCMMK Box Rosa Pink
28.9,0.415,0,FLCMMK Box Rosa Pink
28.7,0.42,0,FLCMMK Box Rosa Pink
28.6,0.425,0,FLCMMK Box Rosa Pink
28.5,0.43,0,FLCMMK Box Rosa Pink
28.5,0.435,0,FLCMMK Box Rosa Pink
28.5,0.44,0,FLCMMK Box Rosa Pink
28.7,0.44,0,FLCMMK Box Rosa Pink
28.7,0.44,0,FLCMMK Box Rosa Pink
28.9,0.44,0,FLCMMK Box Rosa Pink
28.9,0.445,0,FLCMMK Box Rosa Pink
28.9,0.445,0,FLCMMK Box Rosa Pink
28.9,0.445,0,FLCMMK Box Rosa Pink
29,0.45,0,FLCMMK Box Rosa Pink
29.1,0.45,0,FLCMMK Box Rosa Pink
29,0.45,0,FLCMMK Box Rosa Pink
29.1,0.455,0,FLCMMK Box Rosa Pink
29,0.455,0,FLCMMK Box Rosa Pink
29,0.46,0,FLCMMK Box Rosa Pink
29,0.465,0,FLCMMK Box Rosa Pink
29,0.465,0,FLCMMK Box Rosa Pink
29.1,0.47,0,FLCMMK Box Rosa Pink
29.1,0.475,0,FLCMMK Box Rosa Pink
29.1,0.48,0,FLCMMK Box Rosa Pink
29.1,0.485,0,FLCMMK Box Rosa Pink
29.2,0.485,0,FLCMMK Box Rosa Pink
29.2,0.49,0,FLCMMK Box Rosa Pink
29.3,0.495,0,FLCMMK Box Rosa Pink
29.2,0.5,0,FLCMMK Box Rosa Pink
29.2,0.505,0,FLCMMK Box Rosa Pink
29.3,0.515,0,FLCMMK Box Rosa Pink
29.3,0.52,0,FLCMMK Box Rosa Pink
29.5,0.53,0,FLCMMK Box Rosa Pink
29.7,0.535,0,FLCMMK Box Rosa Pink
29.9,0.54,0,FLCMMK Box Rosa Pink
29.6,0.55,0,FLCMMK Box Rosa Pink
29.7,0.555,0,FLCMMK Box Rosa Pink
29.8,0.565,0,FLCMMK Box Rosa Pink
29.9,0.575,0,FLCMMK Box Rosa Pink
29.9,0.58,0,FLCMMK Box Rosa Pink
30,0.585,0,FLCMMK Box Rosa Pink
30.2,0.59,0,FLCMMK Box Rosa Pink
30.2,0.595,0,FLCMMK Box Rosa Pink
30.2,0.6,0,FLCMMK Box Rosa Pink
30.2,0.605,0,FLCMMK Box Rosa Pink
30.4,0.61,0,FLCMMK Box Rosa Pink
30.4,0.615,0,FLCMMK Box Rosa Pink
30.5,0.615,0,FLCMMK Box Rosa Pink
30.4,0.625,0,FLCMMK Box Rosa Pink
30.5,0.63,0,FLCMMK Box Rosa Pink
30.5,0.635,0,FLCMMK Box Rosa Pink
30.7,0.645,0,FLCMMK Box Rosa Pink
30.9,0.65,0,FLCMMK Box Rosa Pink
30.9,0.655,0,FLCMMK Box Rosa Pink
30.8,0.665,0,FLCMMK Box Rosa Pink
30.6,0.67,0,FLCMMK Box Rosa Pink
30.7,0.675,0,FLCMMK Box Rosa Pink
30.6,0.68,0,FLCMMK Box Rosa Pink
30.8,0.69,0,FLCMMK Box Rosa Pink
30.9,0.695,0,FLCMMK Box Rosa Pink
31,0.7,0,FLCMMK Box Rosa Pink
31.1,0.705,0,FLCMMK Box Rosa Pink
31.2,0.71,0,FLCMMK Box Rosa Pink
31.3,0.715,0,FLCMMK Box Rosa Pink
31.4,0.72,0,FLCMMK Box Rosa Pink
31.5,0.725,0,FLCMMK Box Rosa Pink
31.6,0.725,0,FLCMMK Box Rosa Pink
31.6,0.73,0,FLCMMK Box Rosa Pink
31.6,0.735,0,FLCMMK Box Rosa Pink
31.5,0.735,0,FLCMMK Box Rosa Pink
31.6,0.74,0,FLCMMK Box Rosa Pink
31.7,0.745,0,FLCMMK Box Rosa Pink
31.7,0.745,0,FLCMMK Box Rosa Pink
31.7,0.75,0,FLCMMK Box Rosa Pink
31.7,0.75,0,FLCMMK Box Rosa Pink
31.8,0.755,0,FLCMMK Box Rosa Pink
31.8,0.755,0,FLCMMK Box Rosa Pink
31.9,0.76,0,FLCMMK Box Rosa Pink
31.9,0.765,0,FLCMMK Box Rosa Pink
32.1,0.765,0,FLCMMK Box Rosa Pink
32.1,0.77,0,FLCMMK Box Rosa Pink
32.1,0.77,0,FLCMMK Box Rosa Pink
32.1,0.775,0,FLCMMK Box Rosa Pink
32.2,0.78,0,FLCMMK Box Rosa Pink
32.2,0.78,0,FLCMMK Box Rosa Pink
32.2,0.785,0,FLCMMK Box Rosa Pink
32.3,0.79,0,FLCMMK Box Rosa Pink
32.1,0.79,0,FLCMMK Box Rosa Pink
32.2,0.795,0,FLCMMK Box Rosa Pink
32.2,0.8,0,FLCMMK Box Rosa Pink
32.2,0.8,0,FLCMMK Box Rosa Pink
32.2,0.805,0,FLCMMK Box Rosa Pink
32.1,0.81,0,FLCMMK Box Rosa Pink
32.2,0.81,0,FLCMMK Box Rosa Pink
32.2,0.815,0,FLCMMK Box Rosa Pink
32.3,0.815,0,FLCMMK Box Rosa Pink
32.4,0.82,0,FLCMMK Box Rosa Pink
32.5,0.82,0,FLCMMK Box Rosa Pink
32.5,0.825,0,FLCMMK Box Rosa Pink
32.5,0.825,0,FLCMMK Box Rosa Pink
32.6,0.83,0,FLCMMK Box Rosa Pink
32.7,0.83,0,FLCMMK Box Rosa Pink
32.6,0.83,0,FLCMMK Box Rosa Pink
32.6,0.835,0,FLCMMK Box Rosa Pink
32.6,0.835,0,FLCMMK Box Rosa Pink
32.7,0.84,0,FLCMMK Box Rosa Pink
32.6,0.84,0,FLCMMK Box Rosa Pink
32.6,0.845,0,FLCMMK Box Rosa Pink
32.6,0.845,0,FLCMMK Box Rosa Pink
32.6,0.85,0,FLCMMK Box Rosa Pink
32.6,0.85,0,FLCMMK Box Rosa Pink
32.7,0.855,0,FLCMMK Box Rosa Pink
32.8,0.855,0,FLCMMK Box Rosa Pink
32.8,0.86,0,FLCMMK Box Rosa Pink
32.8,0.86,0,FLCMMK Box Rosa Pink
32.8,0.865,0,FLCMMK Box Rosa Pink
32.7,0.865,0,FLCMMK Box Rosa Pink
32.7,0.865,0,FLCMMK Box Rosa Pink
32.8,0.87,0,FLCMMK Box Rosa Pink
32.8,0.87,0,FLCMMK Box Rosa Pink
32.9,0.875,0,FLCMMK Box Rosa Pink
32.9,0.875,0,FLCMMK Box Rosa Pink
33,0.88,0,FLCMMK Box Rosa Pink
32.9,0.88,0,FLCMMK Box Rosa Pink
32.9,0.88,0,FLCMMK Box Rosa Pink
32.9,0.885,0,FLCMMK Box Rosa Pink
33,0.885,0,FLCMMK Box Rosa Pink
33,0.89,0,FLCMMK Box Rosa Pink
33,0.89,0,FLCMMK Box Rosa Pink
33,0.895,0,FLCMMK Box Rosa Pink
33.1,0.895,0,FLCMMK Box Rosa Pink
33.1,0.895,0,FLCMMK Box Rosa Pink
33,0.9,0,FLCMMK Box Rosa Pink
33,0.9,0,FLCMMK Box Rosa Pink
33.1,0.905,0,FLCMMK Box Rosa Pink
33.1,0.905,0,FLCMMK Box Rosa Pink
33.2,0.91,0,FLCMMK Box Rosa Pink
33.1,0.91,0,FLCMMK Box Rosa Pink
33.1,0.915,0,FLCMMK Box Rosa Pink
33.1,0.915,0,FLCMMK Box Rosa Pink
33.1,0.92,0,FLCMMK Box Rosa Pink
33.1,0.92,0,FLCMMK Box Rosa Pink
33.1,0.925,0,FLCMMK Box Rosa Pink
33.1,0.93,0,FLCMMK Box Rosa Pink
33.1,0.93,0,FLCMMK Box Rosa Pink
33.2,0.935,0,FLCMMK Box Rosa Pink
33.3,0.935,0,FLCMMK Box Rosa Pink
33.4,0.94,0,FLCMMK Box Rosa Pink
33.4,0.94,0,FLCMMK Box Rosa Pink
33.3,0.945,0,FLCMMK Box Rosa Pink
33.3,0.945,0,FLCMMK Box Rosa Pink
33.3,0.95,0,FLCMMK Box Rosa Pink
33.4,0.95,0,FLCMMK Box Rosa Pink
33.5,0.955,0,FLCMMK Box Rosa Pink
33.5,0.955,0,FLCMMK Box Rosa Pink
33.5,0.96,0,FLCMMK Box Rosa Pink
33.5,0.96,0,FLCMMK Box Rosa Pink
33.5,0.965,0,FLCMMK Box Rosa Pink
33.3,0.97,0,FLCMMK Box Rosa Pink
33.3,0.97,0,FLCMMK Box Rosa Pink
33.4,0.975,0,FLCMMK Box Rosa Pink
33.5,0.98,0,FLCMMK Box Rosa Pink
33.6,0.985,0,FLCMMK Box Rosa Pink
33.6,0.99,0,FLCMMK Box Rosa Pink
33.7,0.995,0,FLCMMK Box Rosa Pink
33.7,0.995,0,FLCMMK Box Rosa Pink
33.7,1.005,0,FLCMMK Box Rosa Pink
33.7,1.005,0,FLCMMK Box Rosa Pink
33.8,1.01,0,FLCMMK Box Rosa Pink
33.8,1.015,0,FLCMMK Box Rosa Pink
33.8,1.02,0,FLCMMK Box Rosa Pink
33.8,1.025,0,FLCMMK Box Rosa Pink
33.9,1.03,0,FLCMMK Box Rosa Pink
34.1,1.03,0,FLCMMK Box Rosa Pink
34.1,1.035,0,FLCMMK Box Rosa Pink
34.1,1.04,0,FLCMMK Box Rosa Pink
34.1,1.04,0,FLCMMK Box Rosa Pink
34.2,1.045,0,FLCMMK Box Rosa Pink
34.3,1.05,0,FLCMMK Box Rosa Pink
34.3,1.05,0,FLCMMK Box Rosa Pink
34.4,1.055,0,FLCMMK Box Rosa Pink
34.5,1.06,0,FLCMMK Box Rosa Pink
34.4,1.065,0,FLCMMK Box Rosa Pink
34.4,1.065,0,FLCMMK Box Rosa Pink
34.4,1.07,0,FLCMMK Box Rosa Pink
34.5,1.075,0,FLCMMK Box Rosa Pink
34.6,1.08,0,FLCMMK Box Rosa Pink
34.6,1.08,0,FLCMMK Box Rosa Pink
34.7,1.085,0,FLCMMK Box Rosa Pink
34.7,1.09,0,FLCMMK Box Rosa Pink
34.6,1.095,0,FLCMMK Box Rosa Pink
34.6,1.095,0,FLCMMK Box Rosa Pink
34.7,1.1,0,FLCMMK Box Rosa Pink
34.7,1.105,0,FLCMMK Box Rosa Pink
34.8,1.105,0,FLCMMK Box Rosa Pink
34.9,1.11,0,FLCMMK Box Rosa Pink
34.9,1.115,0,FLCMMK Box Rosa Pink
34.9,1.12,0,FLCMMK Box Rosa Pink
34.9,1.12,0,FLCMMK Box Rosa Pink
34.9,1.125,0,FLCMMK Box Rosa Pink
34.9,1.13,0,FLCMMK Box Rosa Pink
34.9,1.135,0,FLCMMK Box Rosa Pink
34.9,1.14,0,FLCMMK Box Rosa Pink
35,1.145,0,FLCMMK Box Rosa Pink
35.1,1.15,0,FLCMMK Box Rosa Pink
35.1,1.155,0,FLCMMK Box Rosa Pink
35.2,1.16,0,FLCMMK Box Rosa Pink
35.3,1.165,0,FLCMMK Box Rosa Pink
35.5,1.17,0,FLCMMK Box Rosa Pink
35.5,1.175,0,FLCMMK Box Rosa Pink
35.6,1.185,0,FLCMMK Box Rosa Pink
35.5,1.19,0,FLCMMK Box Rosa Pink
35.6,1.195,0,FLCMMK Box Rosa Pink
35.7,1.2,0,FLCMMK Box Rosa Pink
35.6,1.21,0,FLCMMK Box Rosa Pink
35.7,1.215,0,FLCMMK Box Rosa Pink
35.6,1.22,0,FLCMMK Box Rosa Pink
35.7,1.225,0,FLCMMK Box Rosa Pink
35.8,1.23,0,FLCMMK Box Rosa Pink
35.9,1.235,0,FLCMMK Box Rosa Pink
