force,displacement,judge,name
-0.2,0,0,FLCMMK Ice Mint
0.1,0,0,FLCMMK Ice Mint
0.1,0,0,FLCMMK Ice Mint
0.1,0,0,FLCMMK Ice Mint
-0.1,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
0.1,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
-0.2,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
0,0,0,FLCMMK Ice Mint
0.2,0,0,FLCMMK Ice Mint
0.9,0,0,FLCMMK Ice Mint
1.7,0,0,FLCMMK Ice Mint
3.7,0.005,0,FLCMMK Ice Mint
6.1,0.005,0,FLCMMK Ice Mint
8.6,0.01,0,FLCMMK Ice Mint
11.8,0.015,0,FLCMMK Ice Mint
14.2,0.015,0,FLCMMK Ice Mint
16.3,0.02,0,FLCMMK Ice Mint
18.5,0.02,0,FLCMMK Ice Mint
21,0.025,0,FLCMMK Ice Mint
23,0.025,0,FLCMMK Ice Mint
24.7,0.025,0,FLCMMK Ice Mint
26.4,0.03,0,FLCMMK Ice Mint
27.6,0.03,0,FLCMMK Ice Mint
29.6,0.035,0,FLCMMK Ice Mint
31.9,0.04,0,FLCMMK Ice Mint
33.6,0.04,0,FLCMMK Ice Mint
35.4,0.045,0,FLCMMK Ice Mint
35.9,0.05,0,FLCMMK Ice Mint
36.7,0.055,0,FLCMMK Ice Mint
37.1,0.06,0,FLCMMK Ice Mint
37.5,0.065,0,FLCMMK Ice Mint
38,0.07,0,FLCMMK Ice Mint
37.7,0.075,0,FLCMMK Ice Mint
37.3,0.08,0,FLCMMK Ice Mint
37.1,0.085,0,FLCMMK Ice Mint
36.5,0.095,0,FLCMMK Ice Mint
36.3,0.105,0,FLCMMK Ice Mint
36.2,0.115,0,FLCMMK Ice Mint
35.8,0.125,0,FLCMMK Ice Mint
35.9,0.14,0,FLCMMK Ice Mint
35.8,0.15,0,FLCMMK Ice Mint
36.1,0.165,0,FLCMMK Ice Mint
36.3,0.175,0,FLCMMK Ice Mint
36.5,0.18,0,FLCMMK Ice Mint
36.3,0.185,0,FLCMMK Ice Mint
36.4,0.195,0,FLCMMK Ice Mint
36.5,0.2,0,FLCMMK Ice Mint
36.6,0.205,0,FLCMMK Ice Mint
36.8,0.21,0,FLCMMK Ice Mint
36.8,0.215,0,FLCMMK Ice Mint
36.8,0.215,0,FLCMMK Ice Mint
36.7,0.22,0,FLCMMK Ice Mint
36.6,0.23,0,FLCMMK Ice Mint
36.7,0.235,0,FLCMMK Ice Mint
36.7,0.24,0,FLCMMK Ice Mint
36.6,0.25,0,FLCMMK Ice Mint
36.7,0.255,0,FLCMMK Ice Mint
36.5,0.265,0,FLCMMK Ice Mint
36.4,0.27,0,FLCMMK Ice Mint
36.8,0.275,0,FLCMMK Ice Mint
37,0.275,0,FLCMMK Ice Mint
36.9,0.28,0,FLCMMK Ice Mint
36.9,0.285,0,FLCMMK Ice Mint
37,0.29,0,FLCMMK Ice Mint
37,0.29,0,FLCMMK Ice Mint
36.9,0.295,0,FLCMMK Ice Mint
37.1,0.3,0,FLCMMK Ice Mint
37.2,0.305,0,FLCMMK Ice Mint
37.3,0.305,0,FLCMMK Ice Mint
37.4,0.31,0,FLCMMK Ice Mint
37.5,0.31,0,FLCMMK Ice Mint
37.4,0.31,0,FLCMMK Ice Mint
37.3,0.315,0,FLCMMK Ice Mint
37.6,0.315,0,FLCMMK Ice Mint
37.6,0.315,0,FLCMMK Ice Mint
37.7,0.315,0,FLCMMK Ice Mint
37.9,0.315,0,FLCMMK Ice Mint
38.1,0.315,0,FLCMMK Ice Mint
37.8,0.315,0,FLCMMK Ice Mint
37.9,0.32,0,FLCMMK Ice Mint
37.7,0.32,0,FLCMMK Ice Mint
37.5,0.325,0,FLCMMK Ice Mint
37.5,0.325,0,FLCMMK Ice Mint
37.4,0.33,0,FLCMMK Ice Mint
37.5,0.335,0,FLCMMK Ice Mint
37.3,0.335,0,FLCMMK Ice Mint
37.3,0.34,0,FLCMMK Ice Mint
37.5,0.34,0,FLCMMK Ice Mint
37.5,0.345,0,FLCMMK Ice Mint
37.6,0.345,0,FLCMMK Ice Mint
37.8,0.345,0,FLCMMK Ice Mint
37.8,0.345,0,FLCMMK Ice Mint
37.7,0.35,0,FLCMMK Ice Mint
37.7,0.35,0,FLCMMK Ice Mint
37.5,0.355,0,FLCMMK Ice Mint
37.5,0.36,0,FLCMMK Ice Mint
37.5,0.36,0,FLCMMK Ice Mint
37.4,0.365,0,FLCMMK Ice Mint
37.6,0.365,0,FLCMMK Ice Mint
37.6,0.37,0,FLCMMK Ice Mint
37.5,0.37,0,FLCMMK Ice Mint
37.4,0.375,0,FLCMMK Ice Mint
37.4,0.375,0,FLCMMK Ice Mint
37.3,0.38,0,FLCMMK Ice Mint
37.2,0.385,0,FLCMMK Ice Mint
37.1,0.395,0,FLCMMK Ice Mint
36.9,0.4,0,FLCMMK Ice Mint
36.9,0.405,0,FLCMMK Ice Mint
37,0.41,0,FLCMMK Ice Mint
37,0.415,0,FLCMMK Ice Mint
37,0.425,0,FLCMMK Ice Mint
37.1,0.43,0,FLCMMK Ice Mint
37,0.435,0,FLCMMK Ice Mint
37.1,0.44,0,FLCMMK Ice Mint
37.2,0.44,0,FLCMMK Ice Mint
37.2,0.445,0,FLCMMK Ice Mint
37.6,0.445,0,FLCMMK Ice Mint
37.4,0.45,0,FLCMMK Ice Mint
37,0.455,0,FLCMMK Ice Mint
36.6,0.47,0,FLCMMK Ice Mint
36.4,0.485,0,FLCMMK Ice Mint
36.4,0.505,0,FLCMMK Ice Mint
36.3,0.515,0,FLCMMK Ice Mint
36.5,0.525,0,FLCMMK Ice Mint
36.7,0.53,0,FLCMMK Ice Mint
37,0.53,0,FLCMMK Ice Mint
37.1,0.535,0,FLCMMK Ice Mint
37.1,0.54,0,FLCMMK Ice Mint
37.2,0.545,0,FLCMMK Ice Mint
37.2,0.55,0,FLCMMK Ice Mint
37,0.555,0,FLCMMK Ice Mint
37.1,0.555,0,FLCMMK Ice Mint
37.2,0.56,0,FLCMMK Ice Mint
37.1,0.56,0,FLCMMK Ice Mint
37.2,0.56,0,FLCMMK Ice Mint
37.4,0.565,0,FLCMMK Ice Mint
37.6,0.565,0,FLCMMK Ice Mint
37.6,0.565,0,FLCMMK Ice Mint
37.3,0.57,0,FLCMMK Ice Mint
37.2,0.575,0,FLCMMK Ice Mint
37,0.585,0,FLCMMK Ice Mint
37.1,0.59,0,FLCMMK Ice Mint
37,0.595,0,FLCMMK Ice Mint
37.1,0.6,0,FLCMMK Ice Mint
37.5,0.6,0,FLCMMK Ice Mint
37.4,0.6,0,FLCMMK Ice Mint
37.4,0.605,0,FLCMMK Ice Mint
37.3,0.61,0,FLCMMK Ice Mint
37.4,0.615,0,FLCMMK Ice Mint
37.3,0.62,0,FLCMMK Ice Mint
37.2,0.625,0,FLCMMK Ice Mint
37.2,0.63,0,FLCMMK Ice Mint
37.3,0.635,0,FLCMMK Ice Mint
37.3,0.64,0,FLCMMK Ice Mint
37.3,0.645,0,FLCMMK Ice Mint
37.4,0.65,0,FLCMMK Ice Mint
37.5,0.655,0,FLCMMK Ice Mint
37.4,0.66,0,FLCMMK Ice Mint
37.4,0.665,0,FLCMMK Ice Mint
37.3,0.67,0,FLCMMK Ice Mint
37.3,0.675,0,FLCMMK Ice Mint
37.2,0.68,0,FLCMMK Ice Mint
37.2,0.685,0,FLCMMK Ice Mint
37.3,0.69,0,FLCMMK Ice Mint
37.2,0.695,0,FLCMMK Ice Mint
37.2,0.7,0,FLCMMK Ice Mint
37.3,0.705,0,FLCMMK Ice Mint
37.3,0.715,0,FLCMMK Ice Mint
37.2,0.72,0,FLCMMK Ice Mint
37.3,0.725,0,FLCMMK Ice Mint
37.5,0.725,0,FLCMMK Ice Mint
37.5,0.73,0,FLCMMK Ice Mint
37.6,0.735,0,FLCMMK Ice Mint
37.6,0.735,0,FLCMMK Ice Mint
37.7,0.74,0,FLCMMK Ice Mint
37.6,0.745,0,FLCMMK Ice Mint
37.6,0.75,0,FLCMMK Ice Mint
