force,displacement,judge,name
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
-0.1,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
-0.1,0,0,FLCMMK Ice Silver
0.1,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0,0,FLCMMK Ice Silver
0,0.005,0,FLCMMK Ice Silver
0,0.005,0,FLCMMK Ice Silver
0,0.005,0,FLCMMK Ice Silver
0,0.01,0,FLCMMK Ice Silver
0,0.01,0,FLCMMK Ice Silver
0,0.01,0,FLCMMK Ice Silver
0,0.015,0,FLCMMK Ice Silver
0,0.02,0,FLCMMK Ice Silver
0,0.02,0,FLCMMK Ice Silver
0,0.025,0,FLCMMK Ice Silver
0,0.03,0,FLCMMK Ice Silver
0,0.035,0,FLCMMK Ice Silver
0,0.04,0,FLCMMK Ice Silver
1.2,0.045,0,FLCMMK Ice Silver
3.6,0.05,0,FLCMMK Ice Silver
6.3,0.05,0,FLCMMK Ice Silver
8.9,0.055,0,FLCMMK Ice Silver
11.1,0.06,0,FLCMMK Ice Silver
13.3,0.06,0,FLCMMK Ice Silver
15.4,0.065,0,FLCMMK Ice Silver
17.5,0.065,0,FLCMMK Ice Silver
20.4,0.07,0,FLCMMK Ice Silver
22.1,0.07,0,FLCMMK Ice Silver
23.9,0.075,0,FLCMMK Ice Silver
25.8,0.075,0,FLCMMK Ice Silver
28.8,0.08,0,FLCMMK Ice Silver
31.2,0.08,0,FLCMMK Ice Silver
33.4,0.085,0,FLCMMK Ice Silver
34.5,0.085,0,FLCMMK Ice Silver
34.8,0.085,0,FLCMMK Ice Silver
34.6,0.09,0,FLCMMK Ice Silver
34.5,0.09,0,FLCMMK Ice Silver
34.8,0.09,0,FLCMMK Ice Silver
34.9,0.095,0,FLCMMK Ice Silver
35,0.095,0,FLCMMK Ice Silver
35.2,0.095,0,FLCMMK Ice Silver
35.2,0.095,0,FLCMMK Ice Silver
35.4,0.095,0,FLCMMK Ice Silver
35.5,0.1,0,FLCMMK Ice Silver
35.5,0.1,0,FLCMMK Ice Silver
35.1,0.105,0,FLCMMK Ice Silver
35.1,0.105,0,FLCMMK Ice Silver
35.1,0.11,0,FLCMMK Ice Silver
35.1,0.11,0,FLCMMK Ice Silver
35.1,0.115,0,FLCMMK Ice Silver
35,0.12,0,FLCMMK Ice Silver
34.9,0.12,0,FLCMMK Ice Silver
34.9,0.125,0,FLCMMK Ice Silver
34.9,0.125,0,FLCMMK Ice Silver
