force,displacement,judge,name
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0,0,Feker Emerald Cabbage - 17000 Actuations
0,0.005,0,Feker Emerald Cabbage - 17000 Actuations
0,0.005,0,Feker Emerald Cabbage - 17000 Actuations
0,0.005,0,Feker Emerald Cabbage - 17000 Actuations
0,0.005,0,Feker Emerald Cabbage - 17000 Actuations
0,0.005,0,Feker Emerald Cabbage - 17000 Actuations
0,0.01,0,Feker Emerald Cabbage - 17000 Actuations
0,0.01,0,Feker Emerald Cabbage - 17000 Actuations
0,0.02,0,Feker Emerald Cabbage - 17000 Actuations
0,0.025,0,Feker Emerald Cabbage - 17000 Actuations
0,0.03,0,Feker Emerald Cabbage - 17000 Actuations
1.1,0.04,0,Feker Emerald Cabbage - 17000 Actuations
6.2,0.045,0,Feker Emerald Cabbage - 17000 Actuations
11.6,0.05,0,Feker Emerald Cabbage - 17000 Actuations
18.7,0.06,0,Feker Emerald Cabbage - 17000 Actuations
25.6,0.065,0,Feker Emerald Cabbage - 17000 Actuations
32.9,0.075,0,Feker Emerald Cabbage - 17000 Actuations
39.5,0.08,0,Feker Emerald Cabbage - 17000 Actuations
44.5,0.085,0,Feker Emerald Cabbage - 17000 Actuations
50.9,0.09,0,Feker Emerald Cabbage - 17000 Actuations
49.2,0.095,0,Feker Emerald Cabbage - 17000 Actuations
49.3,0.1,0,Feker Emerald Cabbage - 17000 Actuations
49.3,0.105,0,Feker Emerald Cabbage - 17000 Actuations
49.4,0.11,0,Feker Emerald Cabbage - 17000 Actuations
49.3,0.115,0,Feker Emerald Cabbage - 17000 Actuations
49.4,0.12,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.12,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.125,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.13,0,Feker Emerald Cabbage - 17000 Actuations
49.5,0.135,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.135,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.14,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.14,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.145,0,Feker Emerald Cabbage - 17000 Actuations
49.6,0.145,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.15,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.15,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.155,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.16,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.16,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.165,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.17,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.17,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.175,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.175,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.175,0,Feker Emerald Cabbage - 17000 Actuations
49.7,0.18,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.18,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.18,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.185,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.185,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.185,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.19,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.19,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.19,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.19,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.195,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.195,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.195,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.2,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.2,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.2,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.205,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.205,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.205,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.21,0,Feker Emerald Cabbage - 17000 Actuations
49.9,0.21,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.21,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.215,0,Feker Emerald Cabbage - 17000 Actuations
49.8,0.215,0,Feker Emerald Cabbage - 17000 Actuations
