force,displacement,judge,name
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0.1,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0,0.005,0,Firstblood Blue
0.1,0.005,0,Firstblood Blue
0.1,0.005,0,Firstblood Blue
0.3,0.005,0,Firstblood Blue
0.4,0.005,0,Firstblood Blue
0.5,0.005,0,Firstblood Blue
0.8,0.005,0,Firstblood Blue
2.1,0.005,0,Firstblood Blue
4.1,0.01,0,Firstblood Blue
5.7,0.01,0,Firstblood Blue
7.4,0.015,0,Firstblood Blue
9.6,0.015,0,Firstblood Blue
11.9,0.02,0,Firstblood Blue
14,0.02,0,Firstblood Blue
16.4,0.025,0,Firstblood Blue
19.1,0.025,0,Firstblood Blue
21.8,0.03,0,Firstblood Blue
24.8,0.035,0,Firstblood Blue
27.8,0.035,0,Firstblood Blue
30.9,0.04,0,Firstblood Blue
32.8,0.045,0,Firstblood Blue
33.1,0.05,0,Firstblood Blue
33.5,0.055,0,Firstblood Blue
34.1,0.06,0,Firstblood Blue
35.2,0.065,0,Firstblood Blue
37.3,0.07,0,Firstblood Blue
38.1,0.075,0,Firstblood Blue
38,0.08,0,Firstblood Blue
38,0.09,0,Firstblood Blue
38.1,0.095,0,Firstblood Blue
38.2,0.1,0,Firstblood Blue
38.2,0.105,0,Firstblood Blue
38.2,0.115,0,Firstblood Blue
38.3,0.12,0,Firstblood Blue
38.3,0.125,0,Firstblood Blue
38.3,0.13,0,Firstblood Blue
38.4,0.14,0,Firstblood Blue
38.5,0.145,0,Firstblood Blue
38.5,0.155,0,Firstblood Blue
38.5,0.16,0,Firstblood Blue
38.6,0.165,0,Firstblood Blue
38.5,0.17,0,Firstblood Blue
38.6,0.175,0,Firstblood Blue
38.6,0.18,0,Firstblood Blue
38.7,0.18,0,Firstblood Blue
38.8,0.19,0,Firstblood Blue
38.8,0.195,0,Firstblood Blue
38.7,0.2,0,Firstblood Blue
38.9,0.2,0,Firstblood Blue
38.9,0.205,0,Firstblood Blue
38.9,0.21,0,Firstblood Blue
38.9,0.215,0,Firstblood Blue
39,0.22,0,Firstblood Blue
38.9,0.225,0,Firstblood Blue
39,0.23,0,Firstblood Blue
39,0.235,0,Firstblood Blue
39.1,0.24,0,Firstblood Blue
39.1,0.245,0,Firstblood Blue
39.1,0.25,0,Firstblood Blue
39.1,0.25,0,Firstblood Blue
39.2,0.255,0,Firstblood Blue
39.2,0.255,0,Firstblood Blue
39.1,0.26,0,Firstblood Blue
39.2,0.26,0,Firstblood Blue
39.2,0.265,0,Firstblood Blue
39.3,0.265,0,Firstblood Blue
39.2,0.27,0,Firstblood Blue
39.3,0.27,0,Firstblood Blue
39.3,0.275,0,Firstblood Blue
39.2,0.28,0,Firstblood Blue
39.3,0.28,0,Firstblood Blue
39.4,0.285,0,Firstblood Blue
39.3,0.285,0,Firstblood Blue
39.3,0.29,0,Firstblood Blue
39.4,0.29,0,Firstblood Blue
