force,displacement,judge,name
-0.1,0,0,Free Wolf Yellow
0.1,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
-0.1,0,0,Free Wolf Yellow
0.1,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0.2,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0,0,Free Wolf Yellow
0,0.005,0,Free Wolf Yellow
0,0.005,0,Free Wolf Yellow
0,0.005,0,Free Wolf Yellow
0,0.01,0,Free Wolf Yellow
0,0.01,0,Free Wolf Yellow
0.3,0.015,0,Free Wolf Yellow
2.8,0.02,0,Free Wolf Yellow
5.9,0.02,0,Free Wolf Yellow
8.9,0.025,0,Free Wolf Yellow
11.8,0.025,0,Free Wolf Yellow
14.2,0.03,0,Free Wolf Yellow
16.7,0.03,0,Free Wolf Yellow
18.5,0.035,0,Free Wolf Yellow
20,0.035,0,Free Wolf Yellow
21.5,0.035,0,Free Wolf Yellow
23.1,0.04,0,Free Wolf Yellow
24.6,0.04,0,Free Wolf Yellow
26.1,0.04,0,Free Wolf Yellow
27.5,0.045,0,Free Wolf Yellow
28.7,0.045,0,Free Wolf Yellow
29.9,0.045,0,Free Wolf Yellow
31.3,0.045,0,Free Wolf Yellow
32.9,0.05,0,Free Wolf Yellow
34.7,0.05,0,Free Wolf Yellow
36.4,0.05,0,Free Wolf Yellow
38,0.055,0,Free Wolf Yellow
39.3,0.055,0,Free Wolf Yellow
40.2,0.055,0,Free Wolf Yellow
40.6,0.06,0,Free Wolf Yellow
41,0.06,0,Free Wolf Yellow
40.6,0.06,0,Free Wolf Yellow
40.8,0.06,0,Free Wolf Yellow
41.2,0.065,0,Free Wolf Yellow
41.7,0.065,0,Free Wolf Yellow
41.9,0.065,0,Free Wolf Yellow
42.1,0.07,0,Free Wolf Yellow
42.2,0.07,0,Free Wolf Yellow
42.3,0.07,0,Free Wolf Yellow
42,0.075,0,Free Wolf Yellow
41.9,0.075,0,Free Wolf Yellow
41.8,0.075,0,Free Wolf Yellow
41.8,0.075,0,Free Wolf Yellow
41.7,0.08,0,Free Wolf Yellow
41.7,0.08,0,Free Wolf Yellow
41.6,0.085,0,Free Wolf Yellow
41.6,0.085,0,Free Wolf Yellow
41.6,0.085,0,Free Wolf Yellow
41.5,0.09,0,Free Wolf Yellow
41.4,0.095,0,Free Wolf Yellow
41.4,0.1,0,Free Wolf Yellow
41.3,0.105,0,Free Wolf Yellow
41.2,0.11,0,Free Wolf Yellow
40.9,0.115,0,Free Wolf Yellow
40.9,0.12,0,Free Wolf Yellow
40.9,0.125,0,Free Wolf Yellow
40.9,0.125,0,Free Wolf Yellow
41,0.13,0,Free Wolf Yellow
40.9,0.135,0,Free Wolf Yellow
40.8,0.14,0,Free Wolf Yellow
40.8,0.14,0,Free Wolf Yellow
40.8,0.145,0,Free Wolf Yellow
40.6,0.15,0,Free Wolf Yellow
40.7,0.155,0,Free Wolf Yellow
40.7,0.16,0,Free Wolf Yellow
40.7,0.165,0,Free Wolf Yellow
40.8,0.17,0,Free Wolf Yellow
40.8,0.175,0,Free Wolf Yellow
40.7,0.175,0,Free Wolf Yellow
40.9,0.18,0,Free Wolf Yellow
40.4,0.19,0,Free Wolf Yellow
40.2,0.195,0,Free Wolf Yellow
40.1,0.195,0,Free Wolf Yellow
40,0.2,0,Free Wolf Yellow
40,0.205,0,Free Wolf Yellow
39.9,0.205,0,Free Wolf Yellow
39.7,0.21,0,Free Wolf Yellow
39.6,0.21,0,Free Wolf Yellow
39.6,0.21,0,Free Wolf Yellow
39.6,0.215,0,Free Wolf Yellow
39.6,0.22,0,Free Wolf Yellow
39.5,0.22,0,Free Wolf Yellow
39.5,0.225,0,Free Wolf Yellow
39.5,0.23,0,Free Wolf Yellow
39.5,0.235,0,Free Wolf Yellow
39.3,0.24,0,Free Wolf Yellow
39.3,0.245,0,Free Wolf Yellow
39.3,0.25,0,Free Wolf Yellow
39.3,0.25,0,Free Wolf Yellow
39.4,0.255,0,Free Wolf Yellow
39.4,0.26,0,Free Wolf Yellow
39.4,0.265,0,Free Wolf Yellow
39.4,0.27,0,Free Wolf Yellow
39.4,0.27,0,Free Wolf Yellow
39.3,0.275,0,Free Wolf Yellow
39.2,0.28,0,Free Wolf Yellow
39.1,0.28,0,Free Wolf Yellow
39.1,0.285,0,Free Wolf Yellow
39.1,0.29,0,Free Wolf Yellow
39.1,0.29,0,Free Wolf Yellow
39.1,0.295,0,Free Wolf Yellow
39,0.3,0,Free Wolf Yellow
39.1,0.3,0,Free Wolf Yellow
39.1,0.305,0,Free Wolf Yellow
39.2,0.31,0,Free Wolf Yellow
39.3,0.31,0,Free Wolf Yellow
39.4,0.315,0,Free Wolf Yellow
39.3,0.315,0,Free Wolf Yellow
39.4,0.315,0,Free Wolf Yellow
39.5,0.32,0,Free Wolf Yellow
39.6,0.32,0,Free Wolf Yellow
39.6,0.325,0,Free Wolf Yellow
39.5,0.325,0,Free Wolf Yellow
39.5,0.33,0,Free Wolf Yellow
39.5,0.33,0,Free Wolf Yellow
39.6,0.33,0,Free Wolf Yellow
39.4,0.335,0,Free Wolf Yellow
39.3,0.335,0,Free Wolf Yellow
39.4,0.34,0,Free Wolf Yellow
39.3,0.34,0,Free Wolf Yellow
39.3,0.345,0,Free Wolf Yellow
39.3,0.345,0,Free Wolf Yellow
39.3,0.35,0,Free Wolf Yellow
39.3,0.35,0,Free Wolf Yellow
39.3,0.35,0,Free Wolf Yellow
39.3,0.355,0,Free Wolf Yellow
39.4,0.355,0,Free Wolf Yellow
39.4,0.355,0,Free Wolf Yellow
39.4,0.36,0,Free Wolf Yellow
39.5,0.36,0,Free Wolf Yellow
39.5,0.365,0,Free Wolf Yellow
39.5,0.365,0,Free Wolf Yellow
39.6,0.37,0,Free Wolf Yellow
39.7,0.37,0,Free Wolf Yellow
39.8,0.375,0,Free Wolf Yellow
39.8,0.38,0,Free Wolf Yellow
39.8,0.385,0,Free Wolf Yellow
39.8,0.385,0,Free Wolf Yellow
39.8,0.39,0,Free Wolf Yellow
39.8,0.39,0,Free Wolf Yellow
39.9,0.395,0,Free Wolf Yellow
39.8,0.4,0,Free Wolf Yellow
39.7,0.4,0,Free Wolf Yellow
39.6,0.405,0,Free Wolf Yellow
39.5,0.41,0,Free Wolf Yellow
