force,displacement,judge,name
0,0,0,G-Square Dreamland Tactile
0,0,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
-0.1,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0,0.005,0,G-Square Dreamland Tactile
0.2,0.005,0,G-Square Dreamland Tactile
0.7,0.01,0,G-Square Dreamland Tactile
1.4,0.01,0,G-Square Dreamland Tactile
2.2,0.01,0,G-Square Dreamland Tactile
2.9,0.01,0,G-Square Dreamland Tactile
3.3,0.01,0,G-Square Dreamland Tactile
3.5,0.01,0,G-Square Dreamland Tactile
3.8,0.015,0,G-Square Dreamland Tactile
4.2,0.015,0,G-Square Dreamland Tactile
5,0.015,0,G-Square Dreamland Tactile
5.7,0.015,0,G-Square Dreamland Tactile
6.4,0.015,0,G-Square Dreamland Tactile
6.9,0.015,0,G-Square Dreamland Tactile
7.5,0.015,0,G-Square Dreamland Tactile
7.9,0.015,0,G-Square Dreamland Tactile
8.4,0.02,0,G-Square Dreamland Tactile
9.1,0.02,0,G-Square Dreamland Tactile
9.9,0.02,0,G-Square Dreamland Tactile
10.7,0.02,0,G-Square Dreamland Tactile
11.5,0.02,0,G-Square Dreamland Tactile
12.2,0.02,0,G-Square Dreamland Tactile
13,0.02,0,G-Square Dreamland Tactile
13.7,0.025,0,G-Square Dreamland Tactile
14.3,0.025,0,G-Square Dreamland Tactile
15.2,0.025,0,G-Square Dreamland Tactile
16.5,0.025,0,G-Square Dreamland Tactile
18.1,0.03,0,G-Square Dreamland Tactile
19.7,0.03,0,G-Square Dreamland Tactile
21.4,0.03,0,G-Square Dreamland Tactile
23.1,0.035,0,G-Square Dreamland Tactile
24.9,0.035,0,G-Square Dreamland Tactile
26.3,0.035,0,G-Square Dreamland Tactile
27.6,0.04,0,G-Square Dreamland Tactile
28.7,0.04,0,G-Square Dreamland Tactile
29.8,0.04,0,G-Square Dreamland Tactile
