force,displacement,judge,name
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0,0,G-Square White Warrior
0,0.005,0,G-Square White Warrior
0,0.005,0,G-Square White Warrior
0,0.005,0,G-Square White Warrior
1.5,0.005,0,G-Square White Warrior
3.7,0.01,0,G-Square White Warrior
5.8,0.01,0,G-Square White Warrior
7.9,0.015,0,G-Square White Warrior
9.4,0.015,0,G-Square White Warrior
10.5,0.015,0,G-Square White Warrior
11.4,0.02,0,G-Square White Warrior
12.3,0.02,0,G-Square White Warrior
13.1,0.02,0,G-Square White Warrior
13.7,0.02,0,G-Square White Warrior
14.3,0.02,0,G-Square White Warrior
14.7,0.02,0,G-Square White Warrior
15.2,0.02,0,G-Square White Warrior
15.5,0.02,0,G-Square White Warrior
15.9,0.02,0,G-Square White Warrior
16.4,0.025,0,G-Square White Warrior
16.6,0.025,0,G-Square White Warrior
16.9,0.025,0,G-Square White Warrior
17.2,0.025,0,G-Square White Warrior
18,0.025,0,G-Square White Warrior
18.9,0.025,0,G-Square White Warrior
20.1,0.025,0,G-Square White Warrior
21.6,0.03,0,G-Square White Warrior
23.1,0.03,0,G-Square White Warrior
24.8,0.03,0,G-Square White Warrior
26.4,0.035,0,G-Square White Warrior
27.9,0.035,0,G-Square White Warrior
29.1,0.035,0,G-Square White Warrior
30.4,0.04,0,G-Square White Warrior
31.6,0.04,0,G-Square White Warrior
32.9,0.04,0,G-Square White Warrior
34.3,0.04,0,G-Square White Warrior
35.4,0.045,0,G-Square White Warrior
36.4,0.045,0,G-Square White Warrior
37.2,0.045,0,G-Square White Warrior
38.2,0.045,0,G-Square White Warrior
39.1,0.045,0,G-Square White Warrior
39.6,0.05,0,G-Square White Warrior
40.3,0.05,0,G-Square White Warrior
40.9,0.05,0,G-Square White Warrior
40.7,0.05,0,G-Square White Warrior
40.2,0.05,0,G-Square White Warrior
40.4,0.055,0,G-Square White Warrior
40.8,0.055,0,G-Square White Warrior
40.9,0.055,0,G-Square White Warrior
40.7,0.055,0,G-Square White Warrior
40.9,0.06,0,G-Square White Warrior
40.6,0.06,0,G-Square White Warrior
40.7,0.06,0,G-Square White Warrior
40.6,0.06,0,G-Square White Warrior
40.6,0.065,0,G-Square White Warrior
40.8,0.065,0,G-Square White Warrior
40.8,0.065,0,G-Square White Warrior
40.9,0.065,0,G-Square White Warrior
40.8,0.065,0,G-Square White Warrior
40.8,0.07,0,G-Square White Warrior
41.1,0.07,0,G-Square White Warrior
41,0.075,0,G-Square White Warrior
40.2,0.075,0,G-Square White Warrior
40.2,0.075,0,G-Square White Warrior
40.4,0.08,0,G-Square White Warrior
40.7,0.08,0,G-Square White Warrior
40.6,0.085,0,G-Square White Warrior
40.6,0.09,0,G-Square White Warrior
41,0.09,0,G-Square White Warrior
42.4,0.095,0,G-Square White Warrior
44,0.095,0,G-Square White Warrior
44.7,0.1,0,G-Square White Warrior
44.2,0.1,0,G-Square White Warrior
43.8,0.1,0,G-Square White Warrior
43.7,0.105,0,G-Square White Warrior
43.7,0.105,0,G-Square White Warrior
43.6,0.11,0,G-Square White Warrior
43.6,0.11,0,G-Square White Warrior
43.5,0.11,0,G-Square White Warrior
43.7,0.11,0,G-Square White Warrior
43.7,0.115,0,G-Square White Warrior
43.5,0.115,0,G-Square White Warrior
43.5,0.12,0,G-Square White Warrior
43.5,0.12,0,G-Square White Warrior
43.5,0.12,0,G-Square White Warrior
43.5,0.12,0,G-Square White Warrior
43.4,0.125,0,G-Square White Warrior
43.5,0.125,0,G-Square White Warrior
43.5,0.125,0,G-Square White Warrior
43.5,0.125,0,G-Square White Warrior
43.4,0.13,0,G-Square White Warrior
43.4,0.13,0,G-Square White Warrior
43.4,0.13,0,G-Square White Warrior
43.4,0.13,0,G-Square White Warrior
43.4,0.13,0,G-Square White Warrior
