force,displacement,judge,name
0,0,0,Gamakay Griffin
-0.1,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
-0.1,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
-0.1,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0.2,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
-0.1,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0,0,Gamakay Griffin
0,0.005,0,Gamakay Griffin
0,0.005,0,Gamakay Griffin
0,0.005,0,Gamakay Griffin
0,0.01,0,Gamakay Griffin
0.7,0.015,0,Gamakay Griffin
2.2,0.015,0,Gamakay Griffin
3.4,0.015,0,Gamakay Griffin
5,0.02,0,Gamakay Griffin
6.1,0.02,0,Gamakay Griffin
6.8,0.02,0,Gamakay Griffin
7.5,0.02,0,Gamakay Griffin
8.3,0.025,0,Gamakay Griffin
9.1,0.025,0,Gamakay Griffin
10.4,0.025,0,Gamakay Griffin
11.7,0.025,0,Gamakay Griffin
12.4,0.025,0,Gamakay Griffin
13.4,0.03,0,Gamakay Griffin
14.2,0.03,0,Gamakay Griffin
14.7,0.03,0,Gamakay Griffin
15.4,0.03,0,Gamakay Griffin
15.7,0.035,0,Gamakay Griffin
16,0.035,0,Gamakay Griffin
16.3,0.035,0,Gamakay Griffin
16.6,0.035,0,Gamakay Griffin
17,0.035,0,Gamakay Griffin
17.5,0.035,0,Gamakay Griffin
18,0.04,0,Gamakay Griffin
18.4,0.04,0,Gamakay Griffin
18.9,0.04,0,Gamakay Griffin
19.1,0.04,0,Gamakay Griffin
19.4,0.04,0,Gamakay Griffin
19.8,0.045,0,Gamakay Griffin
20.1,0.045,0,Gamakay Griffin
20.3,0.045,0,Gamakay Griffin
20.6,0.045,0,Gamakay Griffin
20.9,0.045,0,Gamakay Griffin
21.2,0.045,0,Gamakay Griffin
21.6,0.05,0,Gamakay Griffin
22,0.05,0,Gamakay Griffin
22.5,0.05,0,Gamakay Griffin
22.8,0.05,0,Gamakay Griffin
23.1,0.055,0,Gamakay Griffin
23.3,0.055,0,Gamakay Griffin
23.7,0.055,0,Gamakay Griffin
23.9,0.055,0,Gamakay Griffin
24.3,0.055,0,Gamakay Griffin
24.6,0.06,0,Gamakay Griffin
24.9,0.06,0,Gamakay Griffin
25.4,0.06,0,Gamakay Griffin
25.9,0.065,0,Gamakay Griffin
26.3,0.065,0,Gamakay Griffin
26.5,0.065,0,Gamakay Griffin
26.9,0.07,0,Gamakay Griffin
27.6,0.07,0,Gamakay Griffin
28,0.07,0,Gamakay Griffin
28.3,0.075,0,Gamakay Griffin
28.7,0.075,0,Gamakay Griffin
29.1,0.075,0,Gamakay Griffin
29.5,0.08,0,Gamakay Griffin
29.9,0.08,0,Gamakay Griffin
30.4,0.085,0,Gamakay Griffin
31,0.085,0,Gamakay Griffin
31.6,0.09,0,Gamakay Griffin
32,0.09,0,Gamakay Griffin
32.7,0.095,0,Gamakay Griffin
33.3,0.095,0,Gamakay Griffin
33.9,0.1,0,Gamakay Griffin
34.4,0.105,0,Gamakay Griffin
34.9,0.11,0,Gamakay Griffin
35.4,0.11,0,Gamakay Griffin
35.6,0.115,0,Gamakay Griffin
35.9,0.115,0,Gamakay Griffin
36,0.12,0,Gamakay Griffin
36.3,0.12,0,Gamakay Griffin
36.4,0.12,0,Gamakay Griffin
36.5,0.125,0,Gamakay Griffin
36.6,0.125,0,Gamakay Griffin
36.9,0.13,0,Gamakay Griffin
37,0.13,0,Gamakay Griffin
37.2,0.13,0,Gamakay Griffin
37.3,0.135,0,Gamakay Griffin
37.5,0.14,0,Gamakay Griffin
37.6,0.14,0,Gamakay Griffin
37.6,0.145,0,Gamakay Griffin
37.4,0.145,0,Gamakay Griffin
37.3,0.15,0,Gamakay Griffin
37.4,0.15,0,Gamakay Griffin
37.4,0.155,0,Gamakay Griffin
37.4,0.155,0,Gamakay Griffin
37.3,0.16,0,Gamakay Griffin
37.3,0.165,0,Gamakay Griffin
37.3,0.165,0,Gamakay Griffin
37.3,0.17,0,Gamakay Griffin
37.5,0.175,0,Gamakay Griffin
37.5,0.18,0,Gamakay Griffin
37.3,0.18,0,Gamakay Griffin
37.4,0.185,0,Gamakay Griffin
37.3,0.19,0,Gamakay Griffin
37.3,0.19,0,Gamakay Griffin
37.4,0.195,0,Gamakay Griffin
37.3,0.2,0,Gamakay Griffin
37.3,0.205,0,Gamakay Griffin
37.3,0.205,0,Gamakay Griffin
37.2,0.21,0,Gamakay Griffin
37.2,0.21,0,Gamakay Griffin
37.1,0.215,0,Gamakay Griffin
37,0.215,0,Gamakay Griffin
36.9,0.215,0,Gamakay Griffin
37.1,0.215,0,Gamakay Griffin
37.3,0.22,0,Gamakay Griffin
37.3,0.22,0,Gamakay Griffin
37.3,0.225,0,Gamakay Griffin
37.4,0.225,0,Gamakay Griffin
37.3,0.23,0,Gamakay Griffin
37.4,0.235,0,Gamakay Griffin
37.1,0.235,0,Gamakay Griffin
37.2,0.24,0,Gamakay Griffin
37.2,0.24,0,Gamakay Griffin
37.2,0.245,0,Gamakay Griffin
37.2,0.245,0,Gamakay Griffin
37.1,0.25,0,Gamakay Griffin
37.2,0.25,0,Gamakay Griffin
37.3,0.255,0,Gamakay Griffin
37.3,0.255,0,Gamakay Griffin
37.3,0.26,0,Gamakay Griffin
37.3,0.26,0,Gamakay Griffin
37.3,0.265,0,Gamakay Griffin
37.3,0.27,0,Gamakay Griffin
37.3,0.27,0,Gamakay Griffin
37.3,0.275,0,Gamakay Griffin
37.2,0.275,0,Gamakay Griffin
37.3,0.28,0,Gamakay Griffin
37.3,0.285,0,Gamakay Griffin
37.3,0.285,0,Gamakay Griffin
37.2,0.29,0,Gamakay Griffin
37.2,0.29,0,Gamakay Griffin
37.5,0.295,0,Gamakay Griffin
37.5,0.3,0,Gamakay Griffin
37.4,0.305,0,Gamakay Griffin
37.2,0.305,0,Gamakay Griffin
37.1,0.31,0,Gamakay Griffin
37.2,0.31,0,Gamakay Griffin
37.5,0.315,0,Gamakay Griffin
37.5,0.315,0,Gamakay Griffin
37.3,0.32,0,Gamakay Griffin
37.3,0.325,0,Gamakay Griffin
37.4,0.33,0,Gamakay Griffin
37.6,0.33,0,Gamakay Griffin
37.7,0.34,0,Gamakay Griffin
37.6,0.345,0,Gamakay Griffin
37.6,0.35,0,Gamakay Griffin
37.5,0.355,0,Gamakay Griffin
37.3,0.355,0,Gamakay Griffin
37.2,0.36,0,Gamakay Griffin
37.3,0.36,0,Gamakay Griffin
37.4,0.365,0,Gamakay Griffin
37.5,0.365,0,Gamakay Griffin
37.5,0.37,0,Gamakay Griffin
37.5,0.375,0,Gamakay Griffin
37.6,0.38,0,Gamakay Griffin
37.7,0.385,0,Gamakay Griffin
37.7,0.385,0,Gamakay Griffin
37.7,0.39,0,Gamakay Griffin
37.7,0.395,0,Gamakay Griffin
37.6,0.4,0,Gamakay Griffin
37.6,0.405,0,Gamakay Griffin
37.7,0.41,0,Gamakay Griffin
37.7,0.41,0,Gamakay Griffin
37.8,0.415,0,Gamakay Griffin
37.8,0.42,0,Gamakay Griffin
37.6,0.425,0,Gamakay Griffin
37.8,0.425,0,Gamakay Griffin
37.9,0.43,0,Gamakay Griffin
37.8,0.435,0,Gamakay Griffin
37.6,0.435,0,Gamakay Griffin
37.6,0.44,0,Gamakay Griffin
37.7,0.44,0,Gamakay Griffin
37.7,0.445,0,Gamakay Griffin
37.9,0.445,0,Gamakay Griffin
38,0.45,0,Gamakay Griffin
38,0.455,0,Gamakay Griffin
37.8,0.46,0,Gamakay Griffin
37.9,0.46,0,Gamakay Griffin
38.1,0.465,0,Gamakay Griffin
38,0.47,0,Gamakay Griffin
38.1,0.475,0,Gamakay Griffin
38.3,0.48,0,Gamakay Griffin
38.3,0.485,0,Gamakay Griffin
38.6,0.49,0,Gamakay Griffin
38.5,0.495,0,Gamakay Griffin
38.5,0.505,0,Gamakay Griffin
38.5,0.51,0,Gamakay Griffin
38.4,0.515,0,Gamakay Griffin
38.4,0.52,0,Gamakay Griffin
38.5,0.525,0,Gamakay Griffin
38.6,0.53,0,Gamakay Griffin
38.5,0.535,0,Gamakay Griffin
38.5,0.54,0,Gamakay Griffin
38.7,0.545,0,Gamakay Griffin
38.7,0.555,0,Gamakay Griffin
38.7,0.56,0,Gamakay Griffin
38.6,0.57,0,Gamakay Griffin
38.6,0.575,0,Gamakay Griffin
38.7,0.58,0,Gamakay Griffin
38.8,0.585,0,Gamakay Griffin
38.8,0.59,0,Gamakay Griffin
38.8,0.595,0,Gamakay Griffin
38.9,0.6,0,Gamakay Griffin
39,0.61,0,Gamakay Griffin
39,0.615,0,Gamakay Griffin
38.9,0.625,0,Gamakay Griffin
38.9,0.63,0,Gamakay Griffin
38.8,0.635,0,Gamakay Griffin
38.8,0.64,0,Gamakay Griffin
38.7,0.64,0,Gamakay Griffin
38.7,0.645,0,Gamakay Griffin
38.8,0.645,0,Gamakay Griffin
38.8,0.65,0,Gamakay Griffin
38.8,0.65,0,Gamakay Griffin
38.8,0.655,0,Gamakay Griffin
38.8,0.655,0,Gamakay Griffin
38.8,0.66,0,Gamakay Griffin
38.7,0.66,0,Gamakay Griffin
38.6,0.665,0,Gamakay Griffin
38.8,0.665,0,Gamakay Griffin
39,0.67,0,Gamakay Griffin
39.3,0.675,0,Gamakay Griffin
39.2,0.68,0,Gamakay Griffin
39.1,0.685,0,Gamakay Griffin
38.9,0.69,0,Gamakay Griffin
38.4,0.69,0,Gamakay Griffin
38.6,0.69,0,Gamakay Griffin
38.5,0.69,0,Gamakay Griffin
38.5,0.69,0,Gamakay Griffin
38.8,0.695,0,Gamakay Griffin
39,0.695,0,Gamakay Griffin
39,0.695,0,Gamakay Griffin
39.2,0.695,0,Gamakay Griffin
39.3,0.7,0,Gamakay Griffin
39.2,0.7,0,Gamakay Griffin
39.1,0.705,0,Gamakay Griffin
39,0.705,0,Gamakay Griffin
38.8,0.705,0,Gamakay Griffin
38.7,0.705,0,Gamakay Griffin
38.8,0.71,0,Gamakay Griffin
39.1,0.71,0,Gamakay Griffin
39.2,0.71,0,Gamakay Griffin
39.3,0.715,0,Gamakay Griffin
39.2,0.715,0,Gamakay Griffin
39.3,0.715,0,Gamakay Griffin
39.2,0.72,0,Gamakay Griffin
39.3,0.72,0,Gamakay Griffin
39.3,0.725,0,Gamakay Griffin
39.3,0.725,0,Gamakay Griffin
39.2,0.725,0,Gamakay Griffin
39.4,0.73,0,Gamakay Griffin
39.4,0.73,0,Gamakay Griffin
39.3,0.735,0,Gamakay Griffin
39.3,0.735,0,Gamakay Griffin
39.3,0.74,0,Gamakay Griffin
39.3,0.74,0,Gamakay Griffin
39.5,0.745,0,Gamakay Griffin
39.5,0.745,0,Gamakay Griffin
39.4,0.75,0,Gamakay Griffin
39.4,0.75,0,Gamakay Griffin
39.4,0.755,0,Gamakay Griffin
39.4,0.755,0,Gamakay Griffin
39.4,0.755,0,Gamakay Griffin
39.5,0.76,0,Gamakay Griffin
39.5,0.76,0,Gamakay Griffin
39.6,0.76,0,Gamakay Griffin
39.6,0.765,0,Gamakay Griffin
39.3,0.765,0,Gamakay Griffin
39.1,0.765,0,Gamakay Griffin
39.3,0.765,0,Gamakay Griffin
39.6,0.77,0,Gamakay Griffin
39.4,0.77,0,Gamakay Griffin
39.7,0.77,0,Gamakay Griffin
39.8,0.77,0,Gamakay Griffin
39.8,0.775,0,Gamakay Griffin
39.8,0.775,0,Gamakay Griffin
39.9,0.775,0,Gamakay Griffin
40,0.78,0,Gamakay Griffin
40.2,0.78,0,Gamakay Griffin
40.2,0.785,0,Gamakay Griffin
40.6,0.79,0,Gamakay Griffin
40.7,0.795,0,Gamakay Griffin
40.2,0.8,0,Gamakay Griffin
40.6,0.8,0,Gamakay Griffin
40.7,0.805,0,Gamakay Griffin
40.5,0.805,0,Gamakay Griffin
40.2,0.805,0,Gamakay Griffin
40.4,0.805,0,Gamakay Griffin
40.5,0.805,0,Gamakay Griffin
40.7,0.81,0,Gamakay Griffin
