force,displacement,judge,name
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
-0.1,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0,0,0,Gateron Baby Kangaroo
0.1,0,0,Gateron Baby Kangaroo
0.5,0,0,Gateron Baby Kangaroo
0.5,0,0,Gateron Baby Kangaroo
0.8,0,0,Gateron Baby Kangaroo
1.8,0.005,0,Gateron Baby Kangaroo
3.3,0.005,0,Gateron Baby Kangaroo
4.9,0.005,0,Gateron Baby Kangaroo
6.6,0.01,0,Gateron Baby Kangaroo
8.2,0.01,0,Gateron Baby Kangaroo
9.8,0.01,0,Gateron Baby Kangaroo
11,0.015,0,Gateron Baby Kangaroo
12.6,0.015,0,Gateron Baby Kangaroo
14.2,0.015,0,Gateron Baby Kangaroo
15.8,0.02,0,Gateron Baby Kangaroo
18,0.025,0,Gateron Baby Kangaroo
20.1,0.025,0,Gateron Baby Kangaroo
22.2,0.03,0,Gateron Baby Kangaroo
24.2,0.03,0,Gateron Baby Kangaroo
26.2,0.03,0,Gateron Baby Kangaroo
29,0.035,0,Gateron Baby Kangaroo
31.3,0.035,0,Gateron Baby Kangaroo
33.3,0.04,0,Gateron Baby Kangaroo
35.7,0.045,0,Gateron Baby Kangaroo
38.1,0.045,0,Gateron Baby Kangaroo
39.8,0.05,0,Gateron Baby Kangaroo
41.5,0.05,0,Gateron Baby Kangaroo
43.5,0.055,0,Gateron Baby Kangaroo
45.5,0.055,0,Gateron Baby Kangaroo
47.5,0.06,0,Gateron Baby Kangaroo
49.6,0.065,0,Gateron Baby Kangaroo
50.9,0.065,0,Gateron Baby Kangaroo
51.4,0.07,0,Gateron Baby Kangaroo
52.1,0.075,0,Gateron Baby Kangaroo
52.7,0.08,0,Gateron Baby Kangaroo
52.8,0.08,0,Gateron Baby Kangaroo
52.8,0.085,0,Gateron Baby Kangaroo
52.9,0.09,0,Gateron Baby Kangaroo
53,0.09,0,Gateron Baby Kangaroo
52.8,0.095,0,Gateron Baby Kangaroo
52.9,0.1,0,Gateron Baby Kangaroo
53,0.1,0,Gateron Baby Kangaroo
53.1,0.105,0,Gateron Baby Kangaroo
53.1,0.11,0,Gateron Baby Kangaroo
53.3,0.115,0,Gateron Baby Kangaroo
53.4,0.12,0,Gateron Baby Kangaroo
53.4,0.125,0,Gateron Baby Kangaroo
53.7,0.125,0,Gateron Baby Kangaroo
53.9,0.13,0,Gateron Baby Kangaroo
53.9,0.135,0,Gateron Baby Kangaroo
54.1,0.14,0,Gateron Baby Kangaroo
54.2,0.14,0,Gateron Baby Kangaroo
54.2,0.145,0,Gateron Baby Kangaroo
54.3,0.15,0,Gateron Baby Kangaroo
54.2,0.15,0,Gateron Baby Kangaroo
54.5,0.155,0,Gateron Baby Kangaroo
54.5,0.16,0,Gateron Baby Kangaroo
54.5,0.16,0,Gateron Baby Kangaroo
54.7,0.165,0,Gateron Baby Kangaroo
54.7,0.17,0,Gateron Baby Kangaroo
54.9,0.175,0,Gateron Baby Kangaroo
55.2,0.18,0,Gateron Baby Kangaroo
55.3,0.185,0,Gateron Baby Kangaroo
55.2,0.19,0,Gateron Baby Kangaroo
55.4,0.195,0,Gateron Baby Kangaroo
55.6,0.2,0,Gateron Baby Kangaroo
55.5,0.205,0,Gateron Baby Kangaroo
55.6,0.21,0,Gateron Baby Kangaroo
55.6,0.215,0,Gateron Baby Kangaroo
55.7,0.225,0,Gateron Baby Kangaroo
55.7,0.23,0,Gateron Baby Kangaroo
56,0.235,0,Gateron Baby Kangaroo
56.2,0.24,0,Gateron Baby Kangaroo
56.1,0.245,0,Gateron Baby Kangaroo
56,0.25,0,Gateron Baby Kangaroo
56.3,0.255,0,Gateron Baby Kangaroo
56.6,0.26,0,Gateron Baby Kangaroo
56.8,0.26,0,Gateron Baby Kangaroo
56.9,0.27,0,Gateron Baby Kangaroo
57.1,0.275,0,Gateron Baby Kangaroo
57.1,0.28,0,Gateron Baby Kangaroo
57,0.285,0,Gateron Baby Kangaroo
57,0.29,0,Gateron Baby Kangaroo
57.1,0.29,0,Gateron Baby Kangaroo
57.1,0.295,0,Gateron Baby Kangaroo
57.2,0.295,0,Gateron Baby Kangaroo
57.3,0.3,0,Gateron Baby Kangaroo
57.3,0.3,0,Gateron Baby Kangaroo
57.4,0.305,0,Gateron Baby Kangaroo
57.5,0.31,0,Gateron Baby Kangaroo
57.4,0.315,0,Gateron Baby Kangaroo
57.6,0.315,0,Gateron Baby Kangaroo
57.7,0.32,0,Gateron Baby Kangaroo
57.8,0.325,0,Gateron Baby Kangaroo
57.9,0.33,0,Gateron Baby Kangaroo
57.9,0.34,0,Gateron Baby Kangaroo
58,0.345,0,Gateron Baby Kangaroo
58.1,0.35,0,Gateron Baby Kangaroo
58.1,0.355,0,Gateron Baby Kangaroo
58.3,0.36,0,Gateron Baby Kangaroo
58.4,0.365,0,Gateron Baby Kangaroo
58.6,0.37,0,Gateron Baby Kangaroo
58.4,0.375,0,Gateron Baby Kangaroo
58.3,0.375,0,Gateron Baby Kangaroo
58.3,0.38,0,Gateron Baby Kangaroo
58.4,0.38,0,Gateron Baby Kangaroo
58.6,0.385,0,Gateron Baby Kangaroo
58.5,0.385,0,Gateron Baby Kangaroo
58.5,0.39,0,Gateron Baby Kangaroo
58.5,0.395,0,Gateron Baby Kangaroo
58.4,0.4,0,Gateron Baby Kangaroo
58.3,0.405,0,Gateron Baby Kangaroo
58.3,0.41,0,Gateron Baby Kangaroo
58.2,0.415,0,Gateron Baby Kangaroo
58.4,0.42,0,Gateron Baby Kangaroo
58.3,0.425,0,Gateron Baby Kangaroo
58.3,0.43,0,Gateron Baby Kangaroo
58.4,0.435,0,Gateron Baby Kangaroo
58.4,0.44,0,Gateron Baby Kangaroo
58.4,0.445,0,Gateron Baby Kangaroo
58.4,0.45,0,Gateron Baby Kangaroo
58.4,0.455,0,Gateron Baby Kangaroo
58.4,0.455,0,Gateron Baby Kangaroo
58.5,0.46,0,Gateron Baby Kangaroo
58.4,0.465,0,Gateron Baby Kangaroo
58.5,0.47,0,Gateron Baby Kangaroo
58.5,0.47,0,Gateron Baby Kangaroo
58.6,0.475,0,Gateron Baby Kangaroo
58.6,0.475,0,Gateron Baby Kangaroo
58.6,0.48,0,Gateron Baby Kangaroo
58.8,0.485,0,Gateron Baby Kangaroo
58.8,0.485,0,Gateron Baby Kangaroo
58.6,0.49,0,Gateron Baby Kangaroo
58.6,0.495,0,Gateron Baby Kangaroo
58.6,0.495,0,Gateron Baby Kangaroo
58.6,0.495,0,Gateron Baby Kangaroo
58.7,0.5,0,Gateron Baby Kangaroo
58.7,0.5,0,Gateron Baby Kangaroo
58.6,0.505,0,Gateron Baby Kangaroo
58.6,0.505,0,Gateron Baby Kangaroo
58.7,0.51,0,Gateron Baby Kangaroo
58.8,0.51,0,Gateron Baby Kangaroo
58.8,0.51,0,Gateron Baby Kangaroo
58.7,0.515,0,Gateron Baby Kangaroo
58.7,0.515,0,Gateron Baby Kangaroo
58.7,0.515,0,Gateron Baby Kangaroo
