force,displacement,judge,name
0.1,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0.1,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
-0.1,0,0,Gateron CJ Light Blue
-0.1,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0,0,Gateron CJ Light Blue
0,0.005,0,Gateron CJ Light Blue
0.1,0.005,0,Gateron CJ Light Blue
0,0.005,0,Gateron CJ Light Blue
0,0.005,0,Gateron CJ Light Blue
0.6,0.01,0,Gateron CJ Light Blue
2.1,0.01,0,Gateron CJ Light Blue
4.1,0.01,0,Gateron CJ Light Blue
5.1,0.015,0,Gateron CJ Light Blue
5.6,0.015,0,Gateron CJ Light Blue
6.1,0.02,0,Gateron CJ Light Blue
6.9,0.02,0,Gateron CJ Light Blue
7.8,0.02,0,Gateron CJ Light Blue
9.5,0.025,0,Gateron CJ Light Blue
11.3,0.025,0,Gateron CJ Light Blue
13.1,0.03,0,Gateron CJ Light Blue
14.9,0.03,0,Gateron CJ Light Blue
16.2,0.03,0,Gateron CJ Light Blue
17.6,0.035,0,Gateron CJ Light Blue
18.7,0.035,0,Gateron CJ Light Blue
19.5,0.035,0,Gateron CJ Light Blue
20.7,0.035,0,Gateron CJ Light Blue
22,0.035,0,Gateron CJ Light Blue
23.3,0.04,0,Gateron CJ Light Blue
24.7,0.04,0,Gateron CJ Light Blue
25.8,0.04,0,Gateron CJ Light Blue
26.4,0.04,0,Gateron CJ Light Blue
27.2,0.04,0,Gateron CJ Light Blue
27.5,0.045,0,Gateron CJ Light Blue
28,0.045,0,Gateron CJ Light Blue
28.4,0.045,0,Gateron CJ Light Blue
28.6,0.045,0,Gateron CJ Light Blue
28.9,0.045,0,Gateron CJ Light Blue
29.2,0.045,0,Gateron CJ Light Blue
29.7,0.045,0,Gateron CJ Light Blue
30.1,0.045,0,Gateron CJ Light Blue
30.6,0.045,0,Gateron CJ Light Blue
31.2,0.045,0,Gateron CJ Light Blue
32,0.045,0,Gateron CJ Light Blue
32.9,0.05,0,Gateron CJ Light Blue
33.7,0.05,0,Gateron CJ Light Blue
34.5,0.05,0,Gateron CJ Light Blue
35.1,0.05,0,Gateron CJ Light Blue
35.9,0.05,0,Gateron CJ Light Blue
36.7,0.05,0,Gateron CJ Light Blue
37.4,0.05,0,Gateron CJ Light Blue
38.8,0.055,0,Gateron CJ Light Blue
38.5,0.055,0,Gateron CJ Light Blue
39.2,0.055,0,Gateron CJ Light Blue
40.6,0.055,0,Gateron CJ Light Blue
41.7,0.055,0,Gateron CJ Light Blue
42.1,0.055,0,Gateron CJ Light Blue
43.2,0.06,0,Gateron CJ Light Blue
44.9,0.06,0,Gateron CJ Light Blue
43.2,0.06,0,Gateron CJ Light Blue
43.1,0.065,0,Gateron CJ Light Blue
43.5,0.065,0,Gateron CJ Light Blue
44.6,0.065,0,Gateron CJ Light Blue
45.7,0.07,0,Gateron CJ Light Blue
44.9,0.075,0,Gateron CJ Light Blue
44.4,0.08,0,Gateron CJ Light Blue
43.8,0.08,0,Gateron CJ Light Blue
44.1,0.085,0,Gateron CJ Light Blue
43.9,0.09,0,Gateron CJ Light Blue
44.5,0.095,0,Gateron CJ Light Blue
45.1,0.095,0,Gateron CJ Light Blue
45.3,0.095,0,Gateron CJ Light Blue
45.3,0.1,0,Gateron CJ Light Blue
45.1,0.1,0,Gateron CJ Light Blue
44.5,0.1,0,Gateron CJ Light Blue
44.1,0.1,0,Gateron CJ Light Blue
45,0.105,0,Gateron CJ Light Blue
44.3,0.105,0,Gateron CJ Light Blue
44.5,0.11,0,Gateron CJ Light Blue
44.3,0.11,0,Gateron CJ Light Blue
44.6,0.11,0,Gateron CJ Light Blue
44.4,0.115,0,Gateron CJ Light Blue
44.2,0.12,0,Gateron CJ Light Blue
44.1,0.125,0,Gateron CJ Light Blue
44,0.125,0,Gateron CJ Light Blue
44.3,0.13,0,Gateron CJ Light Blue
44.2,0.13,0,Gateron CJ Light Blue
44.3,0.135,0,Gateron CJ Light Blue
44.2,0.14,0,Gateron CJ Light Blue
44.4,0.145,0,Gateron CJ Light Blue
44.3,0.15,0,Gateron CJ Light Blue
44.3,0.155,0,Gateron CJ Light Blue
44.2,0.155,0,Gateron CJ Light Blue
44.4,0.16,0,Gateron CJ Light Blue
44.5,0.165,0,Gateron CJ Light Blue
44.6,0.17,0,Gateron CJ Light Blue
44.1,0.175,0,Gateron CJ Light Blue
44,0.18,0,Gateron CJ Light Blue
44,0.185,0,Gateron CJ Light Blue
44.1,0.185,0,Gateron CJ Light Blue
44.3,0.19,0,Gateron CJ Light Blue
44.4,0.195,0,Gateron CJ Light Blue
44.3,0.195,0,Gateron CJ Light Blue
44.2,0.2,0,Gateron CJ Light Blue
44.3,0.2,0,Gateron CJ Light Blue
44.4,0.205,0,Gateron CJ Light Blue
44.4,0.205,0,Gateron CJ Light Blue
44.4,0.21,0,Gateron CJ Light Blue
44.5,0.21,0,Gateron CJ Light Blue
44.5,0.215,0,Gateron CJ Light Blue
44.6,0.215,0,Gateron CJ Light Blue
44.8,0.22,0,Gateron CJ Light Blue
44.9,0.22,0,Gateron CJ Light Blue
44.9,0.225,0,Gateron CJ Light Blue
45,0.225,0,Gateron CJ Light Blue
44.7,0.23,0,Gateron CJ Light Blue
44.7,0.235,0,Gateron CJ Light Blue
44.8,0.235,0,Gateron CJ Light Blue
44.8,0.24,0,Gateron CJ Light Blue
44.8,0.245,0,Gateron CJ Light Blue
44.6,0.25,0,Gateron CJ Light Blue
44.5,0.255,0,Gateron CJ Light Blue
44.6,0.26,0,Gateron CJ Light Blue
44.7,0.26,0,Gateron CJ Light Blue
44.8,0.265,0,Gateron CJ Light Blue
44.9,0.27,0,Gateron CJ Light Blue
45,0.275,0,Gateron CJ Light Blue
45,0.275,0,Gateron CJ Light Blue
45,0.28,0,Gateron CJ Light Blue
45,0.285,0,Gateron CJ Light Blue
44.9,0.285,0,Gateron CJ Light Blue
44.9,0.29,0,Gateron CJ Light Blue
44.9,0.29,0,Gateron CJ Light Blue
44.9,0.295,0,Gateron CJ Light Blue
44.7,0.305,0,Gateron CJ Light Blue
44.9,0.31,0,Gateron CJ Light Blue
45,0.315,0,Gateron CJ Light Blue
45,0.315,0,Gateron CJ Light Blue
44.8,0.32,0,Gateron CJ Light Blue
44.9,0.325,0,Gateron CJ Light Blue
44.9,0.325,0,Gateron CJ Light Blue
45,0.33,0,Gateron CJ Light Blue
45.1,0.335,0,Gateron CJ Light Blue
44.9,0.335,0,Gateron CJ Light Blue
44.8,0.34,0,Gateron CJ Light Blue
45,0.34,0,Gateron CJ Light Blue
45,0.345,0,Gateron CJ Light Blue
45.2,0.35,0,Gateron CJ Light Blue
45,0.35,0,Gateron CJ Light Blue
45,0.355,0,Gateron CJ Light Blue
45,0.36,0,Gateron CJ Light Blue
45,0.365,0,Gateron CJ Light Blue
45.1,0.37,0,Gateron CJ Light Blue
45.1,0.375,0,Gateron CJ Light Blue
45.3,0.38,0,Gateron CJ Light Blue
45.2,0.385,0,Gateron CJ Light Blue
45,0.39,0,Gateron CJ Light Blue
45.2,0.395,0,Gateron CJ Light Blue
45.3,0.395,0,Gateron CJ Light Blue
45.4,0.4,0,Gateron CJ Light Blue
45.3,0.405,0,Gateron CJ Light Blue
45.3,0.41,0,Gateron CJ Light Blue
45.5,0.41,0,Gateron CJ Light Blue
45.6,0.415,0,Gateron CJ Light Blue
45.5,0.42,0,Gateron CJ Light Blue
45.5,0.42,0,Gateron CJ Light Blue
45.5,0.425,0,Gateron CJ Light Blue
45.5,0.425,0,Gateron CJ Light Blue
45.5,0.43,0,Gateron CJ Light Blue
45.7,0.43,0,Gateron CJ Light Blue
45.8,0.435,0,Gateron CJ Light Blue
45.9,0.435,0,Gateron CJ Light Blue
45.9,0.44,0,Gateron CJ Light Blue
45.8,0.44,0,Gateron CJ Light Blue
45.9,0.44,0,Gateron CJ Light Blue
46,0.445,0,Gateron CJ Light Blue
46,0.445,0,Gateron CJ Light Blue
45.9,0.445,0,Gateron CJ Light Blue
45.7,0.45,0,Gateron CJ Light Blue
45.7,0.45,0,Gateron CJ Light Blue
45.6,0.455,0,Gateron CJ Light Blue
45.4,0.455,0,Gateron CJ Light Blue
45.4,0.455,0,Gateron CJ Light Blue
45.5,0.46,0,Gateron CJ Light Blue
