force,displacement,judge,name
-0.1,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
-0.1,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
-0.1,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0.1,0.005,0,Gateron Camping
-0.1,0.005,0,Gateron Camping
-0.1,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
0,0.005,0,Gateron Camping
1.5,0.01,0,Gateron Camping
4,0.01,0,Gateron Camping
6.3,0.015,0,Gateron Camping
8.2,0.015,0,Gateron Camping
9.8,0.015,0,Gateron Camping
11.2,0.02,0,Gateron Camping
12.4,0.02,0,Gateron Camping
13.5,0.02,0,Gateron Camping
14.7,0.02,0,Gateron Camping
15.8,0.025,0,Gateron Camping
17,0.025,0,Gateron Camping
18.1,0.025,0,Gateron Camping
19.3,0.025,0,Gateron Camping
20.4,0.03,0,Gateron Camping
21.5,0.03,0,Gateron Camping
22.6,0.03,0,Gateron Camping
23.4,0.03,0,Gateron Camping
24.2,0.03,0,Gateron Camping
24.9,0.035,0,Gateron Camping
25.6,0.035,0,Gateron Camping
26.1,0.035,0,Gateron Camping
26.7,0.035,0,Gateron Camping
27.2,0.035,0,Gateron Camping
27.8,0.035,0,Gateron Camping
28.5,0.035,0,Gateron Camping
29.3,0.035,0,Gateron Camping
30.2,0.04,0,Gateron Camping
31,0.04,0,Gateron Camping
31.7,0.04,0,Gateron Camping
32.4,0.04,0,Gateron Camping
33,0.04,0,Gateron Camping
33.6,0.04,0,Gateron Camping
34.1,0.045,0,Gateron Camping
34.7,0.045,0,Gateron Camping
35.4,0.045,0,Gateron Camping
36.2,0.045,0,Gateron Camping
36.8,0.045,0,Gateron Camping
37.6,0.045,0,Gateron Camping
38.4,0.05,0,Gateron Camping
39.3,0.05,0,Gateron Camping
40,0.05,0,Gateron Camping
40.9,0.05,0,Gateron Camping
41.7,0.05,0,Gateron Camping
42.4,0.05,0,Gateron Camping
43.1,0.055,0,Gateron Camping
43.7,0.055,0,Gateron Camping
44.1,0.055,0,Gateron Camping
44.7,0.055,0,Gateron Camping
45,0.055,0,Gateron Camping
45.3,0.06,0,Gateron Camping
45.5,0.06,0,Gateron Camping
45.7,0.06,0,Gateron Camping
45.6,0.06,0,Gateron Camping
45.4,0.06,0,Gateron Camping
44.9,0.065,0,Gateron Camping
44.6,0.065,0,Gateron Camping
44.3,0.065,0,Gateron Camping
44.1,0.065,0,Gateron Camping
43.8,0.065,0,Gateron Camping
43.6,0.07,0,Gateron Camping
43.5,0.07,0,Gateron Camping
43.6,0.07,0,Gateron Camping
43.4,0.07,0,Gateron Camping
43.3,0.075,0,Gateron Camping
43.3,0.075,0,Gateron Camping
43.1,0.075,0,Gateron Camping
42.9,0.08,0,Gateron Camping
42.9,0.08,0,Gateron Camping
43.2,0.085,0,Gateron Camping
43,0.085,0,Gateron Camping
42.8,0.09,0,Gateron Camping
42.6,0.09,0,Gateron Camping
42.6,0.095,0,Gateron Camping
42.9,0.1,0,Gateron Camping
42.3,0.1,0,Gateron Camping
42.1,0.105,0,Gateron Camping
41.7,0.11,0,Gateron Camping
41.6,0.11,0,Gateron Camping
41.6,0.11,0,Gateron Camping
41.8,0.115,0,Gateron Camping
42.3,0.115,0,Gateron Camping
42.3,0.12,0,Gateron Camping
42.6,0.12,0,Gateron Camping
42.7,0.125,0,Gateron Camping
42.6,0.13,0,Gateron Camping
42.4,0.135,0,Gateron Camping
42.1,0.14,0,Gateron Camping
41.8,0.145,0,Gateron Camping
41.8,0.15,0,Gateron Camping
41.8,0.155,0,Gateron Camping
41.9,0.16,0,Gateron Camping
41.7,0.165,0,Gateron Camping
41.3,0.17,0,Gateron Camping
41.2,0.17,0,Gateron Camping
41.2,0.175,0,Gateron Camping
41.1,0.18,0,Gateron Camping
41,0.18,0,Gateron Camping
40.9,0.185,0,Gateron Camping
41,0.185,0,Gateron Camping
40.9,0.19,0,Gateron Camping
41.1,0.195,0,Gateron Camping
41.1,0.195,0,Gateron Camping
40.6,0.2,0,Gateron Camping
40.6,0.2,0,Gateron Camping
40.7,0.205,0,Gateron Camping
40.8,0.205,0,Gateron Camping
40.9,0.205,0,Gateron Camping
40.8,0.21,0,Gateron Camping
40.7,0.21,0,Gateron Camping
40.8,0.21,0,Gateron Camping
40.9,0.215,0,Gateron Camping
40.9,0.215,0,Gateron Camping
41,0.215,0,Gateron Camping
41,0.22,0,Gateron Camping
40.9,0.22,0,Gateron Camping
40.9,0.22,0,Gateron Camping
40.9,0.225,0,Gateron Camping
41,0.225,0,Gateron Camping
40.9,0.225,0,Gateron Camping
40.8,0.23,0,Gateron Camping
40.9,0.23,0,Gateron Camping
40.9,0.23,0,Gateron Camping
40.9,0.23,0,Gateron Camping
40.2,0.235,0,Gateron Camping
39.9,0.235,0,Gateron Camping
40,0.235,0,Gateron Camping
40.4,0.235,0,Gateron Camping
40.7,0.24,0,Gateron Camping
41,0.24,0,Gateron Camping
41.3,0.24,0,Gateron Camping
41.7,0.245,0,Gateron Camping
41.8,0.245,0,Gateron Camping
41.9,0.25,0,Gateron Camping
41.9,0.25,0,Gateron Camping
41.8,0.25,0,Gateron Camping
41.8,0.255,0,Gateron Camping
42,0.255,0,Gateron Camping
41.9,0.26,0,Gateron Camping
41.9,0.265,0,Gateron Camping
41.9,0.265,0,Gateron Camping
41.8,0.27,0,Gateron Camping
41.8,0.275,0,Gateron Camping
41.7,0.275,0,Gateron Camping
41.5,0.28,0,Gateron Camping
41.5,0.285,0,Gateron Camping
41.5,0.285,0,Gateron Camping
41.3,0.29,0,Gateron Camping
41.3,0.295,0,Gateron Camping
41.6,0.3,0,Gateron Camping
41.3,0.3,0,Gateron Camping
41.4,0.305,0,Gateron Camping
41.4,0.31,0,Gateron Camping
41.2,0.315,0,Gateron Camping
41.2,0.315,0,Gateron Camping
41.2,0.32,0,Gateron Camping
41.1,0.325,0,Gateron Camping
41.3,0.33,0,Gateron Camping
40.9,0.335,0,Gateron Camping
40.9,0.34,0,Gateron Camping
40.8,0.34,0,Gateron Camping
40.9,0.345,0,Gateron Camping
41.1,0.345,0,Gateron Camping
41.7,0.35,0,Gateron Camping
41.3,0.355,0,Gateron Camping
41.2,0.36,0,Gateron Camping
41.3,0.365,0,Gateron Camping
41.3,0.365,0,Gateron Camping
41.3,0.37,0,Gateron Camping
41.4,0.375,0,Gateron Camping
41.5,0.38,0,Gateron Camping
41.5,0.38,0,Gateron Camping
41.3,0.385,0,Gateron Camping
41.3,0.39,0,Gateron Camping
41.1,0.395,0,Gateron Camping
41.1,0.4,0,Gateron Camping
40.9,0.4,0,Gateron Camping
