force,displacement,judge,name
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0.1,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0.1,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0,0,Gateron Cap Crystal Brown
0,0.005,0,Gateron Cap Crystal Brown
-0.1,0.005,0,Gateron Cap Crystal Brown
-0.1,0.005,0,Gateron Cap Crystal Brown
0,0.01,0,Gateron Cap Crystal Brown
0.1,0.015,0,Gateron Cap Crystal Brown
0,0.02,0,Gateron Cap Crystal Brown
3,0.025,0,Gateron Cap Crystal Brown
8.7,0.03,0,Gateron Cap Crystal Brown
15.6,0.035,0,Gateron Cap Crystal Brown
22.3,0.045,0,Gateron Cap Crystal Brown
27.9,0.05,0,Gateron Cap Crystal Brown
32.2,0.055,0,Gateron Cap Crystal Brown
33.8,0.06,0,Gateron Cap Crystal Brown
34.6,0.065,0,Gateron Cap Crystal Brown
35.4,0.065,0,Gateron Cap Crystal Brown
35.9,0.07,0,Gateron Cap Crystal Brown
35.5,0.075,0,Gateron Cap Crystal Brown
35.1,0.075,0,Gateron Cap Crystal Brown
34.6,0.085,0,Gateron Cap Crystal Brown
34.2,0.09,0,Gateron Cap Crystal Brown
34,0.095,0,Gateron Cap Crystal Brown
33.9,0.095,0,Gateron Cap Crystal Brown
34,0.1,0,Gateron Cap Crystal Brown
33.8,0.105,0,Gateron Cap Crystal Brown
33.6,0.11,0,Gateron Cap Crystal Brown
33.5,0.115,0,Gateron Cap Crystal Brown
33.5,0.115,0,Gateron Cap Crystal Brown
33.4,0.12,0,Gateron Cap Crystal Brown
33.2,0.125,0,Gateron Cap Crystal Brown
33.1,0.125,0,Gateron Cap Crystal Brown
33.3,0.125,0,Gateron Cap Crystal Brown
33.3,0.13,0,Gateron Cap Crystal Brown
33.4,0.13,0,Gateron Cap Crystal Brown
33.4,0.135,0,Gateron Cap Crystal Brown
33.6,0.135,0,Gateron Cap Crystal Brown
33.6,0.14,0,Gateron Cap Crystal Brown
33.6,0.145,0,Gateron Cap Crystal Brown
33.5,0.145,0,Gateron Cap Crystal Brown
33.4,0.15,0,Gateron Cap Crystal Brown
33.6,0.15,0,Gateron Cap Crystal Brown
33.7,0.15,0,Gateron Cap Crystal Brown
33.6,0.155,0,Gateron Cap Crystal Brown
33.5,0.155,0,Gateron Cap Crystal Brown
33.5,0.155,0,Gateron Cap Crystal Brown
33.6,0.16,0,Gateron Cap Crystal Brown
33.7,0.16,0,Gateron Cap Crystal Brown
33.9,0.165,0,Gateron Cap Crystal Brown
33.8,0.165,0,Gateron Cap Crystal Brown
33.6,0.17,0,Gateron Cap Crystal Brown
33.4,0.17,0,Gateron Cap Crystal Brown
33.3,0.175,0,Gateron Cap Crystal Brown
33.5,0.175,0,Gateron Cap Crystal Brown
33.7,0.18,0,Gateron Cap Crystal Brown
33.6,0.185,0,Gateron Cap Crystal Brown
33.5,0.19,0,Gateron Cap Crystal Brown
33.5,0.19,0,Gateron Cap Crystal Brown
33.5,0.195,0,Gateron Cap Crystal Brown
33.3,0.2,0,Gateron Cap Crystal Brown
33.3,0.2,0,Gateron Cap Crystal Brown
33.4,0.205,0,Gateron Cap Crystal Brown
33.6,0.205,0,Gateron Cap Crystal Brown
33.6,0.21,0,Gateron Cap Crystal Brown
33.7,0.21,0,Gateron Cap Crystal Brown
33.6,0.215,0,Gateron Cap Crystal Brown
33.5,0.22,0,Gateron Cap Crystal Brown
33.3,0.22,0,Gateron Cap Crystal Brown
33.1,0.22,0,Gateron Cap Crystal Brown
33.2,0.225,0,Gateron Cap Crystal Brown
33.3,0.225,0,Gateron Cap Crystal Brown
33.3,0.23,0,Gateron Cap Crystal Brown
33.3,0.23,0,Gateron Cap Crystal Brown
33.5,0.235,0,Gateron Cap Crystal Brown
33.5,0.235,0,Gateron Cap Crystal Brown
33.5,0.24,0,Gateron Cap Crystal Brown
33.6,0.245,0,Gateron Cap Crystal Brown
33.6,0.245,0,Gateron Cap Crystal Brown
33.5,0.25,0,Gateron Cap Crystal Brown
33.5,0.255,0,Gateron Cap Crystal Brown
33.6,0.26,0,Gateron Cap Crystal Brown
33.7,0.265,0,Gateron Cap Crystal Brown
33.9,0.265,0,Gateron Cap Crystal Brown
34,0.27,0,Gateron Cap Crystal Brown
34,0.275,0,Gateron Cap Crystal Brown
33.9,0.28,0,Gateron Cap Crystal Brown
33.7,0.285,0,Gateron Cap Crystal Brown
33.6,0.29,0,Gateron Cap Crystal Brown
33.4,0.295,0,Gateron Cap Crystal Brown
33.4,0.3,0,Gateron Cap Crystal Brown
33.4,0.3,0,Gateron Cap Crystal Brown
33.3,0.305,0,Gateron Cap Crystal Brown
33.5,0.31,0,Gateron Cap Crystal Brown
33.6,0.31,0,Gateron Cap Crystal Brown
33.1,0.315,0,Gateron Cap Crystal Brown
33.4,0.32,0,Gateron Cap Crystal Brown
33.4,0.32,0,Gateron Cap Crystal Brown
33.5,0.325,0,Gateron Cap Crystal Brown
33.5,0.325,0,Gateron Cap Crystal Brown
33.5,0.33,0,Gateron Cap Crystal Brown
33.3,0.335,0,Gateron Cap Crystal Brown
33.6,0.335,0,Gateron Cap Crystal Brown
33.5,0.34,0,Gateron Cap Crystal Brown
33.5,0.34,0,Gateron Cap Crystal Brown
33.6,0.345,0,Gateron Cap Crystal Brown
33.1,0.35,0,Gateron Cap Crystal Brown
33.6,0.35,0,Gateron Cap Crystal Brown
33.5,0.355,0,Gateron Cap Crystal Brown
33.4,0.36,0,Gateron Cap Crystal Brown
33.8,0.36,0,Gateron Cap Crystal Brown
34,0.37,0,Gateron Cap Crystal Brown
33.7,0.37,0,Gateron Cap Crystal Brown
33.9,0.375,0,Gateron Cap Crystal Brown
33.5,0.38,0,Gateron Cap Crystal Brown
33.5,0.38,0,Gateron Cap Crystal Brown
33.7,0.385,0,Gateron Cap Crystal Brown
33.6,0.385,0,Gateron Cap Crystal Brown
33.6,0.39,0,Gateron Cap Crystal Brown
33.4,0.39,0,Gateron Cap Crystal Brown
33.2,0.395,0,Gateron Cap Crystal Brown
33.2,0.395,0,Gateron Cap Crystal Brown
33.5,0.4,0,Gateron Cap Crystal Brown
33.5,0.4,0,Gateron Cap Crystal Brown
33.5,0.405,0,Gateron Cap Crystal Brown
33.5,0.41,0,Gateron Cap Crystal Brown
33.7,0.41,0,Gateron Cap Crystal Brown
33.7,0.415,0,Gateron Cap Crystal Brown
33.8,0.415,0,Gateron Cap Crystal Brown
33.9,0.42,0,Gateron Cap Crystal Brown
34.1,0.42,0,Gateron Cap Crystal Brown
34,0.425,0,Gateron Cap Crystal Brown
34.1,0.43,0,Gateron Cap Crystal Brown
34.1,0.43,0,Gateron Cap Crystal Brown
34.2,0.435,0,Gateron Cap Crystal Brown
34,0.44,0,Gateron Cap Crystal Brown
33.9,0.445,0,Gateron Cap Crystal Brown
33.8,0.45,0,Gateron Cap Crystal Brown
33.8,0.45,0,Gateron Cap Crystal Brown
34,0.455,0,Gateron Cap Crystal Brown
34.2,0.465,0,Gateron Cap Crystal Brown
34.3,0.47,0,Gateron Cap Crystal Brown
34.2,0.475,0,Gateron Cap Crystal Brown
34.2,0.48,0,Gateron Cap Crystal Brown
34.4,0.485,0,Gateron Cap Crystal Brown
34.3,0.49,0,Gateron Cap Crystal Brown
34.3,0.495,0,Gateron Cap Crystal Brown
34.3,0.5,0,Gateron Cap Crystal Brown
34.1,0.505,0,Gateron Cap Crystal Brown
34.2,0.51,0,Gateron Cap Crystal Brown
34.2,0.515,0,Gateron Cap Crystal Brown
34.1,0.52,0,Gateron Cap Crystal Brown
34.3,0.525,0,Gateron Cap Crystal Brown
34.3,0.53,0,Gateron Cap Crystal Brown
34.3,0.53,0,Gateron Cap Crystal Brown
34.2,0.535,0,Gateron Cap Crystal Brown
34.2,0.535,0,Gateron Cap Crystal Brown
34.3,0.54,0,Gateron Cap Crystal Brown
34.2,0.54,0,Gateron Cap Crystal Brown
34.2,0.545,0,Gateron Cap Crystal Brown
34.2,0.545,0,Gateron Cap Crystal Brown
34.2,0.545,0,Gateron Cap Crystal Brown
34.4,0.55,0,Gateron Cap Crystal Brown
34.4,0.55,0,Gateron Cap Crystal Brown
34.5,0.55,0,Gateron Cap Crystal Brown
