force,displacement,judge,name
0,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0.2,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
-0.1,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0.1,0,0,Gateron Cap Crystal Red
0,0.005,0,Gateron Cap Crystal Red
0,0.005,0,Gateron Cap Crystal Red
0,0.005,0,Gateron Cap Crystal Red
0,0.005,0,Gateron Cap Crystal Red
0.1,0.005,0,Gateron Cap Crystal Red
0,0.01,0,Gateron Cap Crystal Red
0,0.01,0,Gateron Cap Crystal Red
0,0.01,0,Gateron Cap Crystal Red
0,0.015,0,Gateron Cap Crystal Red
0,0.015,0,Gateron Cap Crystal Red
0.9,0.015,0,Gateron Cap Crystal Red
2.2,0.02,0,Gateron Cap Crystal Red
3.6,0.02,0,Gateron Cap Crystal Red
5.1,0.02,0,Gateron Cap Crystal Red
6.9,0.025,0,Gateron Cap Crystal Red
8.9,0.025,0,Gateron Cap Crystal Red
10.9,0.03,0,Gateron Cap Crystal Red
13.2,0.03,0,Gateron Cap Crystal Red
15.6,0.035,0,Gateron Cap Crystal Red
18,0.035,0,Gateron Cap Crystal Red
20.3,0.04,0,Gateron Cap Crystal Red
22.3,0.04,0,Gateron Cap Crystal Red
23.7,0.04,0,Gateron Cap Crystal Red
24.9,0.045,0,Gateron Cap Crystal Red
25.8,0.045,0,Gateron Cap Crystal Red
26,0.045,0,Gateron Cap Crystal Red
26.8,0.045,0,Gateron Cap Crystal Red
28.1,0.045,0,Gateron Cap Crystal Red
29.7,0.05,0,Gateron Cap Crystal Red
31.6,0.05,0,Gateron Cap Crystal Red
34.1,0.05,0,Gateron Cap Crystal Red
36.5,0.055,0,Gateron Cap Crystal Red
37.6,0.055,0,Gateron Cap Crystal Red
36.6,0.06,0,Gateron Cap Crystal Red
36.1,0.06,0,Gateron Cap Crystal Red
36.4,0.06,0,Gateron Cap Crystal Red
36.5,0.065,0,Gateron Cap Crystal Red
36.3,0.065,0,Gateron Cap Crystal Red
36.2,0.065,0,Gateron Cap Crystal Red
36.2,0.07,0,Gateron Cap Crystal Red
36.1,0.07,0,Gateron Cap Crystal Red
36,0.07,0,Gateron Cap Crystal Red
36.1,0.07,0,Gateron Cap Crystal Red
36.2,0.07,0,Gateron Cap Crystal Red
36.3,0.07,0,Gateron Cap Crystal Red
36.4,0.075,0,Gateron Cap Crystal Red
36.5,0.075,0,Gateron Cap Crystal Red
36.6,0.075,0,Gateron Cap Crystal Red
36.6,0.075,0,Gateron Cap Crystal Red
36.6,0.075,0,Gateron Cap Crystal Red
36.6,0.08,0,Gateron Cap Crystal Red
36.6,0.08,0,Gateron Cap Crystal Red
36.7,0.08,0,Gateron Cap Crystal Red
36.7,0.08,0,Gateron Cap Crystal Red
36.7,0.08,0,Gateron Cap Crystal Red
36.5,0.085,0,Gateron Cap Crystal Red
36.7,0.085,0,Gateron Cap Crystal Red
37,0.085,0,Gateron Cap Crystal Red
36.6,0.09,0,Gateron Cap Crystal Red
36.8,0.09,0,Gateron Cap Crystal Red
36.7,0.09,0,Gateron Cap Crystal Red
36.7,0.09,0,Gateron Cap Crystal Red
36.5,0.095,0,Gateron Cap Crystal Red
36.5,0.095,0,Gateron Cap Crystal Red
36.4,0.095,0,Gateron Cap Crystal Red
36.5,0.095,0,Gateron Cap Crystal Red
36.6,0.095,0,Gateron Cap Crystal Red
36.7,0.1,0,Gateron Cap Crystal Red
36.8,0.1,0,Gateron Cap Crystal Red
36.9,0.1,0,Gateron Cap Crystal Red
36.8,0.105,0,Gateron Cap Crystal Red
36.6,0.105,0,Gateron Cap Crystal Red
36.6,0.105,0,Gateron Cap Crystal Red
36.7,0.11,0,Gateron Cap Crystal Red
