force,displacement,judge,name
-0.1,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
-0.1,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0.1,0,0,Gateron Cap Crystal Yellow
-0.1,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0,0,Gateron Cap Crystal Yellow
0,0.005,0,Gateron Cap Crystal Yellow
0,0.005,0,Gateron Cap Crystal Yellow
0.1,0.01,0,Gateron Cap Crystal Yellow
0.1,0.01,0,Gateron Cap Crystal Yellow
0.1,0.015,0,Gateron Cap Crystal Yellow
0.1,0.015,0,Gateron Cap Crystal Yellow
0.2,0.02,0,Gateron Cap Crystal Yellow
0.2,0.025,0,Gateron Cap Crystal Yellow
0.2,0.025,0,Gateron Cap Crystal Yellow
1,0.03,0,Gateron Cap Crystal Yellow
2.7,0.03,0,Gateron Cap Crystal Yellow
4.5,0.03,0,Gateron Cap Crystal Yellow
6.3,0.035,0,Gateron Cap Crystal Yellow
7.9,0.035,0,Gateron Cap Crystal Yellow
9.3,0.04,0,Gateron Cap Crystal Yellow
11,0.04,0,Gateron Cap Crystal Yellow
12.9,0.045,0,Gateron Cap Crystal Yellow
14.9,0.045,0,Gateron Cap Crystal Yellow
16.8,0.05,0,Gateron Cap Crystal Yellow
18.8,0.05,0,Gateron Cap Crystal Yellow
20.8,0.05,0,Gateron Cap Crystal Yellow
22.6,0.055,0,Gateron Cap Crystal Yellow
24.4,0.055,0,Gateron Cap Crystal Yellow
26.4,0.06,0,Gateron Cap Crystal Yellow
28.6,0.06,0,Gateron Cap Crystal Yellow
31,0.065,0,Gateron Cap Crystal Yellow
33.3,0.065,0,Gateron Cap Crystal Yellow
35.3,0.07,0,Gateron Cap Crystal Yellow
37.3,0.07,0,Gateron Cap Crystal Yellow
39.1,0.075,0,Gateron Cap Crystal Yellow
40.8,0.075,0,Gateron Cap Crystal Yellow
42.3,0.08,0,Gateron Cap Crystal Yellow
42.7,0.08,0,Gateron Cap Crystal Yellow
43,0.085,0,Gateron Cap Crystal Yellow
43.1,0.085,0,Gateron Cap Crystal Yellow
43.3,0.085,0,Gateron Cap Crystal Yellow
43.4,0.09,0,Gateron Cap Crystal Yellow
43.3,0.09,0,Gateron Cap Crystal Yellow
43.3,0.09,0,Gateron Cap Crystal Yellow
43.3,0.095,0,Gateron Cap Crystal Yellow
43.4,0.095,0,Gateron Cap Crystal Yellow
43.4,0.1,0,Gateron Cap Crystal Yellow
43.5,0.1,0,Gateron Cap Crystal Yellow
43.6,0.105,0,Gateron Cap Crystal Yellow
43.7,0.105,0,Gateron Cap Crystal Yellow
43.6,0.11,0,Gateron Cap Crystal Yellow
43.7,0.115,0,Gateron Cap Crystal Yellow
43.8,0.115,0,Gateron Cap Crystal Yellow
43.7,0.12,0,Gateron Cap Crystal Yellow
43.6,0.125,0,Gateron Cap Crystal Yellow
43.6,0.13,0,Gateron Cap Crystal Yellow
43.8,0.13,0,Gateron Cap Crystal Yellow
43.9,0.135,0,Gateron Cap Crystal Yellow
44,0.14,0,Gateron Cap Crystal Yellow
44,0.145,0,Gateron Cap Crystal Yellow
44,0.145,0,Gateron Cap Crystal Yellow
43.9,0.15,0,Gateron Cap Crystal Yellow
43.9,0.155,0,Gateron Cap Crystal Yellow
43.9,0.155,0,Gateron Cap Crystal Yellow
43.9,0.16,0,Gateron Cap Crystal Yellow
44,0.16,0,Gateron Cap Crystal Yellow
44.1,0.165,0,Gateron Cap Crystal Yellow
44.1,0.17,0,Gateron Cap Crystal Yellow
44.1,0.17,0,Gateron Cap Crystal Yellow
44.2,0.175,0,Gateron Cap Crystal Yellow
44.1,0.18,0,Gateron Cap Crystal Yellow
44.1,0.185,0,Gateron Cap Crystal Yellow
44.1,0.19,0,Gateron Cap Crystal Yellow
44,0.195,0,Gateron Cap Crystal Yellow
43.9,0.2,0,Gateron Cap Crystal Yellow
44,0.205,0,Gateron Cap Crystal Yellow
