force,displacement,judge,name
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.005,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.005,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.005,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.01,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.01,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.015,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.015,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0,0.015,0,Gateron G Pro 3.0 Yellow 17000 Actuations
0.6,0.02,0,Gateron G Pro 3.0 Yellow 17000 Actuations
1.5,0.02,0,Gateron G Pro 3.0 Yellow 17000 Actuations
2.6,0.02,0,Gateron G Pro 3.0 Yellow 17000 Actuations
3.5,0.02,0,Gateron G Pro 3.0 Yellow 17000 Actuations
4,0.02,0,Gateron G Pro 3.0 Yellow 17000 Actuations
4.7,0.02,0,Gateron G Pro 3.0 Yellow 17000 Actuations
5.4,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
5.7,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
6.1,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
6.8,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
7.4,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
8.1,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
8.8,0.025,0,Gateron G Pro 3.0 Yellow 17000 Actuations
10,0.03,0,Gateron G Pro 3.0 Yellow 17000 Actuations
11.7,0.03,0,Gateron G Pro 3.0 Yellow 17000 Actuations
13.4,0.03,0,Gateron G Pro 3.0 Yellow 17000 Actuations
15,0.035,0,Gateron G Pro 3.0 Yellow 17000 Actuations
16.7,0.035,0,Gateron G Pro 3.0 Yellow 17000 Actuations
18.4,0.035,0,Gateron G Pro 3.0 Yellow 17000 Actuations
20.6,0.04,0,Gateron G Pro 3.0 Yellow 17000 Actuations
22.5,0.04,0,Gateron G Pro 3.0 Yellow 17000 Actuations
23.8,0.04,0,Gateron G Pro 3.0 Yellow 17000 Actuations
24.6,0.045,0,Gateron G Pro 3.0 Yellow 17000 Actuations
25.3,0.045,0,Gateron G Pro 3.0 Yellow 17000 Actuations
26.3,0.045,0,Gateron G Pro 3.0 Yellow 17000 Actuations
27.6,0.045,0,Gateron G Pro 3.0 Yellow 17000 Actuations
29.5,0.05,0,Gateron G Pro 3.0 Yellow 17000 Actuations
31.3,0.05,0,Gateron G Pro 3.0 Yellow 17000 Actuations
33.2,0.05,0,Gateron G Pro 3.0 Yellow 17000 Actuations
34.7,0.055,0,Gateron G Pro 3.0 Yellow 17000 Actuations
36.2,0.055,0,Gateron G Pro 3.0 Yellow 17000 Actuations
38.1,0.055,0,Gateron G Pro 3.0 Yellow 17000 Actuations
40.8,0.06,0,Gateron G Pro 3.0 Yellow 17000 Actuations
43.1,0.06,0,Gateron G Pro 3.0 Yellow 17000 Actuations
44.7,0.065,0,Gateron G Pro 3.0 Yellow 17000 Actuations
46.3,0.065,0,Gateron G Pro 3.0 Yellow 17000 Actuations
48.1,0.065,0,Gateron G Pro 3.0 Yellow 17000 Actuations
49.7,0.07,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.2,0.07,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.7,0.07,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.7,0.075,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.7,0.075,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.7,0.075,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.8,0.08,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.8,0.08,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.9,0.08,0,Gateron G Pro 3.0 Yellow 17000 Actuations
51.1,0.085,0,Gateron G Pro 3.0 Yellow 17000 Actuations
51.6,0.085,0,Gateron G Pro 3.0 Yellow 17000 Actuations
51.8,0.09,0,Gateron G Pro 3.0 Yellow 17000 Actuations
52.3,0.09,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.4,0.095,0,Gateron G Pro 3.0 Yellow 17000 Actuations
50.2,0.1,0,Gateron G Pro 3.0 Yellow 17000 Actuations
49.6,0.1,0,Gateron G Pro 3.0 Yellow 17000 Actuations
49,0.105,0,Gateron G Pro 3.0 Yellow 17000 Actuations
48.5,0.11,0,Gateron G Pro 3.0 Yellow 17000 Actuations
48.3,0.115,0,Gateron G Pro 3.0 Yellow 17000 Actuations
48.5,0.115,0,Gateron G Pro 3.0 Yellow 17000 Actuations
48.3,0.12,0,Gateron G Pro 3.0 Yellow 17000 Actuations
48.1,0.12,0,Gateron G Pro 3.0 Yellow 17000 Actuations
