force,displacement,judge,name
0,0,0,Gateron Holy Panda X Prototype
0.3,0,0,Gateron Holy Panda X Prototype
0.3,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0.1,0,0,Gateron Holy Panda X Prototype
-0.1,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0.1,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0.1,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0.1,0,0,Gateron Holy Panda X Prototype
0,0,0,Gateron Holy Panda X Prototype
0,0.005,0,Gateron Holy Panda X Prototype
0.8,0.005,0,Gateron Holy Panda X Prototype
1.7,0.005,0,Gateron Holy Panda X Prototype
3.3,0.005,0,Gateron Holy Panda X Prototype
4.4,0.01,0,Gateron Holy Panda X Prototype
5.7,0.01,0,Gateron Holy Panda X Prototype
7.1,0.01,0,Gateron Holy Panda X Prototype
8.2,0.01,0,Gateron Holy Panda X Prototype
9.3,0.015,0,Gateron Holy Panda X Prototype
10.4,0.015,0,Gateron Holy Panda X Prototype
11.5,0.015,0,Gateron Holy Panda X Prototype
12.5,0.015,0,Gateron Holy Panda X Prototype
13.5,0.02,0,Gateron Holy Panda X Prototype
14.8,0.02,0,Gateron Holy Panda X Prototype
16.2,0.02,0,Gateron Holy Panda X Prototype
17.7,0.02,0,Gateron Holy Panda X Prototype
19.1,0.025,0,Gateron Holy Panda X Prototype
21.1,0.025,0,Gateron Holy Panda X Prototype
22.9,0.03,0,Gateron Holy Panda X Prototype
24.5,0.03,0,Gateron Holy Panda X Prototype
25.9,0.03,0,Gateron Holy Panda X Prototype
27.7,0.03,0,Gateron Holy Panda X Prototype
29.6,0.035,0,Gateron Holy Panda X Prototype
31.8,0.035,0,Gateron Holy Panda X Prototype
33.9,0.04,0,Gateron Holy Panda X Prototype
36.1,0.04,0,Gateron Holy Panda X Prototype
38.8,0.045,0,Gateron Holy Panda X Prototype
41.4,0.045,0,Gateron Holy Panda X Prototype
43.8,0.05,0,Gateron Holy Panda X Prototype
46.1,0.05,0,Gateron Holy Panda X Prototype
48.1,0.055,0,Gateron Holy Panda X Prototype
49.9,0.055,0,Gateron Holy Panda X Prototype
51.5,0.055,0,Gateron Holy Panda X Prototype
52.9,0.06,0,Gateron Holy Panda X Prototype
54.1,0.06,0,Gateron Holy Panda X Prototype
54.1,0.06,0,Gateron Holy Panda X Prototype
54,0.065,0,Gateron Holy Panda X Prototype
54.2,0.065,0,Gateron Holy Panda X Prototype
54.5,0.065,0,Gateron Holy Panda X Prototype
54.8,0.07,0,Gateron Holy Panda X Prototype
54.5,0.07,0,Gateron Holy Panda X Prototype
53.9,0.07,0,Gateron Holy Panda X Prototype
53.8,0.075,0,Gateron Holy Panda X Prototype
53.8,0.075,0,Gateron Holy Panda X Prototype
54,0.075,0,Gateron Holy Panda X Prototype
53.8,0.08,0,Gateron Holy Panda X Prototype
54,0.08,0,Gateron Holy Panda X Prototype
54.2,0.08,0,Gateron Holy Panda X Prototype
54.2,0.085,0,Gateron Holy Panda X Prototype
54.3,0.085,0,Gateron Holy Panda X Prototype
54.5,0.085,0,Gateron Holy Panda X Prototype
54.5,0.085,0,Gateron Holy Panda X Prototype
54.6,0.09,0,Gateron Holy Panda X Prototype
54.7,0.09,0,Gateron Holy Panda X Prototype
54.8,0.095,0,Gateron Holy Panda X Prototype
54.9,0.1,0,Gateron Holy Panda X Prototype
55.1,0.1,0,Gateron Holy Panda X Prototype
55,0.105,0,Gateron Holy Panda X Prototype
55.1,0.105,0,Gateron Holy Panda X Prototype
55.2,0.11,0,Gateron Holy Panda X Prototype
55.5,0.11,0,Gateron Holy Panda X Prototype
55.7,0.115,0,Gateron Holy Panda X Prototype
55.9,0.12,0,Gateron Holy Panda X Prototype
56.1,0.12,0,Gateron Holy Panda X Prototype
56.3,0.125,0,Gateron Holy Panda X Prototype
56.5,0.125,0,Gateron Holy Panda X Prototype
56.5,0.13,0,Gateron Holy Panda X Prototype
56.6,0.13,0,Gateron Holy Panda X Prototype
56.8,0.135,0,Gateron Holy Panda X Prototype
56.9,0.135,0,Gateron Holy Panda X Prototype
57.1,0.14,0,Gateron Holy Panda X Prototype
57.2,0.14,0,Gateron Holy Panda X Prototype
57.2,0.145,0,Gateron Holy Panda X Prototype
57.3,0.145,0,Gateron Holy Panda X Prototype
57.4,0.15,0,Gateron Holy Panda X Prototype
57.4,0.15,0,Gateron Holy Panda X Prototype
57.7,0.15,0,Gateron Holy Panda X Prototype
57.7,0.155,0,Gateron Holy Panda X Prototype
57.8,0.155,0,Gateron Holy Panda X Prototype
57.7,0.16,0,Gateron Holy Panda X Prototype
58,0.16,0,Gateron Holy Panda X Prototype
58,0.165,0,Gateron Holy Panda X Prototype
58.1,0.165,0,Gateron Holy Panda X Prototype
58.1,0.165,0,Gateron Holy Panda X Prototype
58.1,0.17,0,Gateron Holy Panda X Prototype
58.2,0.175,0,Gateron Holy Panda X Prototype
58.3,0.175,0,Gateron Holy Panda X Prototype
58.3,0.18,0,Gateron Holy Panda X Prototype
58.3,0.18,0,Gateron Holy Panda X Prototype
58.5,0.185,0,Gateron Holy Panda X Prototype
58.8,0.185,0,Gateron Holy Panda X Prototype
58.9,0.19,0,Gateron Holy Panda X Prototype
58.8,0.19,0,Gateron Holy Panda X Prototype
59,0.195,0,Gateron Holy Panda X Prototype
59.1,0.2,0,Gateron Holy Panda X Prototype
59.2,0.2,0,Gateron Holy Panda X Prototype
59.2,0.205,0,Gateron Holy Panda X Prototype
59.3,0.205,0,Gateron Holy Panda X Prototype
59.4,0.21,0,Gateron Holy Panda X Prototype
59.5,0.21,0,Gateron Holy Panda X Prototype
59.5,0.215,0,Gateron Holy Panda X Prototype
59.6,0.215,0,Gateron Holy Panda X Prototype
59.6,0.215,0,Gateron Holy Panda X Prototype
59.6,0.22,0,Gateron Holy Panda X Prototype
59.8,0.22,0,Gateron Holy Panda X Prototype
59.7,0.22,0,Gateron Holy Panda X Prototype
59.8,0.225,0,Gateron Holy Panda X Prototype
59.9,0.225,0,Gateron Holy Panda X Prototype
59.9,0.23,0,Gateron Holy Panda X Prototype
60,0.23,0,Gateron Holy Panda X Prototype
60,0.23,0,Gateron Holy Panda X Prototype
60,0.23,0,Gateron Holy Panda X Prototype
60.1,0.235,0,Gateron Holy Panda X Prototype
60.2,0.235,0,Gateron Holy Panda X Prototype
60.2,0.235,0,Gateron Holy Panda X Prototype
60.2,0.24,0,Gateron Holy Panda X Prototype
60.3,0.24,0,Gateron Holy Panda X Prototype
60,0.24,0,Gateron Holy Panda X Prototype
60.3,0.24,0,Gateron Holy Panda X Prototype
60.4,0.245,0,Gateron Holy Panda X Prototype
60.5,0.245,0,Gateron Holy Panda X Prototype
60.6,0.25,0,Gateron Holy Panda X Prototype
60.6,0.25,0,Gateron Holy Panda X Prototype
60.7,0.255,0,Gateron Holy Panda X Prototype
60.7,0.255,0,Gateron Holy Panda X Prototype
60.7,0.26,0,Gateron Holy Panda X Prototype
60.7,0.265,0,Gateron Holy Panda X Prototype
60.8,0.265,0,Gateron Holy Panda X Prototype
60.9,0.27,0,Gateron Holy Panda X Prototype
60.9,0.27,0,Gateron Holy Panda X Prototype
60.9,0.275,0,Gateron Holy Panda X Prototype
61,0.275,0,Gateron Holy Panda X Prototype
61,0.28,0,Gateron Holy Panda X Prototype
61.1,0.28,0,Gateron Holy Panda X Prototype
61.2,0.285,0,Gateron Holy Panda X Prototype
61.2,0.29,0,Gateron Holy Panda X Prototype
61.2,0.29,0,Gateron Holy Panda X Prototype
61.3,0.295,0,Gateron Holy Panda X Prototype
61.5,0.3,0,Gateron Holy Panda X Prototype
61.5,0.305,0,Gateron Holy Panda X Prototype
61.5,0.31,0,Gateron Holy Panda X Prototype
61.5,0.315,0,Gateron Holy Panda X Prototype
60.9,0.32,0,Gateron Holy Panda X Prototype
61.1,0.32,0,Gateron Holy Panda X Prototype
61.1,0.325,0,Gateron Holy Panda X Prototype
61.2,0.325,0,Gateron Holy Panda X Prototype
61.5,0.325,0,Gateron Holy Panda X Prototype
61.4,0.33,0,Gateron Holy Panda X Prototype
61.5,0.33,0,Gateron Holy Panda X Prototype
61.5,0.335,0,Gateron Holy Panda X Prototype
61.6,0.335,0,Gateron Holy Panda X Prototype
61.6,0.34,0,Gateron Holy Panda X Prototype
61.8,0.34,0,Gateron Holy Panda X Prototype
61.6,0.345,0,Gateron Holy Panda X Prototype
61.8,0.345,0,Gateron Holy Panda X Prototype
61.8,0.345,0,Gateron Holy Panda X Prototype
61.9,0.35,0,Gateron Holy Panda X Prototype
61.9,0.35,0,Gateron Holy Panda X Prototype
61.9,0.355,0,Gateron Holy Panda X Prototype
62,0.355,0,Gateron Holy Panda X Prototype
62,0.355,0,Gateron Holy Panda X Prototype
61.9,0.36,0,Gateron Holy Panda X Prototype
62.1,0.36,0,Gateron Holy Panda X Prototype
62.1,0.36,0,Gateron Holy Panda X Prototype
62.1,0.365,0,Gateron Holy Panda X Prototype
62.1,0.365,0,Gateron Holy Panda X Prototype
62.2,0.365,0,Gateron Holy Panda X Prototype
62.2,0.37,0,Gateron Holy Panda X Prototype
