force,displacement,judge,name
-0.1,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0.2,0,0,Gateron Holy Panda X
0.2,0,0,Gateron Holy Panda X
-0.1,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0.1,0,0,Gateron Holy Panda X
0,0,0,Gateron Holy Panda X
0.1,0.005,0,Gateron Holy Panda X
0.1,0.005,0,Gateron Holy Panda X
-0.1,0.01,0,Gateron Holy Panda X
-0.1,0.02,0,Gateron Holy Panda X
0.1,0.035,0,Gateron Holy Panda X
0.1,0.05,0,Gateron Holy Panda X
0,0.055,0,Gateron Holy Panda X
0,0.065,0,Gateron Holy Panda X
0,0.07,0,Gateron Holy Panda X
4.2,0.075,0,Gateron Holy Panda X
10,0.08,0,Gateron Holy Panda X
13.9,0.085,0,Gateron Holy Panda X
17.5,0.09,0,Gateron Holy Panda X
20.7,0.09,0,Gateron Holy Panda X
24.2,0.095,0,Gateron Holy Panda X
27.3,0.1,0,Gateron Holy Panda X
29.5,0.1,0,Gateron Holy Panda X
31.3,0.1,0,Gateron Holy Panda X
33,0.105,0,Gateron Holy Panda X
34.6,0.105,0,Gateron Holy Panda X
36.6,0.11,0,Gateron Holy Panda X
38.6,0.11,0,Gateron Holy Panda X
40.3,0.11,0,Gateron Holy Panda X
42.2,0.115,0,Gateron Holy Panda X
44.2,0.115,0,Gateron Holy Panda X
45.8,0.12,0,Gateron Holy Panda X
47.3,0.12,0,Gateron Holy Panda X
48.6,0.12,0,Gateron Holy Panda X
48.8,0.125,0,Gateron Holy Panda X
49.3,0.125,0,Gateron Holy Panda X
49.7,0.13,0,Gateron Holy Panda X
50.2,0.13,0,Gateron Holy Panda X
50.4,0.13,0,Gateron Holy Panda X
50.5,0.135,0,Gateron Holy Panda X
50.6,0.135,0,Gateron Holy Panda X
50.8,0.14,0,Gateron Holy Panda X
51,0.14,0,Gateron Holy Panda X
51.3,0.145,0,Gateron Holy Panda X
51.5,0.145,0,Gateron Holy Panda X
51.7,0.145,0,Gateron Holy Panda X
52.1,0.15,0,Gateron Holy Panda X
52.4,0.15,0,Gateron Holy Panda X
52.6,0.155,0,Gateron Holy Panda X
52.8,0.155,0,Gateron Holy Panda X
53.1,0.16,0,Gateron Holy Panda X
53.4,0.16,0,Gateron Holy Panda X
53.6,0.165,0,Gateron Holy Panda X
53.9,0.165,0,Gateron Holy Panda X
54.1,0.17,0,Gateron Holy Panda X
54.5,0.17,0,Gateron Holy Panda X
55.3,0.175,0,Gateron Holy Panda X
55.9,0.18,0,Gateron Holy Panda X
55.6,0.18,0,Gateron Holy Panda X
55.3,0.185,0,Gateron Holy Panda X
55,0.19,0,Gateron Holy Panda X
55.2,0.19,0,Gateron Holy Panda X
55.2,0.195,0,Gateron Holy Panda X
55.2,0.195,0,Gateron Holy Panda X
55.2,0.195,0,Gateron Holy Panda X
55.2,0.2,0,Gateron Holy Panda X
55.3,0.2,0,Gateron Holy Panda X
55.3,0.205,0,Gateron Holy Panda X
55.4,0.205,0,Gateron Holy Panda X
55.6,0.21,0,Gateron Holy Panda X
55.7,0.21,0,Gateron Holy Panda X
55.7,0.215,0,Gateron Holy Panda X
55.8,0.22,0,Gateron Holy Panda X
56,0.22,0,Gateron Holy Panda X
56.1,0.225,0,Gateron Holy Panda X
56.3,0.225,0,Gateron Holy Panda X
56.3,0.23,0,Gateron Holy Panda X
56.4,0.23,0,Gateron Holy Panda X
56.6,0.235,0,Gateron Holy Panda X
56.7,0.24,0,Gateron Holy Panda X
56.8,0.24,0,Gateron Holy Panda X
56.8,0.245,0,Gateron Holy Panda X
57,0.245,0,Gateron Holy Panda X
57,0.25,0,Gateron Holy Panda X
57.2,0.25,0,Gateron Holy Panda X
57.2,0.25,0,Gateron Holy Panda X
57.3,0.255,0,Gateron Holy Panda X
57.4,0.255,0,Gateron Holy Panda X
57.5,0.26,0,Gateron Holy Panda X
57.5,0.26,0,Gateron Holy Panda X
57.6,0.265,0,Gateron Holy Panda X
57.7,0.27,0,Gateron Holy Panda X
57.7,0.275,0,Gateron Holy Panda X
57.9,0.275,0,Gateron Holy Panda X
58,0.28,0,Gateron Holy Panda X
58,0.28,0,Gateron Holy Panda X
58.1,0.285,0,Gateron Holy Panda X
58.2,0.29,0,Gateron Holy Panda X
58.3,0.29,0,Gateron Holy Panda X
58.3,0.295,0,Gateron Holy Panda X
58.5,0.3,0,Gateron Holy Panda X
58.5,0.305,0,Gateron Holy Panda X
58.5,0.305,0,Gateron Holy Panda X
58.7,0.31,0,Gateron Holy Panda X
58.8,0.31,0,Gateron Holy Panda X
58.7,0.315,0,Gateron Holy Panda X
58.8,0.315,0,Gateron Holy Panda X
58.9,0.32,0,Gateron Holy Panda X
58.9,0.32,0,Gateron Holy Panda X
59,0.325,0,Gateron Holy Panda X
59,0.325,0,Gateron Holy Panda X
59,0.325,0,Gateron Holy Panda X
59.1,0.33,0,Gateron Holy Panda X
59.1,0.33,0,Gateron Holy Panda X
59.2,0.335,0,Gateron Holy Panda X
59.2,0.34,0,Gateron Holy Panda X
59.2,0.34,0,Gateron Holy Panda X
59.3,0.345,0,Gateron Holy Panda X
59.4,0.345,0,Gateron Holy Panda X
59.4,0.35,0,Gateron Holy Panda X
59.5,0.355,0,Gateron Holy Panda X
59.4,0.36,0,Gateron Holy Panda X
59.5,0.365,0,Gateron Holy Panda X
59.5,0.365,0,Gateron Holy Panda X
59.5,0.37,0,Gateron Holy Panda X
59.6,0.37,0,Gateron Holy Panda X
59.6,0.37,0,Gateron Holy Panda X
59.6,0.375,0,Gateron Holy Panda X
59.6,0.375,0,Gateron Holy Panda X
59.7,0.375,0,Gateron Holy Panda X
59.8,0.38,0,Gateron Holy Panda X
59.7,0.38,0,Gateron Holy Panda X
59.7,0.38,0,Gateron Holy Panda X
59.7,0.385,0,Gateron Holy Panda X
59.7,0.385,0,Gateron Holy Panda X
59.8,0.385,0,Gateron Holy Panda X
59.8,0.39,0,Gateron Holy Panda X
59.9,0.39,0,Gateron Holy Panda X
59.9,0.395,0,Gateron Holy Panda X
59.8,0.395,0,Gateron Holy Panda X
59.9,0.4,0,Gateron Holy Panda X
59.9,0.405,0,Gateron Holy Panda X
59.8,0.41,0,Gateron Holy Panda X
59.9,0.41,0,Gateron Holy Panda X
59.9,0.415,0,Gateron Holy Panda X
60,0.42,0,Gateron Holy Panda X
60,0.425,0,Gateron Holy Panda X
60.1,0.425,0,Gateron Holy Panda X
60.3,0.43,0,Gateron Holy Panda X
60.2,0.435,0,Gateron Holy Panda X
60.3,0.435,0,Gateron Holy Panda X
60.3,0.44,0,Gateron Holy Panda X
60.3,0.445,0,Gateron Holy Panda X
60.4,0.45,0,Gateron Holy Panda X
60.4,0.455,0,Gateron Holy Panda X
60.4,0.46,0,Gateron Holy Panda X
