force,displacement,judge,name
0,0,0,Gateron KS9 Pro 2.0 Blue
-0.2,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0,0,Gateron KS9 Pro 2.0 Blue
0.1,0,0,Gateron KS9 Pro 2.0 Blue
0.1,0,0,Gateron KS9 Pro 2.0 Blue
0.1,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0,0,Gateron KS9 Pro 2.0 Blue
0,0,0,Gateron KS9 Pro 2.0 Blue
-0.2,0,0,Gateron KS9 Pro 2.0 Blue
0,0,0,Gateron KS9 Pro 2.0 Blue
0,0,0,Gateron KS9 Pro 2.0 Blue
-0.3,0,0,Gateron KS9 Pro 2.0 Blue
0,0,0,Gateron KS9 Pro 2.0 Blue
0,0,0,Gateron KS9 Pro 2.0 Blue
0,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0,0,Gateron KS9 Pro 2.0 Blue
0.1,0,0,Gateron KS9 Pro 2.0 Blue
0.1,0,0,Gateron KS9 Pro 2.0 Blue
-0.1,0.005,0,Gateron KS9 Pro 2.0 Blue
-0.1,0.005,0,Gateron KS9 Pro 2.0 Blue
0,0.005,0,Gateron KS9 Pro 2.0 Blue
-0.1,0.005,0,Gateron KS9 Pro 2.0 Blue
0,0.01,0,Gateron KS9 Pro 2.0 Blue
0.1,0.01,0,Gateron KS9 Pro 2.0 Blue
0.1,0.01,0,Gateron KS9 Pro 2.0 Blue
-0.1,0.01,0,Gateron KS9 Pro 2.0 Blue
-0.2,0.015,0,Gateron KS9 Pro 2.0 Blue
0,0.015,0,Gateron KS9 Pro 2.0 Blue
0,0.015,0,Gateron KS9 Pro 2.0 Blue
0,0.015,0,Gateron KS9 Pro 2.0 Blue
0,0.02,0,Gateron KS9 Pro 2.0 Blue
0.1,0.02,0,Gateron KS9 Pro 2.0 Blue
0,0.02,0,Gateron KS9 Pro 2.0 Blue
-0.2,0.025,0,Gateron KS9 Pro 2.0 Blue
-0.1,0.025,0,Gateron KS9 Pro 2.0 Blue
0.1,0.03,0,Gateron KS9 Pro 2.0 Blue
0.2,0.03,0,Gateron KS9 Pro 2.0 Blue
0,0.035,0,Gateron KS9 Pro 2.0 Blue
0,0.035,0,Gateron KS9 Pro 2.0 Blue
0,0.04,0,Gateron KS9 Pro 2.0 Blue
0,0.04,0,Gateron KS9 Pro 2.0 Blue
0,0.045,0,Gateron KS9 Pro 2.0 Blue
0,0.045,0,Gateron KS9 Pro 2.0 Blue
0.1,0.05,0,Gateron KS9 Pro 2.0 Blue
3,0.055,0,Gateron KS9 Pro 2.0 Blue
6.5,0.055,0,Gateron KS9 Pro 2.0 Blue
10.4,0.06,0,Gateron KS9 Pro 2.0 Blue
13.9,0.065,0,Gateron KS9 Pro 2.0 Blue
17.3,0.07,0,Gateron KS9 Pro 2.0 Blue
20.6,0.075,0,Gateron KS9 Pro 2.0 Blue
23.7,0.075,0,Gateron KS9 Pro 2.0 Blue
26.7,0.08,0,Gateron KS9 Pro 2.0 Blue
29.8,0.085,0,Gateron KS9 Pro 2.0 Blue
32.1,0.09,0,Gateron KS9 Pro 2.0 Blue
31.7,0.09,0,Gateron KS9 Pro 2.0 Blue
33.3,0.095,0,Gateron KS9 Pro 2.0 Blue
33.4,0.1,0,Gateron KS9 Pro 2.0 Blue
33.5,0.1,0,Gateron KS9 Pro 2.0 Blue
33.6,0.105,0,Gateron KS9 Pro 2.0 Blue
33.9,0.11,0,Gateron KS9 Pro 2.0 Blue
34,0.11,0,Gateron KS9 Pro 2.0 Blue
34,0.115,0,Gateron KS9 Pro 2.0 Blue
34.5,0.12,0,Gateron KS9 Pro 2.0 Blue
34.9,0.125,0,Gateron KS9 Pro 2.0 Blue
34.9,0.125,0,Gateron KS9 Pro 2.0 Blue
34.9,0.13,0,Gateron KS9 Pro 2.0 Blue
34.9,0.135,0,Gateron KS9 Pro 2.0 Blue
34.9,0.14,0,Gateron KS9 Pro 2.0 Blue
34.8,0.145,0,Gateron KS9 Pro 2.0 Blue
34.8,0.145,0,Gateron KS9 Pro 2.0 Blue
34.9,0.15,0,Gateron KS9 Pro 2.0 Blue
35,0.155,0,Gateron KS9 Pro 2.0 Blue
35,0.16,0,Gateron KS9 Pro 2.0 Blue
35,0.165,0,Gateron KS9 Pro 2.0 Blue
35,0.17,0,Gateron KS9 Pro 2.0 Blue
35.1,0.175,0,Gateron KS9 Pro 2.0 Blue
35,0.175,0,Gateron KS9 Pro 2.0 Blue
35.1,0.18,0,Gateron KS9 Pro 2.0 Blue
35.2,0.185,0,Gateron KS9 Pro 2.0 Blue
35.2,0.19,0,Gateron KS9 Pro 2.0 Blue
35.4,0.2,0,Gateron KS9 Pro 2.0 Blue
35.5,0.205,0,Gateron KS9 Pro 2.0 Blue
35.6,0.21,0,Gateron KS9 Pro 2.0 Blue
35.6,0.22,0,Gateron KS9 Pro 2.0 Blue
35.6,0.225,0,Gateron KS9 Pro 2.0 Blue
35.6,0.23,0,Gateron KS9 Pro 2.0 Blue
35.7,0.235,0,Gateron KS9 Pro 2.0 Blue
35.7,0.245,0,Gateron KS9 Pro 2.0 Blue
35.8,0.25,0,Gateron KS9 Pro 2.0 Blue
35.9,0.26,0,Gateron KS9 Pro 2.0 Blue
36,0.265,0,Gateron KS9 Pro 2.0 Blue
35.9,0.275,0,Gateron KS9 Pro 2.0 Blue
35.9,0.28,0,Gateron KS9 Pro 2.0 Blue
36.1,0.29,0,Gateron KS9 Pro 2.0 Blue
36.1,0.295,0,Gateron KS9 Pro 2.0 Blue
36.1,0.3,0,Gateron KS9 Pro 2.0 Blue
36.1,0.305,0,Gateron KS9 Pro 2.0 Blue
36.2,0.31,0,Gateron KS9 Pro 2.0 Blue
36.2,0.32,0,Gateron KS9 Pro 2.0 Blue
36.3,0.325,0,Gateron KS9 Pro 2.0 Blue
36.2,0.33,0,Gateron KS9 Pro 2.0 Blue
