force,displacement,judge,name
-0.2,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
0.1,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0.1,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
-0.2,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0.2,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
-0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0.1,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
0,0.005,0,Gateron KS9 Pro 2.0 Red
0.1,0.01,0,Gateron KS9 Pro 2.0 Red
0.2,0.01,0,Gateron KS9 Pro 2.0 Red
-0.1,0.01,0,Gateron KS9 Pro 2.0 Red
-0.2,0.01,0,Gateron KS9 Pro 2.0 Red
-0.1,0.015,0,Gateron KS9 Pro 2.0 Red
0.2,0.015,0,Gateron KS9 Pro 2.0 Red
0,0.02,0,Gateron KS9 Pro 2.0 Red
0,0.02,0,Gateron KS9 Pro 2.0 Red
0,0.025,0,Gateron KS9 Pro 2.0 Red
-0.1,0.025,0,Gateron KS9 Pro 2.0 Red
-0.1,0.03,0,Gateron KS9 Pro 2.0 Red
0,0.035,0,Gateron KS9 Pro 2.0 Red
0.1,0.04,0,Gateron KS9 Pro 2.0 Red
0.1,0.045,0,Gateron KS9 Pro 2.0 Red
0,0.05,0,Gateron KS9 Pro 2.0 Red
-0.1,0.05,0,Gateron KS9 Pro 2.0 Red
-0.1,0.055,0,Gateron KS9 Pro 2.0 Red
0,0.06,0,Gateron KS9 Pro 2.0 Red
0,0.06,0,Gateron KS9 Pro 2.0 Red
0.1,0.065,0,Gateron KS9 Pro 2.0 Red
0,0.07,0,Gateron KS9 Pro 2.0 Red
0,0.075,0,Gateron KS9 Pro 2.0 Red
-0.1,0.08,0,Gateron KS9 Pro 2.0 Red
0.1,0.085,0,Gateron KS9 Pro 2.0 Red
0,0.09,0,Gateron KS9 Pro 2.0 Red
4.7,0.095,0,Gateron KS9 Pro 2.0 Red
9.9,0.1,0,Gateron KS9 Pro 2.0 Red
14.5,0.105,0,Gateron KS9 Pro 2.0 Red
18.5,0.11,0,Gateron KS9 Pro 2.0 Red
22.2,0.115,0,Gateron KS9 Pro 2.0 Red
26,0.12,0,Gateron KS9 Pro 2.0 Red
29.8,0.12,0,Gateron KS9 Pro 2.0 Red
33.6,0.125,0,Gateron KS9 Pro 2.0 Red
36.6,0.13,0,Gateron KS9 Pro 2.0 Red
38.1,0.135,0,Gateron KS9 Pro 2.0 Red
39.5,0.14,0,Gateron KS9 Pro 2.0 Red
38.9,0.14,0,Gateron KS9 Pro 2.0 Red
37.4,0.145,0,Gateron KS9 Pro 2.0 Red
37.3,0.15,0,Gateron KS9 Pro 2.0 Red
37,0.155,0,Gateron KS9 Pro 2.0 Red
36.9,0.16,0,Gateron KS9 Pro 2.0 Red
37.1,0.16,0,Gateron KS9 Pro 2.0 Red
37.1,0.165,0,Gateron KS9 Pro 2.0 Red
36.8,0.17,0,Gateron KS9 Pro 2.0 Red
36.8,0.175,0,Gateron KS9 Pro 2.0 Red
36.9,0.175,0,Gateron KS9 Pro 2.0 Red
36.5,0.18,0,Gateron KS9 Pro 2.0 Red
36.2,0.185,0,Gateron KS9 Pro 2.0 Red
36.2,0.19,0,Gateron KS9 Pro 2.0 Red
36.1,0.195,0,Gateron KS9 Pro 2.0 Red
36,0.2,0,Gateron KS9 Pro 2.0 Red
35.9,0.2,0,Gateron KS9 Pro 2.0 Red
35.9,0.205,0,Gateron KS9 Pro 2.0 Red
35.8,0.21,0,Gateron KS9 Pro 2.0 Red
35.8,0.21,0,Gateron KS9 Pro 2.0 Red
35.8,0.215,0,Gateron KS9 Pro 2.0 Red
35.7,0.22,0,Gateron KS9 Pro 2.0 Red
35.7,0.22,0,Gateron KS9 Pro 2.0 Red
35.7,0.225,0,Gateron KS9 Pro 2.0 Red
35.7,0.225,0,Gateron KS9 Pro 2.0 Red
35.6,0.23,0,Gateron KS9 Pro 2.0 Red
35.6,0.23,0,Gateron KS9 Pro 2.0 Red
35.7,0.235,0,Gateron KS9 Pro 2.0 Red
35.7,0.235,0,Gateron KS9 Pro 2.0 Red
35.8,0.24,0,Gateron KS9 Pro 2.0 Red
35.8,0.24,0,Gateron KS9 Pro 2.0 Red
35.7,0.245,0,Gateron KS9 Pro 2.0 Red
35.7,0.25,0,Gateron KS9 Pro 2.0 Red
35.7,0.25,0,Gateron KS9 Pro 2.0 Red
35.6,0.255,0,Gateron KS9 Pro 2.0 Red
35.6,0.255,0,Gateron KS9 Pro 2.0 Red
35.4,0.26,0,Gateron KS9 Pro 2.0 Red
35.4,0.265,0,Gateron KS9 Pro 2.0 Red
35.5,0.265,0,Gateron KS9 Pro 2.0 Red
35.5,0.27,0,Gateron KS9 Pro 2.0 Red
35.4,0.27,0,Gateron KS9 Pro 2.0 Red
35.2,0.275,0,Gateron KS9 Pro 2.0 Red
35.4,0.275,0,Gateron KS9 Pro 2.0 Red
35.4,0.28,0,Gateron KS9 Pro 2.0 Red
35.3,0.285,0,Gateron KS9 Pro 2.0 Red
35.3,0.285,0,Gateron KS9 Pro 2.0 Red
35.3,0.29,0,Gateron KS9 Pro 2.0 Red
35.3,0.29,0,Gateron KS9 Pro 2.0 Red
35.3,0.295,0,Gateron KS9 Pro 2.0 Red
35.3,0.295,0,Gateron KS9 Pro 2.0 Red
35.3,0.295,0,Gateron KS9 Pro 2.0 Red
35.3,0.3,0,Gateron KS9 Pro 2.0 Red
35.4,0.3,0,Gateron KS9 Pro 2.0 Red
35.4,0.305,0,Gateron KS9 Pro 2.0 Red
35.4,0.305,0,Gateron KS9 Pro 2.0 Red
35.3,0.31,0,Gateron KS9 Pro 2.0 Red
35.3,0.31,0,Gateron KS9 Pro 2.0 Red
35.2,0.31,0,Gateron KS9 Pro 2.0 Red
35.3,0.315,0,Gateron KS9 Pro 2.0 Red
35.3,0.315,0,Gateron KS9 Pro 2.0 Red
35.3,0.32,0,Gateron KS9 Pro 2.0 Red
35.2,0.32,0,Gateron KS9 Pro 2.0 Red
35.3,0.325,0,Gateron KS9 Pro 2.0 Red
35.1,0.325,0,Gateron KS9 Pro 2.0 Red
35.1,0.33,0,Gateron KS9 Pro 2.0 Red
35.1,0.335,0,Gateron KS9 Pro 2.0 Red
35.1,0.335,0,Gateron KS9 Pro 2.0 Red
35,0.34,0,Gateron KS9 Pro 2.0 Red
35,0.34,0,Gateron KS9 Pro 2.0 Red
34.9,0.345,0,Gateron KS9 Pro 2.0 Red
34.9,0.35,0,Gateron KS9 Pro 2.0 Red
35,0.35,0,Gateron KS9 Pro 2.0 Red
34.9,0.355,0,Gateron KS9 Pro 2.0 Red
34.7,0.36,0,Gateron KS9 Pro 2.0 Red
34.7,0.365,0,Gateron KS9 Pro 2.0 Red
34.7,0.37,0,Gateron KS9 Pro 2.0 Red
34.7,0.375,0,Gateron KS9 Pro 2.0 Red
34.7,0.38,0,Gateron KS9 Pro 2.0 Red
34.6,0.38,0,Gateron KS9 Pro 2.0 Red
34.5,0.385,0,Gateron KS9 Pro 2.0 Red
34.6,0.39,0,Gateron KS9 Pro 2.0 Red
34.7,0.395,0,Gateron KS9 Pro 2.0 Red
34.8,0.395,0,Gateron KS9 Pro 2.0 Red
