force,displacement,judge,name
0,0,0,Gateron Mini
0.2,0,0,Gateron Mini
0,0,0,Gateron Mini
0.1,0,0,Gateron Mini
-0.1,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0,0,0,Gateron Mini
-0.1,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0,0,0,Gateron Mini
-0.1,0,0,Gateron Mini
0,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0,0,0,Gateron Mini
0.1,0,0,Gateron Mini
0,0,0,Gateron Mini
-0.1,0,0,Gateron Mini
0.1,0.005,0,Gateron Mini
0.2,0.005,0,Gateron Mini
0,0.005,0,Gateron Mini
0,0.01,0,Gateron Mini
0.1,0.015,0,Gateron Mini
0.1,0.015,0,Gateron Mini
0.1,0.02,0,Gateron Mini
0.1,0.025,0,Gateron Mini
0,0.03,0,Gateron Mini
0.1,0.035,0,Gateron Mini
0,0.04,0,Gateron Mini
0.2,0.05,0,Gateron Mini
0,0.055,0,Gateron Mini
0.1,0.06,0,Gateron Mini
7.4,0.07,0,Gateron Mini
14.9,0.08,0,Gateron Mini
21.4,0.085,0,Gateron Mini
26.4,0.09,0,Gateron Mini
30.8,0.095,0,Gateron Mini
35,0.1,0,Gateron Mini
39.6,0.105,0,Gateron Mini
40.8,0.11,0,Gateron Mini
41.6,0.115,0,Gateron Mini
41.9,0.12,0,Gateron Mini
41.5,0.12,0,Gateron Mini
41.5,0.125,0,Gateron Mini
41.5,0.13,0,Gateron Mini
41.1,0.13,0,Gateron Mini
41.4,0.135,0,Gateron Mini
41.7,0.135,0,Gateron Mini
41,0.14,0,Gateron Mini
41.2,0.14,0,Gateron Mini
41.4,0.145,0,Gateron Mini
41.1,0.145,0,Gateron Mini
41.2,0.145,0,Gateron Mini
41.1,0.145,0,Gateron Mini
41.3,0.15,0,Gateron Mini
40.9,0.15,0,Gateron Mini
41,0.15,0,Gateron Mini
41.1,0.155,0,Gateron Mini
41,0.155,0,Gateron Mini
41.1,0.155,0,Gateron Mini
41,0.16,0,Gateron Mini
41,0.16,0,Gateron Mini
