force,displacement,judge,name
0,0,0,Gateron Phantom Red
0,0,0,Gateron Phantom Red
0.1,0,0,Gateron Phantom Red
0,0,0,Gateron Phantom Red
0,0,0,Gateron Phantom Red
0.1,0,0,Gateron Phantom Red
-0.2,0,0,Gateron Phantom Red
-0.1,0,0,Gateron Phantom Red
0.1,0.005,0,Gateron Phantom Red
0.1,0.005,0,Gateron Phantom Red
-0.1,0.005,0,Gateron Phantom Red
0.1,0.005,0,Gateron Phantom Red
-0.1,0.005,0,Gateron Phantom Red
-0.1,0.005,0,Gateron Phantom Red
0,0.005,0,Gateron Phantom Red
-0.1,0.005,0,Gateron Phantom Red
-0.2,0.005,0,Gateron Phantom Red
0.1,0.005,0,Gateron Phantom Red
0,0.01,0,Gateron Phantom Red
1.1,0.01,0,Gateron Phantom Red
3.1,0.015,0,Gateron Phantom Red
5.1,0.015,0,Gateron Phantom Red
6.8,0.015,0,Gateron Phantom Red
8.4,0.02,0,Gateron Phantom Red
9.8,0.02,0,Gateron Phantom Red
11,0.02,0,Gateron Phantom Red
12.6,0.025,0,Gateron Phantom Red
13.9,0.025,0,Gateron Phantom Red
15.1,0.025,0,Gateron Phantom Red
16.2,0.025,0,Gateron Phantom Red
17.2,0.03,0,Gateron Phantom Red
18.3,0.03,0,Gateron Phantom Red
19.6,0.03,0,Gateron Phantom Red
20.5,0.03,0,Gateron Phantom Red
21.5,0.035,0,Gateron Phantom Red
22.5,0.035,0,Gateron Phantom Red
23.4,0.035,0,Gateron Phantom Red
24.3,0.035,0,Gateron Phantom Red
25.2,0.035,0,Gateron Phantom Red
26.2,0.04,0,Gateron Phantom Red
27.2,0.04,0,Gateron Phantom Red
28.2,0.04,0,Gateron Phantom Red
29.1,0.04,0,Gateron Phantom Red
30.1,0.04,0,Gateron Phantom Red
31,0.045,0,Gateron Phantom Red
31.5,0.045,0,Gateron Phantom Red
31.7,0.045,0,Gateron Phantom Red
31.6,0.045,0,Gateron Phantom Red
31.8,0.045,0,Gateron Phantom Red
31.9,0.05,0,Gateron Phantom Red
32,0.05,0,Gateron Phantom Red
32.3,0.05,0,Gateron Phantom Red
32.8,0.05,0,Gateron Phantom Red
33.4,0.055,0,Gateron Phantom Red
33,0.055,0,Gateron Phantom Red
32.7,0.06,0,Gateron Phantom Red
32.4,0.06,0,Gateron Phantom Red
32.1,0.065,0,Gateron Phantom Red
32.2,0.065,0,Gateron Phantom Red
32.1,0.07,0,Gateron Phantom Red
32.1,0.07,0,Gateron Phantom Red
31.6,0.075,0,Gateron Phantom Red
31.3,0.08,0,Gateron Phantom Red
31.1,0.085,0,Gateron Phantom Red
31.1,0.09,0,Gateron Phantom Red
31,0.09,0,Gateron Phantom Red
31.1,0.095,0,Gateron Phantom Red
31.1,0.095,0,Gateron Phantom Red
31.2,0.1,0,Gateron Phantom Red
31.1,0.105,0,Gateron Phantom Red
30.9,0.105,0,Gateron Phantom Red
30.8,0.11,0,Gateron Phantom Red
31,0.115,0,Gateron Phantom Red
31,0.12,0,Gateron Phantom Red
30.7,0.12,0,Gateron Phantom Red
30.5,0.125,0,Gateron Phantom Red
30.5,0.125,0,Gateron Phantom Red
30.4,0.13,0,Gateron Phantom Red
30.5,0.13,0,Gateron Phantom Red
30.6,0.135,0,Gateron Phantom Red
30.6,0.135,0,Gateron Phantom Red
30.4,0.14,0,Gateron Phantom Red
30.4,0.14,0,Gateron Phantom Red
30.4,0.14,0,Gateron Phantom Red
30.4,0.145,0,Gateron Phantom Red
30.4,0.145,0,Gateron Phantom Red
30.5,0.15,0,Gateron Phantom Red
30.6,0.155,0,Gateron Phantom Red
30.5,0.155,0,Gateron Phantom Red
30.1,0.16,0,Gateron Phantom Red
30.2,0.16,0,Gateron Phantom Red
30.3,0.165,0,Gateron Phantom Red
30.4,0.165,0,Gateron Phantom Red
30.5,0.17,0,Gateron Phantom Red
30.4,0.175,0,Gateron Phantom Red
30.4,0.18,0,Gateron Phantom Red
30.3,0.18,0,Gateron Phantom Red
30.3,0.185,0,Gateron Phantom Red
30.3,0.19,0,Gateron Phantom Red
30.5,0.195,0,Gateron Phantom Red
30.3,0.2,0,Gateron Phantom Red
30.4,0.205,0,Gateron Phantom Red
30.4,0.21,0,Gateron Phantom Red
30.1,0.215,0,Gateron Phantom Red
30.3,0.215,0,Gateron Phantom Red
30.3,0.22,0,Gateron Phantom Red
30.2,0.225,0,Gateron Phantom Red
30.3,0.225,0,Gateron Phantom Red
30.3,0.23,0,Gateron Phantom Red
30.2,0.23,0,Gateron Phantom Red
30.3,0.235,0,Gateron Phantom Red
30.3,0.24,0,Gateron Phantom Red
30.2,0.24,0,Gateron Phantom Red
30.4,0.245,0,Gateron Phantom Red
30.3,0.25,0,Gateron Phantom Red
30.4,0.25,0,Gateron Phantom Red
30.5,0.255,0,Gateron Phantom Red
30.3,0.26,0,Gateron Phantom Red
30.4,0.265,0,Gateron Phantom Red
30.6,0.265,0,Gateron Phantom Red
30.6,0.27,0,Gateron Phantom Red
30.8,0.275,0,Gateron Phantom Red
30.7,0.28,0,Gateron Phantom Red
30.1,0.285,0,Gateron Phantom Red
30.1,0.285,0,Gateron Phantom Red
30.3,0.29,0,Gateron Phantom Red
30.4,0.29,0,Gateron Phantom Red
30.8,0.295,0,Gateron Phantom Red
30.7,0.295,0,Gateron Phantom Red
30.8,0.3,0,Gateron Phantom Red
31,0.305,0,Gateron Phantom Red
31,0.31,0,Gateron Phantom Red
30.8,0.315,0,Gateron Phantom Red
30.7,0.32,0,Gateron Phantom Red
30.9,0.325,0,Gateron Phantom Red
30.9,0.33,0,Gateron Phantom Red
30.9,0.335,0,Gateron Phantom Red
31,0.34,0,Gateron Phantom Red
31.1,0.345,0,Gateron Phantom Red
31.3,0.35,0,Gateron Phantom Red
31,0.36,0,Gateron Phantom Red
31.2,0.365,0,Gateron Phantom Red
31.3,0.37,0,Gateron Phantom Red
31.3,0.375,0,Gateron Phantom Red
31.2,0.38,0,Gateron Phantom Red
31,0.385,0,Gateron Phantom Red
31,0.39,0,Gateron Phantom Red
31,0.395,0,Gateron Phantom Red
31.2,0.4,0,Gateron Phantom Red
31.2,0.405,0,Gateron Phantom Red
31.2,0.41,0,Gateron Phantom Red
31.2,0.415,0,Gateron Phantom Red
31.3,0.42,0,Gateron Phantom Red
31.4,0.425,0,Gateron Phantom Red
31.3,0.43,0,Gateron Phantom Red
31.4,0.435,0,Gateron Phantom Red
31.4,0.44,0,Gateron Phantom Red
31.1,0.445,0,Gateron Phantom Red
31.2,0.45,0,Gateron Phantom Red
31.4,0.455,0,Gateron Phantom Red
31.4,0.46,0,Gateron Phantom Red
31.3,0.465,0,Gateron Phantom Red
31.3,0.47,0,Gateron Phantom Red
31.3,0.475,0,Gateron Phantom Red
31.2,0.48,0,Gateron Phantom Red
31.2,0.485,0,Gateron Phantom Red
31.2,0.485,0,Gateron Phantom Red
31.4,0.49,0,Gateron Phantom Red
31.4,0.495,0,Gateron Phantom Red
31.4,0.495,0,Gateron Phantom Red
31.4,0.5,0,Gateron Phantom Red
31.5,0.505,0,Gateron Phantom Red
31.3,0.505,0,Gateron Phantom Red
31.3,0.51,0,Gateron Phantom Red
31.3,0.515,0,Gateron Phantom Red
31.5,0.515,0,Gateron Phantom Red
31.7,0.52,0,Gateron Phantom Red
31.6,0.525,0,Gateron Phantom Red
31.6,0.53,0,Gateron Phantom Red
31.7,0.535,0,Gateron Phantom Red
31.5,0.54,0,Gateron Phantom Red
31.5,0.545,0,Gateron Phantom Red
31.6,0.55,0,Gateron Phantom Red
31.9,0.555,0,Gateron Phantom Red
32,0.56,0,Gateron Phantom Red
31.7,0.565,0,Gateron Phantom Red
31.6,0.57,0,Gateron Phantom Red
31.9,0.57,0,Gateron Phantom Red
32.1,0.575,0,Gateron Phantom Red
32.1,0.58,0,Gateron Phantom Red
31.9,0.585,0,Gateron Phantom Red
32.3,0.59,0,Gateron Phantom Red
32,0.6,0,Gateron Phantom Red
32.1,0.605,0,Gateron Phantom Red
32.3,0.61,0,Gateron Phantom Red
32.3,0.615,0,Gateron Phantom Red
32.1,0.62,0,Gateron Phantom Red
