force,displacement,judge,name
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0.1,0,0,Gateron Root Beer Float (New Pin) 2
0.1,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
0,0,0,Gateron Root Beer Float (New Pin) 2
-0.1,0.005,0,Gateron Root Beer Float (New Pin) 2
-0.1,0.005,0,Gateron Root Beer Float (New Pin) 2
0,0.005,0,Gateron Root Beer Float (New Pin) 2
0,0.005,0,Gateron Root Beer Float (New Pin) 2
0,0.005,0,Gateron Root Beer Float (New Pin) 2
0,0.005,0,Gateron Root Beer Float (New Pin) 2
0,0.005,0,Gateron Root Beer Float (New Pin) 2
0,0.01,0,Gateron Root Beer Float (New Pin) 2
0,0.015,0,Gateron Root Beer Float (New Pin) 2
0,0.02,0,Gateron Root Beer Float (New Pin) 2
0.5,0.025,0,Gateron Root Beer Float (New Pin) 2
2.8,0.03,0,Gateron Root Beer Float (New Pin) 2
4.7,0.03,0,Gateron Root Beer Float (New Pin) 2
6.2,0.035,0,Gateron Root Beer Float (New Pin) 2
7.3,0.035,0,Gateron Root Beer Float (New Pin) 2
8.1,0.035,0,Gateron Root Beer Float (New Pin) 2
8.8,0.035,0,Gateron Root Beer Float (New Pin) 2
9.7,0.04,0,Gateron Root Beer Float (New Pin) 2
10.8,0.04,0,Gateron Root Beer Float (New Pin) 2
12.1,0.04,0,Gateron Root Beer Float (New Pin) 2
13.5,0.04,0,Gateron Root Beer Float (New Pin) 2
14.6,0.045,0,Gateron Root Beer Float (New Pin) 2
15.9,0.045,0,Gateron Root Beer Float (New Pin) 2
17.5,0.045,0,Gateron Root Beer Float (New Pin) 2
19.1,0.05,0,Gateron Root Beer Float (New Pin) 2
20.9,0.05,0,Gateron Root Beer Float (New Pin) 2
22.8,0.055,0,Gateron Root Beer Float (New Pin) 2
25.2,0.055,0,Gateron Root Beer Float (New Pin) 2
27.6,0.06,0,Gateron Root Beer Float (New Pin) 2
29.7,0.06,0,Gateron Root Beer Float (New Pin) 2
32.3,0.065,0,Gateron Root Beer Float (New Pin) 2
34.9,0.07,0,Gateron Root Beer Float (New Pin) 2
37.1,0.07,0,Gateron Root Beer Float (New Pin) 2
38.4,0.075,0,Gateron Root Beer Float (New Pin) 2
38.2,0.075,0,Gateron Root Beer Float (New Pin) 2
38.2,0.08,0,Gateron Root Beer Float (New Pin) 2
38.6,0.08,0,Gateron Root Beer Float (New Pin) 2
39,0.085,0,Gateron Root Beer Float (New Pin) 2
38.4,0.085,0,Gateron Root Beer Float (New Pin) 2
37.7,0.09,0,Gateron Root Beer Float (New Pin) 2
37.5,0.09,0,Gateron Root Beer Float (New Pin) 2
37.5,0.09,0,Gateron Root Beer Float (New Pin) 2
37.4,0.095,0,Gateron Root Beer Float (New Pin) 2
36.7,0.095,0,Gateron Root Beer Float (New Pin) 2
36.6,0.095,0,Gateron Root Beer Float (New Pin) 2
37.3,0.1,0,Gateron Root Beer Float (New Pin) 2
37.9,0.1,0,Gateron Root Beer Float (New Pin) 2
38.8,0.105,0,Gateron Root Beer Float (New Pin) 2
39.6,0.11,0,Gateron Root Beer Float (New Pin) 2
