force,displacement,judge,name
0,0,0,Gateron Silent Ink V2
-0.1,0,0,Gateron Silent Ink V2
0.1,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0.1,0,0,Gateron Silent Ink V2
0,0,0,Gateron Silent Ink V2
0,0.005,0,Gateron Silent Ink V2
0,0.005,0,Gateron Silent Ink V2
0,0.005,0,Gateron Silent Ink V2
0,0.005,0,Gateron Silent Ink V2
-0.1,0.01,0,Gateron Silent Ink V2
0,0.01,0,Gateron Silent Ink V2
0,0.01,0,Gateron Silent Ink V2
0.1,0.01,0,Gateron Silent Ink V2
0,0.01,0,Gateron Silent Ink V2
0,0.01,0,Gateron Silent Ink V2
0,0.01,0,Gateron Silent Ink V2
0,0.015,0,Gateron Silent Ink V2
0,0.015,0,Gateron Silent Ink V2
0,0.015,0,Gateron Silent Ink V2
0.1,0.015,0,Gateron Silent Ink V2
0,0.02,0,Gateron Silent Ink V2
0,0.02,0,Gateron Silent Ink V2
0,0.02,0,Gateron Silent Ink V2
0.1,0.02,0,Gateron Silent Ink V2
0.9,0.025,0,Gateron Silent Ink V2
2,0.025,0,Gateron Silent Ink V2
3.2,0.025,0,Gateron Silent Ink V2
4.2,0.03,0,Gateron Silent Ink V2
5.4,0.03,0,Gateron Silent Ink V2
6.7,0.03,0,Gateron Silent Ink V2
8.1,0.035,0,Gateron Silent Ink V2
9.8,0.035,0,Gateron Silent Ink V2
11.3,0.035,0,Gateron Silent Ink V2
12.5,0.04,0,Gateron Silent Ink V2
13.5,0.04,0,Gateron Silent Ink V2
14.7,0.04,0,Gateron Silent Ink V2
16.4,0.045,0,Gateron Silent Ink V2
18.1,0.045,0,Gateron Silent Ink V2
19.5,0.045,0,Gateron Silent Ink V2
21.2,0.05,0,Gateron Silent Ink V2
22.9,0.05,0,Gateron Silent Ink V2
24.8,0.055,0,Gateron Silent Ink V2
26.7,0.055,0,Gateron Silent Ink V2
28.6,0.06,0,Gateron Silent Ink V2
30.7,0.065,0,Gateron Silent Ink V2
