force,displacement,judge,name
0,0,0,Gateron UHMknown 2
0.1,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0.1,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0,0,Gateron UHMknown 2
0,0.005,0,Gateron UHMknown 2
0.1,0.005,0,Gateron UHMknown 2
-0.1,0.01,0,Gateron UHMknown 2
-0.1,0.015,0,Gateron UHMknown 2
3.4,0.025,0,Gateron UHMknown 2
9.5,0.03,0,Gateron UHMknown 2
15.6,0.035,0,Gateron UHMknown 2
21.1,0.04,0,Gateron UHMknown 2
26.2,0.045,0,Gateron UHMknown 2
31.3,0.05,0,Gateron UHMknown 2
35.8,0.055,0,Gateron UHMknown 2
39.8,0.06,0,Gateron UHMknown 2
43.2,0.065,0,Gateron UHMknown 2
45.6,0.065,0,Gateron UHMknown 2
47.4,0.07,0,Gateron UHMknown 2
48.1,0.07,0,Gateron UHMknown 2
46,0.07,0,Gateron UHMknown 2
44,0.075,0,Gateron UHMknown 2
44.3,0.075,0,Gateron UHMknown 2
44.7,0.075,0,Gateron UHMknown 2
44.9,0.08,0,Gateron UHMknown 2
42.7,0.08,0,Gateron UHMknown 2
43,0.085,0,Gateron UHMknown 2
43.8,0.085,0,Gateron UHMknown 2
44.4,0.09,0,Gateron UHMknown 2
44.6,0.09,0,Gateron UHMknown 2
44.6,0.095,0,Gateron UHMknown 2
44.9,0.095,0,Gateron UHMknown 2
45.2,0.1,0,Gateron UHMknown 2
45.2,0.1,0,Gateron UHMknown 2
45.3,0.105,0,Gateron UHMknown 2
44.8,0.105,0,Gateron UHMknown 2
44.4,0.11,0,Gateron UHMknown 2
44.5,0.11,0,Gateron UHMknown 2
44.7,0.115,0,Gateron UHMknown 2
44.9,0.12,0,Gateron UHMknown 2
45,0.12,0,Gateron UHMknown 2
44.8,0.125,0,Gateron UHMknown 2
44.8,0.13,0,Gateron UHMknown 2
44.7,0.13,0,Gateron UHMknown 2
44.5,0.135,0,Gateron UHMknown 2
44.5,0.135,0,Gateron UHMknown 2
44.4,0.14,0,Gateron UHMknown 2
44.4,0.14,0,Gateron UHMknown 2
44.3,0.145,0,Gateron UHMknown 2
44.3,0.145,0,Gateron UHMknown 2
