force,displacement,judge,name
-0.1,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
0.1,0,0,Gateron x Swagkeys Pure Berry
-0.1,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
0,0,0,Gateron x Swagkeys Pure Berry
-0.1,0,0,Gateron x Swagkeys Pure Berry
0.1,0,0,Gateron x Swagkeys Pure Berry
0.1,0,0,Gateron x Swagkeys Pure Berry
0.1,0,0,Gateron x Swagkeys Pure Berry
-0.1,0,0,Gateron x Swagkeys Pure Berry
0,0.005,0,Gateron x Swagkeys Pure Berry
0,0.005,0,Gateron x Swagkeys Pure Berry
0.1,0.005,0,Gateron x Swagkeys Pure Berry
0,0.005,0,Gateron x Swagkeys Pure Berry
-0.1,0.005,0,Gateron x Swagkeys Pure Berry
0.1,0.01,0,Gateron x Swagkeys Pure Berry
1,0.01,0,Gateron x Swagkeys Pure Berry
2.5,0.01,0,Gateron x Swagkeys Pure Berry
3.7,0.015,0,Gateron x Swagkeys Pure Berry
4.7,0.015,0,Gateron x Swagkeys Pure Berry
5.7,0.015,0,Gateron x Swagkeys Pure Berry
6.9,0.015,0,Gateron x Swagkeys Pure Berry
8.1,0.02,0,Gateron x Swagkeys Pure Berry
9.4,0.02,0,Gateron x Swagkeys Pure Berry
10.4,0.02,0,Gateron x Swagkeys Pure Berry
11.2,0.02,0,Gateron x Swagkeys Pure Berry
12,0.025,0,Gateron x Swagkeys Pure Berry
12.6,0.025,0,Gateron x Swagkeys Pure Berry
13.4,0.025,0,Gateron x Swagkeys Pure Berry
14.2,0.025,0,Gateron x Swagkeys Pure Berry
15,0.025,0,Gateron x Swagkeys Pure Berry
15.7,0.025,0,Gateron x Swagkeys Pure Berry
16.6,0.025,0,Gateron x Swagkeys Pure Berry
17.7,0.03,0,Gateron x Swagkeys Pure Berry
19.1,0.03,0,Gateron x Swagkeys Pure Berry
20.3,0.03,0,Gateron x Swagkeys Pure Berry
21.6,0.03,0,Gateron x Swagkeys Pure Berry
22.9,0.035,0,Gateron x Swagkeys Pure Berry
24,0.035,0,Gateron x Swagkeys Pure Berry
25.1,0.035,0,Gateron x Swagkeys Pure Berry
26.4,0.035,0,Gateron x Swagkeys Pure Berry
27.7,0.04,0,Gateron x Swagkeys Pure Berry
28.9,0.04,0,Gateron x Swagkeys Pure Berry
30.1,0.04,0,Gateron x Swagkeys Pure Berry
31.3,0.04,0,Gateron x Swagkeys Pure Berry
32.6,0.045,0,Gateron x Swagkeys Pure Berry
33.6,0.045,0,Gateron x Swagkeys Pure Berry
34.6,0.045,0,Gateron x Swagkeys Pure Berry
35.9,0.05,0,Gateron x Swagkeys Pure Berry
37.3,0.05,0,Gateron x Swagkeys Pure Berry
38.5,0.05,0,Gateron x Swagkeys Pure Berry
39.6,0.05,0,Gateron x Swagkeys Pure Berry
40.6,0.055,0,Gateron x Swagkeys Pure Berry
41.6,0.055,0,Gateron x Swagkeys Pure Berry
42.6,0.055,0,Gateron x Swagkeys Pure Berry
43.6,0.055,0,Gateron x Swagkeys Pure Berry
45,0.06,0,Gateron x Swagkeys Pure Berry
46.5,0.06,0,Gateron x Swagkeys Pure Berry
48.2,0.06,0,Gateron x Swagkeys Pure Berry
49.4,0.065,0,Gateron x Swagkeys Pure Berry
50.3,0.065,0,Gateron x Swagkeys Pure Berry
50.9,0.065,0,Gateron x Swagkeys Pure Berry
51.6,0.07,0,Gateron x Swagkeys Pure Berry
52.3,0.07,0,Gateron x Swagkeys Pure Berry
52.8,0.075,0,Gateron x Swagkeys Pure Berry
53.6,0.075,0,Gateron x Swagkeys Pure Berry
54.4,0.075,0,Gateron x Swagkeys Pure Berry
54.7,0.08,0,Gateron x Swagkeys Pure Berry
53.6,0.08,0,Gateron x Swagkeys Pure Berry
52.9,0.085,0,Gateron x Swagkeys Pure Berry
52.7,0.085,0,Gateron x Swagkeys Pure Berry
52.3,0.09,0,Gateron x Swagkeys Pure Berry
51.8,0.095,0,Gateron x Swagkeys Pure Berry
51.7,0.095,0,Gateron x Swagkeys Pure Berry
51.4,0.1,0,Gateron x Swagkeys Pure Berry
51.1,0.1,0,Gateron x Swagkeys Pure Berry
51,0.105,0,Gateron x Swagkeys Pure Berry
50.7,0.11,0,Gateron x Swagkeys Pure Berry
50.4,0.11,0,Gateron x Swagkeys Pure Berry
50.2,0.115,0,Gateron x Swagkeys Pure Berry
50,0.12,0,Gateron x Swagkeys Pure Berry
49.9,0.125,0,Gateron x Swagkeys Pure Berry
49.6,0.13,0,Gateron x Swagkeys Pure Berry
49.6,0.13,0,Gateron x Swagkeys Pure Berry
49.4,0.135,0,Gateron x Swagkeys Pure Berry
49.4,0.14,0,Gateron x Swagkeys Pure Berry
49.2,0.14,0,Gateron x Swagkeys Pure Berry
49.2,0.145,0,Gateron x Swagkeys Pure Berry
49,0.15,0,Gateron x Swagkeys Pure Berry
48.9,0.15,0,Gateron x Swagkeys Pure Berry
48.7,0.155,0,Gateron x Swagkeys Pure Berry
48.6,0.155,0,Gateron x Swagkeys Pure Berry
48.6,0.16,0,Gateron x Swagkeys Pure Berry
48.6,0.16,0,Gateron x Swagkeys Pure Berry
48.5,0.165,0,Gateron x Swagkeys Pure Berry
48.4,0.165,0,Gateron x Swagkeys Pure Berry
48.3,0.17,0,Gateron x Swagkeys Pure Berry
48.4,0.17,0,Gateron x Swagkeys Pure Berry
48.2,0.175,0,Gateron x Swagkeys Pure Berry
48.2,0.175,0,Gateron x Swagkeys Pure Berry
48.1,0.18,0,Gateron x Swagkeys Pure Berry
47.9,0.185,0,Gateron x Swagkeys Pure Berry
47.8,0.19,0,Gateron x Swagkeys Pure Berry
47.7,0.19,0,Gateron x Swagkeys Pure Berry
47.7,0.195,0,Gateron x Swagkeys Pure Berry
47.6,0.2,0,Gateron x Swagkeys Pure Berry
47.4,0.2,0,Gateron x Swagkeys Pure Berry
47.4,0.205,0,Gateron x Swagkeys Pure Berry
47.5,0.21,0,Gateron x Swagkeys Pure Berry
47.3,0.215,0,Gateron x Swagkeys Pure Berry
47.2,0.215,0,Gateron x Swagkeys Pure Berry
47.2,0.22,0,Gateron x Swagkeys Pure Berry
47.2,0.225,0,Gateron x Swagkeys Pure Berry
47,0.225,0,Gateron x Swagkeys Pure Berry
46.9,0.23,0,Gateron x Swagkeys Pure Berry
46.8,0.23,0,Gateron x Swagkeys Pure Berry
46.9,0.235,0,Gateron x Swagkeys Pure Berry
46.9,0.235,0,Gateron x Swagkeys Pure Berry
47,0.235,0,Gateron x Swagkeys Pure Berry
47.1,0.24,0,Gateron x Swagkeys Pure Berry
46.8,0.245,0,Gateron x Swagkeys Pure Berry
46.8,0.245,0,Gateron x Swagkeys Pure Berry
46.7,0.25,0,Gateron x Swagkeys Pure Berry
46.7,0.25,0,Gateron x Swagkeys Pure Berry
46.7,0.255,0,Gateron x Swagkeys Pure Berry
46.7,0.26,0,Gateron x Swagkeys Pure Berry
46.7,0.26,0,Gateron x Swagkeys Pure Berry
46.5,0.265,0,Gateron x Swagkeys Pure Berry
46.5,0.265,0,Gateron x Swagkeys Pure Berry
46.4,0.27,0,Gateron x Swagkeys Pure Berry
46.4,0.275,0,Gateron x Swagkeys Pure Berry
46.2,0.275,0,Gateron x Swagkeys Pure Berry
46.4,0.275,0,Gateron x Swagkeys Pure Berry
46.4,0.28,0,Gateron x Swagkeys Pure Berry
46.4,0.285,0,Gateron x Swagkeys Pure Berry
46.3,0.285,0,Gateron x Swagkeys Pure Berry
46.3,0.29,0,Gateron x Swagkeys Pure Berry
46.4,0.295,0,Gateron x Swagkeys Pure Berry
46.3,0.3,0,Gateron x Swagkeys Pure Berry
46.3,0.305,0,Gateron x Swagkeys Pure Berry
46.3,0.31,0,Gateron x Swagkeys Pure Berry
46.1,0.315,0,Gateron x Swagkeys Pure Berry
46.1,0.315,0,Gateron x Swagkeys Pure Berry
46,0.32,0,Gateron x Swagkeys Pure Berry
46,0.32,0,Gateron x Swagkeys Pure Berry
46,0.325,0,Gateron x Swagkeys Pure Berry
46,0.33,0,Gateron x Swagkeys Pure Berry
45.9,0.33,0,Gateron x Swagkeys Pure Berry
46,0.33,0,Gateron x Swagkeys Pure Berry
46.1,0.335,0,Gateron x Swagkeys Pure Berry
45.9,0.34,0,Gateron x Swagkeys Pure Berry
45.9,0.34,0,Gateron x Swagkeys Pure Berry
45.9,0.345,0,Gateron x Swagkeys Pure Berry
46,0.345,0,Gateron x Swagkeys Pure Berry
46.2,0.35,0,Gateron x Swagkeys Pure Berry
46.1,0.35,0,Gateron x Swagkeys Pure Berry
46.1,0.355,0,Gateron x Swagkeys Pure Berry
46.1,0.355,0,Gateron x Swagkeys Pure Berry
46.1,0.36,0,Gateron x Swagkeys Pure Berry
46.1,0.36,0,Gateron x Swagkeys Pure Berry
46.3,0.365,0,Gateron x Swagkeys Pure Berry
45.9,0.37,0,Gateron x Swagkeys Pure Berry
45.9,0.37,0,Gateron x Swagkeys Pure Berry
46.1,0.37,0,Gateron x Swagkeys Pure Berry
46.2,0.375,0,Gateron x Swagkeys Pure Berry
46.1,0.375,0,Gateron x Swagkeys Pure Berry
46.1,0.375,0,Gateron x Swagkeys Pure Berry
46.1,0.38,0,Gateron x Swagkeys Pure Berry
46.2,0.38,0,Gateron x Swagkeys Pure Berry
46,0.385,0,Gateron x Swagkeys Pure Berry
46.1,0.385,0,Gateron x Swagkeys Pure Berry
46.1,0.385,0,Gateron x Swagkeys Pure Berry
46,0.39,0,Gateron x Swagkeys Pure Berry
46.1,0.39,0,Gateron x Swagkeys Pure Berry
46.2,0.39,0,Gateron x Swagkeys Pure Berry
46.3,0.395,0,Gateron x Swagkeys Pure Berry
46.3,0.395,0,Gateron x Swagkeys Pure Berry
46.3,0.395,0,Gateron x Swagkeys Pure Berry
46.3,0.4,0,Gateron x Swagkeys Pure Berry
46.3,0.405,0,Gateron x Swagkeys Pure Berry
46.2,0.405,0,Gateron x Swagkeys Pure Berry
46.2,0.41,0,Gateron x Swagkeys Pure Berry
46.3,0.41,0,Gateron x Swagkeys Pure Berry
46.2,0.415,0,Gateron x Swagkeys Pure Berry
46.3,0.42,0,Gateron x Swagkeys Pure Berry
46.2,0.425,0,Gateron x Swagkeys Pure Berry
46.2,0.43,0,Gateron x Swagkeys Pure Berry
46.1,0.435,0,Gateron x Swagkeys Pure Berry
46.1,0.435,0,Gateron x Swagkeys Pure Berry
