force,displacement,judge,name
0,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
-0.1,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0.1,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
-0.1,0,0,Gazzew Phoenix V1 75g
-0.1,0,0,Gazzew Phoenix V1 75g
0,0,0,Gazzew Phoenix V1 75g
0,0.005,0,Gazzew Phoenix V1 75g
0,0.005,0,Gazzew Phoenix V1 75g
0,0.005,0,Gazzew Phoenix V1 75g
0,0.01,0,Gazzew Phoenix V1 75g
1,0.01,0,Gazzew Phoenix V1 75g
4.1,0.015,0,Gazzew Phoenix V1 75g
7.8,0.02,0,Gazzew Phoenix V1 75g
10.8,0.02,0,Gazzew Phoenix V1 75g
13.5,0.025,0,Gazzew Phoenix V1 75g
16,0.025,0,Gazzew Phoenix V1 75g
18.6,0.03,0,Gazzew Phoenix V1 75g
21.5,0.035,0,Gazzew Phoenix V1 75g
24.2,0.035,0,Gazzew Phoenix V1 75g
26,0.035,0,Gazzew Phoenix V1 75g
27.5,0.04,0,Gazzew Phoenix V1 75g
29.4,0.04,0,Gazzew Phoenix V1 75g
31.2,0.04,0,Gazzew Phoenix V1 75g
32.8,0.045,0,Gazzew Phoenix V1 75g
34.4,0.045,0,Gazzew Phoenix V1 75g
35,0.045,0,Gazzew Phoenix V1 75g
36.2,0.05,0,Gazzew Phoenix V1 75g
37.2,0.05,0,Gazzew Phoenix V1 75g
38.4,0.05,0,Gazzew Phoenix V1 75g
39.6,0.055,0,Gazzew Phoenix V1 75g
40.7,0.055,0,Gazzew Phoenix V1 75g
41.7,0.055,0,Gazzew Phoenix V1 75g
42.3,0.06,0,Gazzew Phoenix V1 75g
42.8,0.06,0,Gazzew Phoenix V1 75g
43.2,0.06,0,Gazzew Phoenix V1 75g
