force,displacement,judge,name
0,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0.2,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0.2,0,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.2,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0.2,0,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.1,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0.1,0,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.1,0,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.2,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.005,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.005,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.1,0.005,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.005,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.1,0.005,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.005,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.01,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.01,0,"Greetech Blue (Clear_White, 5 Pin)"
-0.1,0.015,0,"Greetech Blue (Clear_White, 5 Pin)"
0.1,0.02,0,"Greetech Blue (Clear_White, 5 Pin)"
0.1,0.025,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.025,0,"Greetech Blue (Clear_White, 5 Pin)"
0,0.03,0,"Greetech Blue (Clear_White, 5 Pin)"
0.1,0.035,0,"Greetech Blue (Clear_White, 5 Pin)"
1,0.04,0,"Greetech Blue (Clear_White, 5 Pin)"
4.1,0.04,0,"Greetech Blue (Clear_White, 5 Pin)"
6.5,0.045,0,"Greetech Blue (Clear_White, 5 Pin)"
8.6,0.045,0,"Greetech Blue (Clear_White, 5 Pin)"
10.3,0.05,0,"Greetech Blue (Clear_White, 5 Pin)"
11.8,0.05,0,"Greetech Blue (Clear_White, 5 Pin)"
13,0.05,0,"Greetech Blue (Clear_White, 5 Pin)"
14.1,0.05,0,"Greetech Blue (Clear_White, 5 Pin)"
15.4,0.055,0,"Greetech Blue (Clear_White, 5 Pin)"
16.5,0.055,0,"Greetech Blue (Clear_White, 5 Pin)"
17.5,0.055,0,"Greetech Blue (Clear_White, 5 Pin)"
18.6,0.055,0,"Greetech Blue (Clear_White, 5 Pin)"
19.7,0.06,0,"Greetech Blue (Clear_White, 5 Pin)"
20.7,0.06,0,"Greetech Blue (Clear_White, 5 Pin)"
21.7,0.06,0,"Greetech Blue (Clear_White, 5 Pin)"
22.7,0.06,0,"Greetech Blue (Clear_White, 5 Pin)"
23.9,0.06,0,"Greetech Blue (Clear_White, 5 Pin)"
25.3,0.065,0,"Greetech Blue (Clear_White, 5 Pin)"
26.9,0.065,0,"Greetech Blue (Clear_White, 5 Pin)"
28,0.065,0,"Greetech Blue (Clear_White, 5 Pin)"
29.3,0.065,0,"Greetech Blue (Clear_White, 5 Pin)"
30.9,0.07,0,"Greetech Blue (Clear_White, 5 Pin)"
32.3,0.07,0,"Greetech Blue (Clear_White, 5 Pin)"
32.8,0.07,0,"Greetech Blue (Clear_White, 5 Pin)"
33.5,0.07,0,"Greetech Blue (Clear_White, 5 Pin)"
