force,displacement,judge,name
0,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0.1,0.005,0,Gypsophilia 5
0.1,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0.1,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
-0.1,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0.2,0.005,0,Gypsophilia 5
0.1,0.005,0,Gypsophilia 5
-0.1,0.005,0,Gypsophilia 5
0,0.005,0,Gypsophilia 5
0,0.01,0,Gypsophilia 5
0,0.01,0,Gypsophilia 5
0,0.01,0,Gypsophilia 5
0.1,0.015,0,Gypsophilia 5
0,0.015,0,Gypsophilia 5
0,0.02,0,Gypsophilia 5
0.2,0.02,0,Gypsophilia 5
1.7,0.02,0,Gypsophilia 5
4,0.025,0,Gypsophilia 5
6.1,0.025,0,Gypsophilia 5
8.1,0.03,0,Gypsophilia 5
10.1,0.03,0,Gypsophilia 5
12,0.035,0,Gypsophilia 5
14,0.035,0,Gypsophilia 5
16,0.04,0,Gypsophilia 5
17.4,0.04,0,Gypsophilia 5
18.6,0.04,0,Gypsophilia 5
19.5,0.04,0,Gypsophilia 5
20.7,0.04,0,Gypsophilia 5
21.2,0.045,0,Gypsophilia 5
21.7,0.045,0,Gypsophilia 5
22.4,0.045,0,Gypsophilia 5
23,0.045,0,Gypsophilia 5
23.3,0.045,0,Gypsophilia 5
23.7,0.045,0,Gypsophilia 5
24.7,0.045,0,Gypsophilia 5
26.2,0.05,0,Gypsophilia 5
27.8,0.05,0,Gypsophilia 5
28.8,0.05,0,Gypsophilia 5
29.8,0.055,0,Gypsophilia 5
30.9,0.055,0,Gypsophilia 5
31.9,0.055,0,Gypsophilia 5
34.8,0.06,0,Gypsophilia 5
36.4,0.06,0,Gypsophilia 5
36.7,0.06,0,Gypsophilia 5
36.9,0.06,0,Gypsophilia 5
37.3,0.06,0,Gypsophilia 5
37.8,0.06,0,Gypsophilia 5
38.5,0.06,0,Gypsophilia 5
39.3,0.065,0,Gypsophilia 5
39.9,0.065,0,Gypsophilia 5
40.5,0.065,0,Gypsophilia 5
40.8,0.065,0,Gypsophilia 5
41.4,0.065,0,Gypsophilia 5
42.4,0.065,0,Gypsophilia 5
43.5,0.07,0,Gypsophilia 5
44.4,0.07,0,Gypsophilia 5
45.3,0.07,0,Gypsophilia 5
45.9,0.075,0,Gypsophilia 5
46.5,0.075,0,Gypsophilia 5
47,0.075,0,Gypsophilia 5
47.6,0.075,0,Gypsophilia 5
47.3,0.08,0,Gypsophilia 5
