force,displacement,judge,name
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
-0.1,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
-0.1,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0,0,HK Gaming MS-1 Pro Marlin Blue
0,0.005,0,HK Gaming MS-1 Pro Marlin Blue
0.1,0.005,0,HK Gaming MS-1 Pro Marlin Blue
0.1,0.005,0,HK Gaming MS-1 Pro Marlin Blue
0,0.01,0,HK Gaming MS-1 Pro Marlin Blue
0,0.015,0,HK Gaming MS-1 Pro Marlin Blue
-0.1,0.015,0,HK Gaming MS-1 Pro Marlin Blue
-0.1,0.02,0,HK Gaming MS-1 Pro Marlin Blue
0,0.02,0,HK Gaming MS-1 Pro Marlin Blue
0,0.025,0,HK Gaming MS-1 Pro Marlin Blue
0,0.03,0,HK Gaming MS-1 Pro Marlin Blue
0.1,0.035,0,HK Gaming MS-1 Pro Marlin Blue
0,0.04,0,HK Gaming MS-1 Pro Marlin Blue
0,0.04,0,HK Gaming MS-1 Pro Marlin Blue
0,0.045,0,HK Gaming MS-1 Pro Marlin Blue
0,0.045,0,HK Gaming MS-1 Pro Marlin Blue
0.1,0.05,0,HK Gaming MS-1 Pro Marlin Blue
2.7,0.05,0,HK Gaming MS-1 Pro Marlin Blue
5.9,0.055,0,HK Gaming MS-1 Pro Marlin Blue
9.2,0.06,0,HK Gaming MS-1 Pro Marlin Blue
12.3,0.065,0,HK Gaming MS-1 Pro Marlin Blue
14.9,0.065,0,HK Gaming MS-1 Pro Marlin Blue
17.3,0.07,0,HK Gaming MS-1 Pro Marlin Blue
19.7,0.07,0,HK Gaming MS-1 Pro Marlin Blue
21.8,0.075,0,HK Gaming MS-1 Pro Marlin Blue
23.7,0.075,0,HK Gaming MS-1 Pro Marlin Blue
25.4,0.075,0,HK Gaming MS-1 Pro Marlin Blue
26.9,0.08,0,HK Gaming MS-1 Pro Marlin Blue
28.4,0.08,0,HK Gaming MS-1 Pro Marlin Blue
29.7,0.08,0,HK Gaming MS-1 Pro Marlin Blue
30.9,0.085,0,HK Gaming MS-1 Pro Marlin Blue
32.2,0.085,0,HK Gaming MS-1 Pro Marlin Blue
33.1,0.085,0,HK Gaming MS-1 Pro Marlin Blue
33.2,0.09,0,HK Gaming MS-1 Pro Marlin Blue
33.5,0.09,0,HK Gaming MS-1 Pro Marlin Blue
33.7,0.095,0,HK Gaming MS-1 Pro Marlin Blue
34,0.095,0,HK Gaming MS-1 Pro Marlin Blue
34.8,0.095,0,HK Gaming MS-1 Pro Marlin Blue
36,0.1,0,HK Gaming MS-1 Pro Marlin Blue
37,0.1,0,HK Gaming MS-1 Pro Marlin Blue
37.5,0.105,0,HK Gaming MS-1 Pro Marlin Blue
37.7,0.105,0,HK Gaming MS-1 Pro Marlin Blue
37.8,0.105,0,HK Gaming MS-1 Pro Marlin Blue
37.9,0.11,0,HK Gaming MS-1 Pro Marlin Blue
