force,displacement,judge,name
0,0,0,HK Gaming MS-1 Pro Sky Blue
0.1,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0.2,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
-0.1,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
-0.3,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0.2,0,0,HK Gaming MS-1 Pro Sky Blue
0.1,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0,0,0,HK Gaming MS-1 Pro Sky Blue
0.6,0,0,HK Gaming MS-1 Pro Sky Blue
1.6,0,0,HK Gaming MS-1 Pro Sky Blue
2.8,0.005,0,HK Gaming MS-1 Pro Sky Blue
3.9,0.005,0,HK Gaming MS-1 Pro Sky Blue
5,0.005,0,HK Gaming MS-1 Pro Sky Blue
6.1,0.005,0,HK Gaming MS-1 Pro Sky Blue
7.3,0.01,0,HK Gaming MS-1 Pro Sky Blue
8.6,0.01,0,HK Gaming MS-1 Pro Sky Blue
9.9,0.01,0,HK Gaming MS-1 Pro Sky Blue
11.3,0.01,0,HK Gaming MS-1 Pro Sky Blue
12.9,0.015,0,HK Gaming MS-1 Pro Sky Blue
14.8,0.015,0,HK Gaming MS-1 Pro Sky Blue
16.6,0.015,0,HK Gaming MS-1 Pro Sky Blue
18.1,0.02,0,HK Gaming MS-1 Pro Sky Blue
19.8,0.02,0,HK Gaming MS-1 Pro Sky Blue
22.1,0.025,0,HK Gaming MS-1 Pro Sky Blue
24.4,0.025,0,HK Gaming MS-1 Pro Sky Blue
26.7,0.03,0,HK Gaming MS-1 Pro Sky Blue
28,0.03,0,HK Gaming MS-1 Pro Sky Blue
28.1,0.035,0,HK Gaming MS-1 Pro Sky Blue
28.8,0.035,0,HK Gaming MS-1 Pro Sky Blue
29.2,0.04,0,HK Gaming MS-1 Pro Sky Blue
29.5,0.04,0,HK Gaming MS-1 Pro Sky Blue
29.8,0.045,0,HK Gaming MS-1 Pro Sky Blue
30,0.045,0,HK Gaming MS-1 Pro Sky Blue
30,0.045,0,HK Gaming MS-1 Pro Sky Blue
30.3,0.05,0,HK Gaming MS-1 Pro Sky Blue
30.1,0.05,0,HK Gaming MS-1 Pro Sky Blue
30.1,0.05,0,HK Gaming MS-1 Pro Sky Blue
30.3,0.05,0,HK Gaming MS-1 Pro Sky Blue
30.4,0.055,0,HK Gaming MS-1 Pro Sky Blue
30.5,0.055,0,HK Gaming MS-1 Pro Sky Blue
30.7,0.055,0,HK Gaming MS-1 Pro Sky Blue
30.8,0.06,0,HK Gaming MS-1 Pro Sky Blue
31.1,0.06,0,HK Gaming MS-1 Pro Sky Blue
31.6,0.06,0,HK Gaming MS-1 Pro Sky Blue
32.3,0.065,0,HK Gaming MS-1 Pro Sky Blue
32.4,0.065,0,HK Gaming MS-1 Pro Sky Blue
32.5,0.07,0,HK Gaming MS-1 Pro Sky Blue
32.5,0.07,0,HK Gaming MS-1 Pro Sky Blue
32.5,0.075,0,HK Gaming MS-1 Pro Sky Blue
32.6,0.075,0,HK Gaming MS-1 Pro Sky Blue
32.7,0.08,0,HK Gaming MS-1 Pro Sky Blue
32.5,0.08,0,HK Gaming MS-1 Pro Sky Blue
32.4,0.085,0,HK Gaming MS-1 Pro Sky Blue
32.2,0.085,0,HK Gaming MS-1 Pro Sky Blue
32.3,0.09,0,HK Gaming MS-1 Pro Sky Blue
32.2,0.09,0,HK Gaming MS-1 Pro Sky Blue
32.2,0.09,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.095,0,HK Gaming MS-1 Pro Sky Blue
32,0.095,0,HK Gaming MS-1 Pro Sky Blue
32,0.095,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.1,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.1,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.1,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.105,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.105,0,HK Gaming MS-1 Pro Sky Blue
32,0.105,0,HK Gaming MS-1 Pro Sky Blue
32.1,0.11,0,HK Gaming MS-1 Pro Sky Blue
32.2,0.11,0,HK Gaming MS-1 Pro Sky Blue
32.2,0.115,0,HK Gaming MS-1 Pro Sky Blue
32.3,0.115,0,HK Gaming MS-1 Pro Sky Blue
32.3,0.115,0,HK Gaming MS-1 Pro Sky Blue
32.2,0.12,0,HK Gaming MS-1 Pro Sky Blue
32,0.12,0,HK Gaming MS-1 Pro Sky Blue
31.9,0.125,0,HK Gaming MS-1 Pro Sky Blue
32,0.125,0,HK Gaming MS-1 Pro Sky Blue
31.8,0.13,0,HK Gaming MS-1 Pro Sky Blue
31.7,0.13,0,HK Gaming MS-1 Pro Sky Blue
31.7,0.135,0,HK Gaming MS-1 Pro Sky Blue
31.7,0.135,0,HK Gaming MS-1 Pro Sky Blue
31.4,0.135,0,HK Gaming MS-1 Pro Sky Blue
31.6,0.14,0,HK Gaming MS-1 Pro Sky Blue
31.4,0.14,0,HK Gaming MS-1 Pro Sky Blue
31.5,0.14,0,HK Gaming MS-1 Pro Sky Blue
31.6,0.145,0,HK Gaming MS-1 Pro Sky Blue
31.3,0.145,0,HK Gaming MS-1 Pro Sky Blue
31.1,0.145,0,HK Gaming MS-1 Pro Sky Blue
31.2,0.145,0,HK Gaming MS-1 Pro Sky Blue
31.2,0.145,0,HK Gaming MS-1 Pro Sky Blue
31.6,0.15,0,HK Gaming MS-1 Pro Sky Blue
31.8,0.15,0,HK Gaming MS-1 Pro Sky Blue
31.8,0.155,0,HK Gaming MS-1 Pro Sky Blue
31.8,0.16,0,HK Gaming MS-1 Pro Sky Blue
31.8,0.165,0,HK Gaming MS-1 Pro Sky Blue
31.5,0.17,0,HK Gaming MS-1 Pro Sky Blue
