force,displacement,judge,name
-0.2,0,0,Hades
-0.2,0,0,Hades
-0.1,0,0,Hades
0.1,0,0,Hades
0,0,0,Hades
-0.2,0,0,Hades
-0.2,0,0,Hades
0.1,0,0,Hades
-0.1,0,0,Hades
-0.2,0,0,Hades
0.1,0,0,Hades
0,0,0,Hades
-0.1,0,0,Hades
-0.2,0,0,Hades
0,0,0,Hades
-0.2,0,0,Hades
0,0,0,Hades
0,0,0,Hades
0,0,0,Hades
-0.1,0,0,Hades
-0.1,0,0,Hades
0,0,0,Hades
-0.1,0,0,Hades
0,0,0,Hades
0,0,0,Hades
0,0.005,0,Hades
-0.1,0.005,0,Hades
0,0.005,0,Hades
-0.1,0.005,0,Hades
0,0.01,0,Hades
0.1,0.02,0,Hades
0,0.03,0,Hades
-0.1,0.04,0,Hades
-0.1,0.06,0,Hades
0,0.08,0,Hades
-0.1,0.09,0,Hades
-0.1,0.1,0,Hades
0.1,0.105,0,Hades
0.1,0.12,0,Hades
-0.1,0.135,0,Hades
-0.2,0.145,0,Hades
-0.1,0.15,0,Hades
0.2,0.155,0,Hades
0,0.155,0,Hades
0,0.16,0,Hades
0,0.16,0,Hades
-0.1,0.165,0,Hades
-0.1,0.175,0,Hades
-0.1,0.18,0,Hades
0,0.185,0,Hades
0,0.19,0,Hades
0,0.2,0,Hades
0,0.205,0,Hades
-0.1,0.215,0,Hades
-0.1,0.225,0,Hades
0.1,0.235,0,Hades
0,0.245,0,Hades
-0.1,0.26,0,Hades
0,0.27,0,Hades
0,0.28,0,Hades
-0.2,0.29,0,Hades
0,0.3,0,Hades
0.1,0.31,0,Hades
0.1,0.315,0,Hades
-0.1,0.325,0,Hades
-0.1,0.335,0,Hades
0.1,0.34,0,Hades
0,0.35,0,Hades
0,0.355,0,Hades
-0.1,0.37,0,Hades
0,0.38,0,Hades
0,0.39,0,Hades
-0.1,0.4,0,Hades
0,0.415,0,Hades
0,0.42,0,Hades
0,0.425,0,Hades
-0.1,0.43,0,Hades
-0.1,0.44,0,Hades
-0.1,0.45,0,Hades
0,0.455,0,Hades
0,0.465,0,Hades
0,0.47,0,Hades
-0.1,0.48,0,Hades
0,0.49,0,Hades
0,0.495,0,Hades
-0.1,0.5,0,Hades
-0.1,0.51,0,Hades
0.1,0.515,0,Hades
0,0.525,0,Hades
-0.2,0.535,0,Hades
