force,displacement,judge,name
0,0,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0.1,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0.1,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
-0.1,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.005,0,Haimu x Geon White
0,0.01,0,Haimu x Geon White
0,0.01,0,Haimu x Geon White
0,0.015,0,Haimu x Geon White
0,0.02,0,Haimu x Geon White
0,0.02,0,Haimu x Geon White
0,0.025,0,Haimu x Geon White
0.1,0.03,0,Haimu x Geon White
1.2,0.03,0,Haimu x Geon White
4.7,0.035,0,Haimu x Geon White
8.5,0.04,0,Haimu x Geon White
11.7,0.045,0,Haimu x Geon White
14.8,0.045,0,Haimu x Geon White
17.6,0.05,0,Haimu x Geon White
20.2,0.05,0,Haimu x Geon White
22.8,0.055,0,Haimu x Geon White
25.3,0.055,0,Haimu x Geon White
27.8,0.06,0,Haimu x Geon White
30.1,0.06,0,Haimu x Geon White
32.5,0.065,0,Haimu x Geon White
34.7,0.065,0,Haimu x Geon White
37,0.07,0,Haimu x Geon White
39.1,0.07,0,Haimu x Geon White
41.2,0.07,0,Haimu x Geon White
43.3,0.075,0,Haimu x Geon White
45.5,0.075,0,Haimu x Geon White
47.7,0.08,0,Haimu x Geon White
50,0.08,0,Haimu x Geon White
52.3,0.085,0,Haimu x Geon White
54.4,0.085,0,Haimu x Geon White
56.5,0.09,0,Haimu x Geon White
58.1,0.09,0,Haimu x Geon White
59.6,0.095,0,Haimu x Geon White
60.9,0.095,0,Haimu x Geon White
61.5,0.1,0,Haimu x Geon White
61.8,0.1,0,Haimu x Geon White
62,0.1,0,Haimu x Geon White
62.4,0.105,0,Haimu x Geon White
62.5,0.105,0,Haimu x Geon White
62.2,0.11,0,Haimu x Geon White
62.2,0.115,0,Haimu x Geon White
62,0.115,0,Haimu x Geon White
61.8,0.12,0,Haimu x Geon White
62,0.125,0,Haimu x Geon White
62.2,0.125,0,Haimu x Geon White
62.6,0.13,0,Haimu x Geon White
62.9,0.135,0,Haimu x Geon White
63.3,0.14,0,Haimu x Geon White
63.2,0.14,0,Haimu x Geon White
63.2,0.145,0,Haimu x Geon White
63.4,0.15,0,Haimu x Geon White
63.9,0.15,0,Haimu x Geon White
64,0.155,0,Haimu x Geon White
64.2,0.16,0,Haimu x Geon White
64.3,0.165,0,Haimu x Geon White
64.7,0.165,0,Haimu x Geon White
65,0.17,0,Haimu x Geon White
65.2,0.175,0,Haimu x Geon White
65.5,0.18,0,Haimu x Geon White
65.6,0.185,0,Haimu x Geon White
65.9,0.185,0,Haimu x Geon White
66.3,0.19,0,Haimu x Geon White
66.5,0.19,0,Haimu x Geon White
66.8,0.195,0,Haimu x Geon White
67,0.2,0,Haimu x Geon White
67.2,0.2,0,Haimu x Geon White
67.4,0.205,0,Haimu x Geon White
67.8,0.205,0,Haimu x Geon White
67.9,0.21,0,Haimu x Geon White
68.2,0.215,0,Haimu x Geon White
68.4,0.215,0,Haimu x Geon White
68.8,0.22,0,Haimu x Geon White
69.2,0.225,0,Haimu x Geon White
69.4,0.23,0,Haimu x Geon White
69.6,0.23,0,Haimu x Geon White
69.8,0.235,0,Haimu x Geon White
70.1,0.24,0,Haimu x Geon White
70.4,0.24,0,Haimu x Geon White
70.8,0.245,0,Haimu x Geon White
71,0.245,0,Haimu x Geon White
71.2,0.25,0,Haimu x Geon White
71.5,0.25,0,Haimu x Geon White
71.8,0.255,0,Haimu x Geon White
71.9,0.255,0,Haimu x Geon White
72.1,0.26,0,Haimu x Geon White
72.1,0.26,0,Haimu x Geon White
72.3,0.265,0,Haimu x Geon White
72.6,0.265,0,Haimu x Geon White
72.8,0.27,0,Haimu x Geon White
73.1,0.27,0,Haimu x Geon White
73.2,0.275,0,Haimu x Geon White
73.1,0.28,0,Haimu x Geon White
73,0.28,0,Haimu x Geon White
73,0.28,0,Haimu x Geon White
73,0.285,0,Haimu x Geon White
73,0.285,0,Haimu x Geon White
73,0.29,0,Haimu x Geon White
73.1,0.29,0,Haimu x Geon White
72.9,0.295,0,Haimu x Geon White
72.6,0.295,0,Haimu x Geon White
73,0.3,0,Haimu x Geon White
73.5,0.305,0,Haimu x Geon White
73.7,0.305,0,Haimu x Geon White
73.6,0.31,0,Haimu x Geon White
73.7,0.31,0,Haimu x Geon White
73.8,0.315,0,Haimu x Geon White
74,0.32,0,Haimu x Geon White
74.2,0.325,0,Haimu x Geon White
74.3,0.325,0,Haimu x Geon White
74.4,0.33,0,Haimu x Geon White
74.5,0.335,0,Haimu x Geon White
74.6,0.335,0,Haimu x Geon White
74.5,0.34,0,Haimu x Geon White
74.4,0.34,0,Haimu x Geon White
74.2,0.345,0,Haimu x Geon White
74.3,0.345,0,Haimu x Geon White
74.3,0.35,0,Haimu x Geon White
74.5,0.355,0,Haimu x Geon White
74.6,0.355,0,Haimu x Geon White
74.7,0.355,0,Haimu x Geon White
74.7,0.36,0,Haimu x Geon White
74.8,0.36,0,Haimu x Geon White
74.8,0.365,0,Haimu x Geon White
74.8,0.365,0,Haimu x Geon White
74.9,0.37,0,Haimu x Geon White
75.3,0.37,0,Haimu x Geon White
75.2,0.375,0,Haimu x Geon White
75.1,0.375,0,Haimu x Geon White
75.1,0.38,0,Haimu x Geon White
75.1,0.38,0,Haimu x Geon White
75,0.385,0,Haimu x Geon White
75,0.385,0,Haimu x Geon White
75,0.385,0,Haimu x Geon White
74.9,0.39,0,Haimu x Geon White
74.8,0.39,0,Haimu x Geon White
75,0.395,0,Haimu x Geon White
75,0.395,0,Haimu x Geon White
74.8,0.4,0,Haimu x Geon White
74.7,0.4,0,Haimu x Geon White
74.7,0.405,0,Haimu x Geon White
74.6,0.405,0,Haimu x Geon White
74.6,0.41,0,Haimu x Geon White
74.5,0.415,0,Haimu x Geon White
74.5,0.415,0,Haimu x Geon White
74.4,0.42,0,Haimu x Geon White
74.4,0.42,0,Haimu x Geon White
74.3,0.425,0,Haimu x Geon White
74.4,0.43,0,Haimu x Geon White
74.7,0.43,0,Haimu x Geon White
75,0.435,0,Haimu x Geon White
75.3,0.44,0,Haimu x Geon White
75.5,0.445,0,Haimu x Geon White
75.6,0.45,0,Haimu x Geon White
75.4,0.45,0,Haimu x Geon White
75.1,0.455,0,Haimu x Geon White
74.6,0.46,0,Haimu x Geon White
74.4,0.465,0,Haimu x Geon White
74.3,0.47,0,Haimu x Geon White
73.9,0.475,0,Haimu x Geon White
73.7,0.475,0,Haimu x Geon White
73.8,0.48,0,Haimu x Geon White
73.8,0.485,0,Haimu x Geon White
73.7,0.49,0,Haimu x Geon White
73.4,0.495,0,Haimu x Geon White
73.4,0.495,0,Haimu x Geon White
73.3,0.5,0,Haimu x Geon White
73.3,0.505,0,Haimu x Geon White
73.4,0.505,0,Haimu x Geon White
73.5,0.51,0,Haimu x Geon White
73.8,0.515,0,Haimu x Geon White
73.9,0.515,0,Haimu x Geon White
73.9,0.52,0,Haimu x Geon White
73.7,0.52,0,Haimu x Geon White
73.6,0.525,0,Haimu x Geon White
73.3,0.53,0,Haimu x Geon White
73.1,0.53,0,Haimu x Geon White
72.9,0.535,0,Haimu x Geon White
73,0.54,0,Haimu x Geon White
73.1,0.54,0,Haimu x Geon White
73.4,0.545,0,Haimu x Geon White
73.6,0.55,0,Haimu x Geon White
73.9,0.55,0,Haimu x Geon White
74,0.555,0,Haimu x Geon White
73.1,0.56,0,Haimu x Geon White
73,0.565,0,Haimu x Geon White
73.1,0.57,0,Haimu x Geon White
72.9,0.575,0,Haimu x Geon White
72.9,0.58,0,Haimu x Geon White
72.9,0.585,0,Haimu x Geon White
72.7,0.59,0,Haimu x Geon White
72.7,0.59,0,Haimu x Geon White
72.5,0.595,0,Haimu x Geon White
72.1,0.6,0,Haimu x Geon White
72,0.6,0,Haimu x Geon White
72.2,0.605,0,Haimu x Geon White
72,0.61,0,Haimu x Geon White
72,0.61,0,Haimu x Geon White
71.9,0.615,0,Haimu x Geon White
72,0.62,0,Haimu x Geon White
