force,displacement,judge,name
0,0,0,Honeycomb
0.1,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0.1,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0.1,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0,0,0,Honeycomb
0.1,0,0,Honeycomb
-0.1,0,0,Honeycomb
-0.1,0,0,Honeycomb
-0.1,0,0,Honeycomb
0,0.005,0,Honeycomb
0.1,0.005,0,Honeycomb
0,0.005,0,Honeycomb
0.3,0.005,0,Honeycomb
1.8,0.01,0,Honeycomb
4.3,0.01,0,Honeycomb
7.7,0.015,0,Honeycomb
10.4,0.02,0,Honeycomb
12.7,0.02,0,Honeycomb
14.5,0.02,0,Honeycomb
16.2,0.025,0,Honeycomb
17.8,0.025,0,Honeycomb
19.1,0.025,0,Honeycomb
20.1,0.03,0,Honeycomb
21,0.03,0,Honeycomb
22.2,0.03,0,Honeycomb
23.6,0.03,0,Honeycomb
24.7,0.03,0,Honeycomb
26.5,0.035,0,Honeycomb
28.9,0.035,0,Honeycomb
31.5,0.04,0,Honeycomb
33.6,0.04,0,Honeycomb
35,0.045,0,Honeycomb
36.3,0.045,0,Honeycomb
36.8,0.045,0,Honeycomb
37.6,0.045,0,Honeycomb
38.8,0.045,0,Honeycomb
39.8,0.045,0,Honeycomb
40.2,0.05,0,Honeycomb
40.3,0.05,0,Honeycomb
41.2,0.05,0,Honeycomb
42,0.05,0,Honeycomb
43.1,0.05,0,Honeycomb
44.2,0.05,0,Honeycomb
45,0.055,0,Honeycomb
45.8,0.055,0,Honeycomb
46.7,0.055,0,Honeycomb
47.7,0.055,0,Honeycomb
49.3,0.06,0,Honeycomb
52,0.06,0,Honeycomb
54.3,0.065,0,Honeycomb
56.9,0.065,0,Honeycomb
58.6,0.07,0,Honeycomb
60.5,0.07,0,Honeycomb
62.8,0.07,0,Honeycomb
64.4,0.075,0,Honeycomb
65.4,0.075,0,Honeycomb
65.8,0.08,0,Honeycomb
65.5,0.08,0,Honeycomb
64.7,0.08,0,Honeycomb
63.8,0.085,0,Honeycomb
63.1,0.085,0,Honeycomb
62.9,0.09,0,Honeycomb
62.6,0.09,0,Honeycomb
62.7,0.09,0,Honeycomb
62.9,0.095,0,Honeycomb
63,0.095,0,Honeycomb
62.4,0.1,0,Honeycomb
62.6,0.1,0,Honeycomb
62.9,0.105,0,Honeycomb
62.6,0.105,0,Honeycomb
62.5,0.105,0,Honeycomb
62.5,0.11,0,Honeycomb
62.8,0.11,0,Honeycomb
62.9,0.11,0,Honeycomb
63.2,0.115,0,Honeycomb
62.7,0.115,0,Honeycomb
62.4,0.12,0,Honeycomb
62.9,0.125,0,Honeycomb
62.6,0.125,0,Honeycomb
62.5,0.13,0,Honeycomb
62.9,0.13,0,Honeycomb
62.6,0.135,0,Honeycomb
62.5,0.14,0,Honeycomb
62.3,0.145,0,Honeycomb
62.1,0.15,0,Honeycomb
62.2,0.155,0,Honeycomb
61.6,0.16,0,Honeycomb
61.7,0.16,0,Honeycomb
61.6,0.165,0,Honeycomb
61.8,0.165,0,Honeycomb
61.8,0.165,0,Honeycomb
62,0.17,0,Honeycomb
62.1,0.17,0,Honeycomb
62.2,0.175,0,Honeycomb
62.1,0.175,0,Honeycomb
62.1,0.18,0,Honeycomb
62.1,0.18,0,Honeycomb
62.2,0.18,0,Honeycomb
62.1,0.185,0,Honeycomb
62.2,0.185,0,Honeycomb
61.9,0.185,0,Honeycomb
62.1,0.19,0,Honeycomb
62.6,0.19,0,Honeycomb
62.6,0.19,0,Honeycomb
62.6,0.195,0,Honeycomb
62.3,0.195,0,Honeycomb
62.8,0.195,0,Honeycomb
63.4,0.2,0,Honeycomb
63.4,0.205,0,Honeycomb
62.7,0.21,0,Honeycomb
63,0.21,0,Honeycomb
63.1,0.215,0,Honeycomb
63.2,0.22,0,Honeycomb
62.9,0.225,0,Honeycomb
63.1,0.225,0,Honeycomb
63.1,0.23,0,Honeycomb
62.6,0.23,0,Honeycomb
62.1,0.235,0,Honeycomb
62.2,0.235,0,Honeycomb
62.6,0.235,0,Honeycomb
62.8,0.235,0,Honeycomb
63,0.24,0,Honeycomb
63.1,0.24,0,Honeycomb
63.2,0.245,0,Honeycomb
63.2,0.245,0,Honeycomb
63.1,0.25,0,Honeycomb
62.7,0.25,0,Honeycomb
62.6,0.25,0,Honeycomb
62.9,0.25,0,Honeycomb
62.9,0.255,0,Honeycomb
62.9,0.255,0,Honeycomb
62.8,0.255,0,Honeycomb
63.2,0.26,0,Honeycomb
63.2,0.26,0,Honeycomb
63.6,0.26,0,Honeycomb
63.8,0.265,0,Honeycomb
63.7,0.265,0,Honeycomb
63.8,0.27,0,Honeycomb
64,0.275,0,Honeycomb
63.8,0.28,0,Honeycomb
63.4,0.285,0,Honeycomb
63.4,0.285,0,Honeycomb
63.5,0.29,0,Honeycomb
63.5,0.29,0,Honeycomb
63.8,0.295,0,Honeycomb
64,0.295,0,Honeycomb
64,0.3,0,Honeycomb
64.2,0.305,0,Honeycomb
64.1,0.31,0,Honeycomb
64,0.315,0,Honeycomb
64.1,0.32,0,Honeycomb
63.9,0.32,0,Honeycomb
63.7,0.325,0,Honeycomb
63.8,0.33,0,Honeycomb
64,0.33,0,Honeycomb
64.2,0.335,0,Honeycomb
64.3,0.34,0,Honeycomb
63.5,0.345,0,Honeycomb
62.8,0.345,0,Honeycomb
63.4,0.345,0,Honeycomb
64,0.35,0,Honeycomb
64,0.355,0,Honeycomb
64.1,0.355,0,Honeycomb
64.3,0.36,0,Honeycomb
64.3,0.365,0,Honeycomb
64.1,0.37,0,Honeycomb
64,0.375,0,Honeycomb
64,0.38,0,Honeycomb
64.2,0.38,0,Honeycomb
64.3,0.385,0,Honeycomb
63.8,0.385,0,Honeycomb
63.8,0.39,0,Honeycomb
63.8,0.39,0,Honeycomb
63.6,0.39,0,Honeycomb
63.6,0.395,0,Honeycomb
63.5,0.395,0,Honeycomb
63.6,0.395,0,Honeycomb
63.7,0.395,0,Honeycomb
64.1,0.4,0,Honeycomb
64.5,0.4,0,Honeycomb
64.7,0.405,0,Honeycomb
64.6,0.405,0,Honeycomb
65.1,0.41,0,Honeycomb
64.7,0.415,0,Honeycomb
64.6,0.42,0,Honeycomb
64.5,0.42,0,Honeycomb
64.6,0.425,0,Honeycomb
64.6,0.425,0,Honeycomb
64.3,0.43,0,Honeycomb
64.2,0.43,0,Honeycomb
64.3,0.435,0,Honeycomb
64.4,0.435,0,Honeycomb
64.4,0.44,0,Honeycomb
64.5,0.44,0,Honeycomb
64.5,0.445,0,Honeycomb
64.5,0.445,0,Honeycomb
64.5,0.45,0,Honeycomb
64.6,0.45,0,Honeycomb
64.5,0.455,0,Honeycomb
64.4,0.46,0,Honeycomb
64.5,0.465,0,Honeycomb
64.5,0.465,0,Honeycomb
64.4,0.47,0,Honeycomb
64.2,0.475,0,Honeycomb
64.3,0.475,0,Honeycomb
64.6,0.48,0,Honeycomb
64.7,0.485,0,Honeycomb
64.6,0.485,0,Honeycomb
64.5,0.49,0,Honeycomb
64.5,0.495,0,Honeycomb
64.1,0.495,0,Honeycomb
64.2,0.5,0,Honeycomb
64.3,0.5,0,Honeycomb
64.3,0.5,0,Honeycomb
64.1,0.505,0,Honeycomb
64.9,0.505,0,Honeycomb
65,0.51,0,Honeycomb
64.8,0.515,0,Honeycomb
64.5,0.52,0,Honeycomb
64,0.52,0,Honeycomb
64,0.525,0,Honeycomb
64.2,0.525,0,Honeycomb
64.1,0.53,0,Honeycomb
