force,displacement,judge,name
-0.1,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
-0.3,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
-0.1,0.005,0,Hoshizora
0,0.005,0,Hoshizora
0.1,0.01,0,Hoshizora
0,0.01,0,Hoshizora
0,0.01,0,Hoshizora
0,0.015,0,Hoshizora
-0.1,0.015,0,Hoshizora
-0.1,0.02,0,Hoshizora
-0.1,0.025,0,Hoshizora
0.1,0.025,0,Hoshizora
0,0.035,0,Hoshizora
-0.1,0.04,0,Hoshizora
0,0.045,0,Hoshizora
0,0.05,0,Hoshizora
-0.2,0.055,0,Hoshizora
-0.1,0.06,0,Hoshizora
0,0.065,0,Hoshizora
0,0.07,0,Hoshizora
1.9,0.075,0,Hoshizora
4.3,0.075,0,Hoshizora
8,0.08,0,Hoshizora
11.9,0.085,0,Hoshizora
15.2,0.09,0,Hoshizora
19.5,0.095,0,Hoshizora
23.2,0.095,0,Hoshizora
25.4,0.1,0,Hoshizora
26.6,0.1,0,Hoshizora
28.2,0.1,0,Hoshizora
30.2,0.105,0,Hoshizora
32.9,0.105,0,Hoshizora
35.1,0.11,0,Hoshizora
36.9,0.11,0,Hoshizora
38.7,0.115,0,Hoshizora
39.5,0.115,0,Hoshizora
40.2,0.12,0,Hoshizora
41.2,0.12,0,Hoshizora
41.9,0.12,0,Hoshizora
42.3,0.125,0,Hoshizora
43,0.125,0,Hoshizora
44,0.125,0,Hoshizora
44.6,0.13,0,Hoshizora
44.9,0.13,0,Hoshizora
44.9,0.135,0,Hoshizora
45.1,0.135,0,Hoshizora
45.2,0.135,0,Hoshizora
45.3,0.14,0,Hoshizora
45.3,0.14,0,Hoshizora
45.2,0.14,0,Hoshizora
45.3,0.145,0,Hoshizora
45.3,0.145,0,Hoshizora
45.2,0.15,0,Hoshizora
45.2,0.15,0,Hoshizora
45.1,0.155,0,Hoshizora
44.9,0.16,0,Hoshizora
44.8,0.16,0,Hoshizora
44.8,0.165,0,Hoshizora
44.8,0.165,0,Hoshizora
44.8,0.17,0,Hoshizora
44.7,0.175,0,Hoshizora
44.7,0.175,0,Hoshizora
44.8,0.175,0,Hoshizora
44.8,0.18,0,Hoshizora
44.8,0.18,0,Hoshizora
44.8,0.185,0,Hoshizora
