force,displacement,judge,name
-0.1,0,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0.1,0,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
-0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
-0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
-0.2,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
-0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
-0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0.1,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
0.2,0.005,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
1.6,0.01,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
3,0.01,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
4.4,0.01,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
6.1,0.015,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
7.8,0.015,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
9.3,0.015,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
10.7,0.02,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
12.2,0.02,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
14,0.02,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
15.7,0.025,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
16.9,0.025,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
18.5,0.025,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
19.9,0.025,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
21.4,0.03,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
22.7,0.03,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
23.9,0.03,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
24.9,0.03,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
26.1,0.035,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
27.1,0.035,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
27.9,0.035,0,Huano Dustproof Purple_Hot Pink (Grey Bottom)
