force,displacement,judge,name
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
-0.1,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
-0.1,0,0,Huano Earth Yellow
-0.1,0,0,Huano Earth Yellow
0.1,0,0,Huano Earth Yellow
-0.1,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0,0,Huano Earth Yellow
0,0.005,0,Huano Earth Yellow
-0.1,0.005,0,Huano Earth Yellow
0,0.005,0,Huano Earth Yellow
0,0.005,0,Huano Earth Yellow
0.1,0.01,0,Huano Earth Yellow
0,0.01,0,Huano Earth Yellow
0,0.01,0,Huano Earth Yellow
0.1,0.015,0,Huano Earth Yellow
0.5,0.015,0,Huano Earth Yellow
2.3,0.02,0,Huano Earth Yellow
4.3,0.02,0,Huano Earth Yellow
6.1,0.025,0,Huano Earth Yellow
7.4,0.025,0,Huano Earth Yellow
8.8,0.025,0,Huano Earth Yellow
9.8,0.025,0,Huano Earth Yellow
10.5,0.03,0,Huano Earth Yellow
11.2,0.03,0,Huano Earth Yellow
12.5,0.03,0,Huano Earth Yellow
14.6,0.035,0,Huano Earth Yellow
15.5,0.035,0,Huano Earth Yellow
16.3,0.035,0,Huano Earth Yellow
16.8,0.035,0,Huano Earth Yellow
17.5,0.035,0,Huano Earth Yellow
18.5,0.04,0,Huano Earth Yellow
19.7,0.04,0,Huano Earth Yellow
22.2,0.04,0,Huano Earth Yellow
24.9,0.045,0,Huano Earth Yellow
26.9,0.045,0,Huano Earth Yellow
27.5,0.045,0,Huano Earth Yellow
29.1,0.05,0,Huano Earth Yellow
30.9,0.05,0,Huano Earth Yellow
32.2,0.055,0,Huano Earth Yellow
33,0.055,0,Huano Earth Yellow
33.7,0.055,0,Huano Earth Yellow
35.7,0.055,0,Huano Earth Yellow
37.5,0.06,0,Huano Earth Yellow
39.5,0.06,0,Huano Earth Yellow
40.8,0.065,0,Huano Earth Yellow
41.2,0.065,0,Huano Earth Yellow
41.4,0.065,0,Huano Earth Yellow
41.4,0.065,0,Huano Earth Yellow
41.9,0.07,0,Huano Earth Yellow
41.7,0.075,0,Huano Earth Yellow
41.6,0.075,0,Huano Earth Yellow
41.6,0.08,0,Huano Earth Yellow
41.7,0.08,0,Huano Earth Yellow
41.7,0.08,0,Huano Earth Yellow
41.7,0.085,0,Huano Earth Yellow
41.5,0.085,0,Huano Earth Yellow
41.5,0.085,0,Huano Earth Yellow
41.6,0.09,0,Huano Earth Yellow
41.7,0.09,0,Huano Earth Yellow
41.6,0.09,0,Huano Earth Yellow
41.6,0.095,0,Huano Earth Yellow
41.5,0.095,0,Huano Earth Yellow
41.3,0.095,0,Huano Earth Yellow
41.4,0.1,0,Huano Earth Yellow
41.7,0.1,0,Huano Earth Yellow
41.3,0.105,0,Huano Earth Yellow
41.4,0.105,0,Huano Earth Yellow
41.3,0.11,0,Huano Earth Yellow
41.2,0.11,0,Huano Earth Yellow
41.1,0.115,0,Huano Earth Yellow
41.2,0.115,0,Huano Earth Yellow
41.3,0.12,0,Huano Earth Yellow
41.2,0.12,0,Huano Earth Yellow
41.1,0.125,0,Huano Earth Yellow
41,0.125,0,Huano Earth Yellow
41,0.13,0,Huano Earth Yellow
40.9,0.13,0,Huano Earth Yellow
40.8,0.135,0,Huano Earth Yellow
40.8,0.14,0,Huano Earth Yellow
40.8,0.14,0,Huano Earth Yellow
40.9,0.145,0,Huano Earth Yellow
40.8,0.145,0,Huano Earth Yellow
40.9,0.15,0,Huano Earth Yellow
40.7,0.155,0,Huano Earth Yellow
40.7,0.16,0,Huano Earth Yellow
40.6,0.165,0,Huano Earth Yellow
40.4,0.165,0,Huano Earth Yellow
40.4,0.17,0,Huano Earth Yellow
40.3,0.175,0,Huano Earth Yellow
40.2,0.175,0,Huano Earth Yellow
40.2,0.18,0,Huano Earth Yellow
40,0.18,0,Huano Earth Yellow
40,0.185,0,Huano Earth Yellow
40.1,0.185,0,Huano Earth Yellow
40.3,0.185,0,Huano Earth Yellow
40.1,0.19,0,Huano Earth Yellow
40.2,0.19,0,Huano Earth Yellow
40.2,0.195,0,Huano Earth Yellow
40.2,0.2,0,Huano Earth Yellow
40.2,0.205,0,Huano Earth Yellow
40.3,0.205,0,Huano Earth Yellow
40.3,0.21,0,Huano Earth Yellow
40.3,0.215,0,Huano Earth Yellow
40.4,0.22,0,Huano Earth Yellow
40.4,0.225,0,Huano Earth Yellow
40.4,0.23,0,Huano Earth Yellow
40.4,0.235,0,Huano Earth Yellow
40.3,0.235,0,Huano Earth Yellow
40.4,0.24,0,Huano Earth Yellow
40.3,0.245,0,Huano Earth Yellow
40.5,0.25,0,Huano Earth Yellow
40.5,0.255,0,Huano Earth Yellow
40.5,0.26,0,Huano Earth Yellow
40.6,0.265,0,Huano Earth Yellow
40.6,0.27,0,Huano Earth Yellow
40.6,0.275,0,Huano Earth Yellow
40.7,0.285,0,Huano Earth Yellow
