force,displacement,judge,name
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0.1,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
-0.1,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0,0,Huano Fi - 51000 Actuations
0,0.005,0,Huano Fi - 51000 Actuations
0,0.005,0,Huano Fi - 51000 Actuations
0,0.005,0,Huano Fi - 51000 Actuations
0,0.005,0,Huano Fi - 51000 Actuations
0,0.005,0,Huano Fi - 51000 Actuations
0,0.01,0,Huano Fi - 51000 Actuations
0,0.01,0,Huano Fi - 51000 Actuations
0,0.015,0,Huano Fi - 51000 Actuations
0,0.02,0,Huano Fi - 51000 Actuations
0,0.02,0,Huano Fi - 51000 Actuations
0,0.025,0,Huano Fi - 51000 Actuations
0,0.025,0,Huano Fi - 51000 Actuations
0,0.03,0,Huano Fi - 51000 Actuations
0,0.035,0,Huano Fi - 51000 Actuations
0,0.035,0,Huano Fi - 51000 Actuations
0,0.04,0,Huano Fi - 51000 Actuations
0,0.045,0,Huano Fi - 51000 Actuations
0,0.045,0,Huano Fi - 51000 Actuations
0,0.045,0,Huano Fi - 51000 Actuations
0,0.05,0,Huano Fi - 51000 Actuations
0,0.05,0,Huano Fi - 51000 Actuations
0,0.055,0,Huano Fi - 51000 Actuations
0,0.055,0,Huano Fi - 51000 Actuations
0,0.06,0,Huano Fi - 51000 Actuations
0,0.06,0,Huano Fi - 51000 Actuations
0,0.065,0,Huano Fi - 51000 Actuations
0,0.07,0,Huano Fi - 51000 Actuations
0,0.07,0,Huano Fi - 51000 Actuations
0,0.075,0,Huano Fi - 51000 Actuations
0,0.08,0,Huano Fi - 51000 Actuations
0,0.08,0,Huano Fi - 51000 Actuations
0,0.085,0,Huano Fi - 51000 Actuations
0,0.09,0,Huano Fi - 51000 Actuations
0,0.095,0,Huano Fi - 51000 Actuations
0,0.095,0,Huano Fi - 51000 Actuations
0,0.1,0,Huano Fi - 51000 Actuations
0,0.105,0,Huano Fi - 51000 Actuations
0,0.11,0,Huano Fi - 51000 Actuations
0,0.115,0,Huano Fi - 51000 Actuations
0,0.12,0,Huano Fi - 51000 Actuations
0,0.125,0,Huano Fi - 51000 Actuations
0,0.13,0,Huano Fi - 51000 Actuations
0,0.135,0,Huano Fi - 51000 Actuations
0,0.145,0,Huano Fi - 51000 Actuations
0,0.145,0,Huano Fi - 51000 Actuations
2,0.15,0,Huano Fi - 51000 Actuations
6,0.155,0,Huano Fi - 51000 Actuations
9.9,0.16,0,Huano Fi - 51000 Actuations
13.1,0.165,0,Huano Fi - 51000 Actuations
15.9,0.165,0,Huano Fi - 51000 Actuations
18.6,0.17,0,Huano Fi - 51000 Actuations
20.9,0.17,0,Huano Fi - 51000 Actuations
23,0.175,0,Huano Fi - 51000 Actuations
25,0.175,0,Huano Fi - 51000 Actuations
27,0.18,0,Huano Fi - 51000 Actuations
29,0.18,0,Huano Fi - 51000 Actuations
31.1,0.185,0,Huano Fi - 51000 Actuations
32.9,0.185,0,Huano Fi - 51000 Actuations
