force,displacement,judge,name
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
-0.1,0,0,Huano Fi 2
-0.1,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0,0,Huano Fi 2
-0.1,0,0,Huano Fi 2
-0.1,0,0,Huano Fi 2
0,0,0,Huano Fi 2
0,0.005,0,Huano Fi 2
0.1,0.005,0,Huano Fi 2
0.1,0.005,0,Huano Fi 2
0,0.005,0,Huano Fi 2
0,0.005,0,Huano Fi 2
0,0.005,0,Huano Fi 2
0,0.005,0,Huano Fi 2
0,0.01,0,Huano Fi 2
0,0.01,0,Huano Fi 2
0,0.01,0,Huano Fi 2
0,0.015,0,Huano Fi 2
0,0.015,0,Huano Fi 2
0,0.015,0,Huano Fi 2
0,0.015,0,Huano Fi 2
0,0.02,0,Huano Fi 2
0,0.02,0,Huano Fi 2
0,0.02,0,Huano Fi 2
0,0.025,0,Huano Fi 2
0,0.025,0,Huano Fi 2
0,0.03,0,Huano Fi 2
0,0.035,0,Huano Fi 2
0,0.035,0,Huano Fi 2
0,0.04,0,Huano Fi 2
0,0.04,0,Huano Fi 2
0,0.045,0,Huano Fi 2
0,0.05,0,Huano Fi 2
0,0.05,0,Huano Fi 2
0,0.05,0,Huano Fi 2
0,0.055,0,Huano Fi 2
0,0.055,0,Huano Fi 2
0,0.06,0,Huano Fi 2
0,0.06,0,Huano Fi 2
0,0.065,0,Huano Fi 2
0,0.07,0,Huano Fi 2
0,0.08,0,Huano Fi 2
0,0.085,0,Huano Fi 2
0,0.085,0,Huano Fi 2
0,0.09,0,Huano Fi 2
0,0.09,0,Huano Fi 2
0,0.09,0,Huano Fi 2
0,0.095,0,Huano Fi 2
0.1,0.1,0,Huano Fi 2
0,0.1,0,Huano Fi 2
0.1,0.105,0,Huano Fi 2
0.1,0.11,0,Huano Fi 2
1.7,0.115,0,Huano Fi 2
4.8,0.115,0,Huano Fi 2
6.9,0.12,0,Huano Fi 2
8.7,0.12,0,Huano Fi 2
10.5,0.125,0,Huano Fi 2
12.5,0.125,0,Huano Fi 2
14,0.125,0,Huano Fi 2
15,0.125,0,Huano Fi 2
17,0.13,0,Huano Fi 2
18.6,0.13,0,Huano Fi 2
21.1,0.135,0,Huano Fi 2
24.3,0.135,0,Huano Fi 2
27.3,0.14,0,Huano Fi 2
30,0.145,0,Huano Fi 2
31.8,0.145,0,Huano Fi 2
33.6,0.15,0,Huano Fi 2
34.4,0.15,0,Huano Fi 2
35.3,0.15,0,Huano Fi 2
36.1,0.155,0,Huano Fi 2
36.9,0.155,0,Huano Fi 2
37.5,0.155,0,Huano Fi 2
38.2,0.155,0,Huano Fi 2
38.8,0.155,0,Huano Fi 2
39.1,0.16,0,Huano Fi 2
39,0.16,0,Huano Fi 2
39.2,0.16,0,Huano Fi 2
39.3,0.16,0,Huano Fi 2
39.4,0.16,0,Huano Fi 2
39.6,0.16,0,Huano Fi 2
40.2,0.16,0,Huano Fi 2
39.4,0.165,0,Huano Fi 2
38.8,0.17,0,Huano Fi 2
38.7,0.17,0,Huano Fi 2
38.6,0.175,0,Huano Fi 2
38.6,0.18,0,Huano Fi 2
38.5,0.18,0,Huano Fi 2
38.4,0.185,0,Huano Fi 2
38.8,0.185,0,Huano Fi 2
38.6,0.19,0,Huano Fi 2
38.7,0.19,0,Huano Fi 2
38.8,0.195,0,Huano Fi 2
38.4,0.195,0,Huano Fi 2
38.8,0.2,0,Huano Fi 2
38.5,0.205,0,Huano Fi 2
38.7,0.205,0,Huano Fi 2
38.7,0.21,0,Huano Fi 2
38.5,0.21,0,Huano Fi 2
38.4,0.21,0,Huano Fi 2
38.4,0.21,0,Huano Fi 2
38.4,0.215,0,Huano Fi 2
38.4,0.215,0,Huano Fi 2
38.6,0.215,0,Huano Fi 2
38.6,0.22,0,Huano Fi 2
38.4,0.22,0,Huano Fi 2
38.3,0.225,0,Huano Fi 2
38.3,0.23,0,Huano Fi 2
38.5,0.235,0,Huano Fi 2
38.3,0.235,0,Huano Fi 2
38.3,0.24,0,Huano Fi 2
38.4,0.245,0,Huano Fi 2
38.3,0.245,0,Huano Fi 2
38.4,0.25,0,Huano Fi 2
38.4,0.25,0,Huano Fi 2
38.5,0.255,0,Huano Fi 2
38.4,0.26,0,Huano Fi 2
38.3,0.26,0,Huano Fi 2
38.6,0.265,0,Huano Fi 2
38.2,0.27,0,Huano Fi 2
38.4,0.275,0,Huano Fi 2
38.4,0.28,0,Huano Fi 2
38.5,0.28,0,Huano Fi 2
38.5,0.28,0,Huano Fi 2
38.5,0.285,0,Huano Fi 2
38.4,0.285,0,Huano Fi 2
38.4,0.29,0,Huano Fi 2
38.6,0.29,0,Huano Fi 2
38.5,0.295,0,Huano Fi 2
38.4,0.295,0,Huano Fi 2
38.4,0.3,0,Huano Fi 2
38.5,0.305,0,Huano Fi 2
38.5,0.305,0,Huano Fi 2
38.3,0.31,0,Huano Fi 2
38.3,0.31,0,Huano Fi 2
38.4,0.315,0,Huano Fi 2
38.3,0.32,0,Huano Fi 2
38.2,0.32,0,Huano Fi 2
38.2,0.325,0,Huano Fi 2
38.5,0.325,0,Huano Fi 2
38.4,0.33,0,Huano Fi 2
38.4,0.335,0,Huano Fi 2
38.3,0.335,0,Huano Fi 2
38.2,0.34,0,Huano Fi 2
38.1,0.34,0,Huano Fi 2
38.3,0.345,0,Huano Fi 2
38.2,0.345,0,Huano Fi 2
38.3,0.35,0,Huano Fi 2
38.1,0.355,0,Huano Fi 2
38,0.355,0,Huano Fi 2
38,0.36,0,Huano Fi 2
38.1,0.36,0,Huano Fi 2
38.3,0.365,0,Huano Fi 2
38.3,0.365,0,Huano Fi 2
38.2,0.37,0,Huano Fi 2
38.2,0.37,0,Huano Fi 2
38.5,0.375,0,Huano Fi 2
38.1,0.38,0,Huano Fi 2
38.1,0.385,0,Huano Fi 2
38,0.385,0,Huano Fi 2
38,0.39,0,Huano Fi 2
38,0.395,0,Huano Fi 2
38,0.395,0,Huano Fi 2
38.1,0.4,0,Huano Fi 2
38.2,0.4,0,Huano Fi 2
38.2,0.405,0,Huano Fi 2
38.2,0.405,0,Huano Fi 2
38.2,0.41,0,Huano Fi 2
38.2,0.41,0,Huano Fi 2
38.2,0.415,0,Huano Fi 2
38.1,0.415,0,Huano Fi 2
38.2,0.42,0,Huano Fi 2
38.1,0.42,0,Huano Fi 2
38.1,0.425,0,Huano Fi 2
38.1,0.425,0,Huano Fi 2
38.1,0.43,0,Huano Fi 2
38.2,0.435,0,Huano Fi 2
38.1,0.435,0,Huano Fi 2
38,0.44,0,Huano Fi 2
38.1,0.44,0,Huano Fi 2
38.1,0.445,0,Huano Fi 2
38.2,0.445,0,Huano Fi 2
38,0.45,0,Huano Fi 2
37.8,0.455,0,Huano Fi 2
37.8,0.46,0,Huano Fi 2
38,0.46,0,Huano Fi 2
38.1,0.465,0,Huano Fi 2
38,0.47,0,Huano Fi 2
37.9,0.47,0,Huano Fi 2
37.9,0.475,0,Huano Fi 2
37.8,0.48,0,Huano Fi 2
37.9,0.48,0,Huano Fi 2
38,0.485,0,Huano Fi 2
37.9,0.49,0,Huano Fi 2
37.8,0.495,0,Huano Fi 2
