force,displacement,judge,name
-0.1,0,0,Huano Hot Pink
0.1,0,0,Huano Hot Pink
0.1,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0.1,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0.1,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0.1,0,0,Huano Hot Pink
0.1,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0,0,Huano Hot Pink
0,0.005,0,Huano Hot Pink
0,0.015,0,Huano Hot Pink
0,0.03,0,Huano Hot Pink
0,0.045,0,Huano Hot Pink
0,0.055,0,Huano Hot Pink
7.8,0.065,0,Huano Hot Pink
15.6,0.075,0,Huano Hot Pink
23.5,0.08,0,Huano Hot Pink
29.8,0.085,0,Huano Hot Pink
34.3,0.09,0,Huano Hot Pink
38.2,0.095,0,Huano Hot Pink
40,0.1,0,Huano Hot Pink
41.3,0.105,0,Huano Hot Pink
41.8,0.11,0,Huano Hot Pink
41.8,0.115,0,Huano Hot Pink
41.8,0.12,0,Huano Hot Pink
41.8,0.125,0,Huano Hot Pink
42,0.13,0,Huano Hot Pink
42,0.135,0,Huano Hot Pink
42.1,0.14,0,Huano Hot Pink
42,0.145,0,Huano Hot Pink
42.1,0.15,0,Huano Hot Pink
42.2,0.155,0,Huano Hot Pink
42.2,0.165,0,Huano Hot Pink
42.3,0.175,0,Huano Hot Pink
42.4,0.18,0,Huano Hot Pink
42.4,0.19,0,Huano Hot Pink
42.5,0.195,0,Huano Hot Pink
42.5,0.2,0,Huano Hot Pink
42.5,0.21,0,Huano Hot Pink
42.6,0.215,0,Huano Hot Pink
42.7,0.22,0,Huano Hot Pink
42.8,0.23,0,Huano Hot Pink
42.9,0.235,0,Huano Hot Pink
43,0.24,0,Huano Hot Pink
43,0.245,0,Huano Hot Pink
43,0.25,0,Huano Hot Pink
42.9,0.26,0,Huano Hot Pink
43.1,0.27,0,Huano Hot Pink
43.2,0.28,0,Huano Hot Pink
43.2,0.285,0,Huano Hot Pink
43.3,0.295,0,Huano Hot Pink
43.4,0.305,0,Huano Hot Pink
43.5,0.31,0,Huano Hot Pink
43.6,0.315,0,Huano Hot Pink
43.7,0.32,0,Huano Hot Pink
43.7,0.33,0,Huano Hot Pink
43.7,0.335,0,Huano Hot Pink
43.6,0.345,0,Huano Hot Pink
43.7,0.35,0,Huano Hot Pink
43.8,0.36,0,Huano Hot Pink
43.8,0.37,0,Huano Hot Pink
43.9,0.375,0,Huano Hot Pink
44,0.38,0,Huano Hot Pink
44,0.385,0,Huano Hot Pink
44.1,0.395,0,Huano Hot Pink
44,0.4,0,Huano Hot Pink
44,0.405,0,Huano Hot Pink
44,0.41,0,Huano Hot Pink
44,0.415,0,Huano Hot Pink
44.1,0.42,0,Huano Hot Pink
44.1,0.425,0,Huano Hot Pink
44.3,0.425,0,Huano Hot Pink
44.4,0.43,0,Huano Hot Pink
44.4,0.435,0,Huano Hot Pink
44.4,0.435,0,Huano Hot Pink
44.5,0.44,0,Huano Hot Pink
44.5,0.44,0,Huano Hot Pink
44.5,0.445,0,Huano Hot Pink
44.4,0.445,0,Huano Hot Pink
44.5,0.45,0,Huano Hot Pink
44.4,0.455,0,Huano Hot Pink
44.6,0.455,0,Huano Hot Pink
44.6,0.465,0,Huano Hot Pink
44.7,0.47,0,Huano Hot Pink
44.8,0.475,0,Huano Hot Pink
44.8,0.48,0,Huano Hot Pink
44.8,0.485,0,Huano Hot Pink
45,0.495,0,Huano Hot Pink
45.1,0.5,0,Huano Hot Pink
45,0.505,0,Huano Hot Pink
45.1,0.51,0,Huano Hot Pink
45,0.515,0,Huano Hot Pink
45,0.525,0,Huano Hot Pink
45.2,0.535,0,Huano Hot Pink
45.2,0.54,0,Huano Hot Pink
45.3,0.55,0,Huano Hot Pink
45.4,0.555,0,Huano Hot Pink
45.5,0.56,0,Huano Hot Pink
45.5,0.565,0,Huano Hot Pink
45.6,0.57,0,Huano Hot Pink
45.7,0.575,0,Huano Hot Pink
45.7,0.58,0,Huano Hot Pink
45.7,0.59,0,Huano Hot Pink
45.8,0.6,0,Huano Hot Pink
45.8,0.605,0,Huano Hot Pink
45.9,0.615,0,Huano Hot Pink
45.9,0.62,0,Huano Hot Pink
46,0.625,0,Huano Hot Pink
46.2,0.63,0,Huano Hot Pink
46.3,0.635,0,Huano Hot Pink
46.2,0.64,0,Huano Hot Pink
46.2,0.645,0,Huano Hot Pink
46.1,0.65,0,Huano Hot Pink
46.1,0.655,0,Huano Hot Pink
46.1,0.66,0,Huano Hot Pink
46.1,0.66,0,Huano Hot Pink
46.2,0.665,0,Huano Hot Pink
46.2,0.67,0,Huano Hot Pink
46.3,0.67,0,Huano Hot Pink
46.4,0.675,0,Huano Hot Pink
46.5,0.68,0,Huano Hot Pink
46.6,0.685,0,Huano Hot Pink
46.6,0.69,0,Huano Hot Pink
46.6,0.69,0,Huano Hot Pink
46.7,0.695,0,Huano Hot Pink
46.7,0.7,0,Huano Hot Pink
46.8,0.705,0,Huano Hot Pink
46.7,0.705,0,Huano Hot Pink
46.7,0.71,0,Huano Hot Pink
46.8,0.715,0,Huano Hot Pink
46.9,0.72,0,Huano Hot Pink
47,0.72,0,Huano Hot Pink
47,0.725,0,Huano Hot Pink
47.1,0.73,0,Huano Hot Pink
47,0.735,0,Huano Hot Pink
47,0.74,0,Huano Hot Pink
47.1,0.74,0,Huano Hot Pink
47.2,0.745,0,Huano Hot Pink
47.3,0.75,0,Huano Hot Pink
47.2,0.755,0,Huano Hot Pink
47.2,0.76,0,Huano Hot Pink
47.2,0.765,0,Huano Hot Pink
47.3,0.77,0,Huano Hot Pink
47.3,0.775,0,Huano Hot Pink
47.4,0.78,0,Huano Hot Pink
47.4,0.785,0,Huano Hot Pink
47.4,0.79,0,Huano Hot Pink
47.4,0.795,0,Huano Hot Pink
47.5,0.8,0,Huano Hot Pink
47.6,0.8,0,Huano Hot Pink
47.7,0.805,0,Huano Hot Pink
47.8,0.81,0,Huano Hot Pink
47.8,0.81,0,Huano Hot Pink
47.7,0.815,0,Huano Hot Pink
47.9,0.82,0,Huano Hot Pink
48,0.825,0,Huano Hot Pink
48.2,0.83,0,Huano Hot Pink
48.1,0.83,0,Huano Hot Pink
48.1,0.835,0,Huano Hot Pink
48.1,0.84,0,Huano Hot Pink
48.2,0.845,0,Huano Hot Pink
48.3,0.85,0,Huano Hot Pink
48.2,0.855,0,Huano Hot Pink
48.4,0.86,0,Huano Hot Pink
48.4,0.865,0,Huano Hot Pink
48.7,0.87,0,Huano Hot Pink
48.6,0.875,0,Huano Hot Pink
48.7,0.88,0,Huano Hot Pink
48.7,0.885,0,Huano Hot Pink
48.9,0.89,0,Huano Hot Pink
48.9,0.89,0,Huano Hot Pink
48.8,0.895,0,Huano Hot Pink
48.8,0.9,0,Huano Hot Pink
48.8,0.905,0,Huano Hot Pink
48.9,0.91,0,Huano Hot Pink
48.9,0.915,0,Huano Hot Pink
49.1,0.915,0,Huano Hot Pink
49.2,0.92,0,Huano Hot Pink
49.3,0.92,0,Huano Hot Pink
49.1,0.925,0,Huano Hot Pink
49.1,0.935,0,Huano Hot Pink
49.2,0.935,0,Huano Hot Pink
49.3,0.94,0,Huano Hot Pink
49.2,0.945,0,Huano Hot Pink
49.2,0.945,0,Huano Hot Pink
49.3,0.95,0,Huano Hot Pink
49.4,0.955,0,Huano Hot Pink
49.3,0.96,0,Huano Hot Pink
49.4,0.965,0,Huano Hot Pink
49.3,0.975,0,Huano Hot Pink
49.4,0.98,0,Huano Hot Pink
49.5,0.99,0,Huano Hot Pink
49.5,0.995,0,Huano Hot Pink
49.6,1.005,0,Huano Hot Pink
49.6,1.01,0,Huano Hot Pink
49.6,1.02,0,Huano Hot Pink
49.7,1.025,0,Huano Hot Pink
49.7,1.03,0,Huano Hot Pink
49.8,1.035,0,Huano Hot Pink
49.9,1.045,0,Huano Hot Pink
50,1.055,0,Huano Hot Pink
50,1.065,0,Huano Hot Pink
50,1.07,0,Huano Hot Pink
50,1.075,0,Huano Hot Pink
50.6,1.08,0,Huano Hot Pink
52.7,1.095,0,Huano Hot Pink
53.1,1.11,0,Huano Hot Pink
53.4,1.115,0,Huano Hot Pink
53.4,1.125,0,Huano Hot Pink
53.5,1.13,0,Huano Hot Pink
53.8,1.14,0,Huano Hot Pink
54,1.15,0,Huano Hot Pink
54.3,1.155,0,Huano Hot Pink
54.8,1.165,0,Huano Hot Pink
55.5,1.17,0,Huano Hot Pink
55.7,1.175,0,Huano Hot Pink
55.8,1.18,0,Huano Hot Pink
55.8,1.185,0,Huano Hot Pink
55.5,1.19,0,Huano Hot Pink
55.5,1.195,0,Huano Hot Pink
55.5,1.2,0,Huano Hot Pink
55.4,1.205,0,Huano Hot Pink
55.4,1.21,0,Huano Hot Pink
55.6,1.215,0,Huano Hot Pink
55.7,1.22,0,Huano Hot Pink
55.9,1.225,0,Huano Hot Pink
56,1.23,0,Huano Hot Pink
56,1.235,0,Huano Hot Pink
56.1,1.235,0,Huano Hot Pink
54.7,1.24,0,Huano Hot Pink
55.6,1.245,0,Huano Hot Pink
56.3,1.25,0,Huano Hot Pink
56.5,1.255,0,Huano Hot Pink
56.6,1.255,0,Huano Hot Pink
56.5,1.26,0,Huano Hot Pink
56.5,1.265,0,Huano Hot Pink
55.9,1.27,0,Huano Hot Pink
56.2,1.27,0,Huano Hot Pink
56.7,1.275,0,Huano Hot Pink
57.4,1.28,0,Huano Hot Pink
57.4,1.285,0,Huano Hot Pink
57.5,1.29,0,Huano Hot Pink
57.6,1.295,0,Huano Hot Pink
57.9,1.3,0,Huano Hot Pink
58.1,1.305,0,Huano Hot Pink
58.3,1.305,0,Huano Hot Pink
58.6,1.315,0,Huano Hot Pink
58.7,1.315,0,Huano Hot Pink
58.8,1.32,0,Huano Hot Pink
58.9,1.325,0,Huano Hot Pink
59.1,1.325,0,Huano Hot Pink
59.3,1.33,0,Huano Hot Pink
59.4,1.335,0,Huano Hot Pink
59.4,1.34,0,Huano Hot Pink
59.4,1.345,0,Huano Hot Pink
59.2,1.35,0,Huano Hot Pink
59.3,1.35,0,Huano Hot Pink
59.2,1.355,0,Huano Hot Pink
59.2,1.36,0,Huano Hot Pink
59.3,1.36,0,Huano Hot Pink
59.5,1.365,0,Huano Hot Pink
59.6,1.37,0,Huano Hot Pink
59.8,1.37,0,Huano Hot Pink
59.9,1.375,0,Huano Hot Pink
60.1,1.375,0,Huano Hot Pink
60.2,1.38,0,Huano Hot Pink
60.3,1.385,0,Huano Hot Pink
60.5,1.39,0,Huano Hot Pink
60.7,1.395,0,Huano Hot Pink
60.7,1.4,0,Huano Hot Pink
60.9,1.405,0,Huano Hot Pink
61.1,1.41,0,Huano Hot Pink
61,1.415,0,Huano Hot Pink
61.1,1.42,0,Huano Hot Pink
61.3,1.425,0,Huano Hot Pink
61.5,1.435,0,Huano Hot Pink
61.3,1.435,0,Huano Hot Pink
61.6,1.44,0,Huano Hot Pink
61.8,1.445,0,Huano Hot Pink
62,1.45,0,Huano Hot Pink
62,1.455,0,Huano Hot Pink
62,1.46,0,Huano Hot Pink
61.9,1.465,0,Huano Hot Pink
62,1.47,0,Huano Hot Pink
62,1.475,0,Huano Hot Pink
61.9,1.48,0,Huano Hot Pink
61.8,1.48,0,Huano Hot Pink
61.7,1.485,0,Huano Hot Pink
61.6,1.49,0,Huano Hot Pink
61.6,1.495,0,Huano Hot Pink
61.6,1.5,0,Huano Hot Pink
61.7,1.5,0,Huano Hot Pink
61.7,1.51,0,Huano Hot Pink
61.4,1.515,0,Huano Hot Pink
61.2,1.515,0,Huano Hot Pink
61.1,1.52,0,Huano Hot Pink
61.3,1.52,0,Huano Hot Pink
61.2,1.525,0,Huano Hot Pink
61.1,1.53,0,Huano Hot Pink
61,1.535,0,Huano Hot Pink
61,1.535,0,Huano Hot Pink
60.7,1.54,0,Huano Hot Pink
60.6,1.545,0,Huano Hot Pink
60.5,1.545,0,Huano Hot Pink
