force,displacement,judge,name
0,0,0,Huano Pandora
0.1,0,0,Huano Pandora
0,0,0,Huano Pandora
-0.1,0,0,Huano Pandora
0,0,0,Huano Pandora
0,0,0,Huano Pandora
0,0,0,Huano Pandora
0.1,0,0,Huano Pandora
0,0,0,Huano Pandora
0,0,0,Huano Pandora
0.1,0,0,Huano Pandora
0,0,0,Huano Pandora
0.1,0,0,Huano Pandora
0,0,0,Huano Pandora
0,0,0,Huano Pandora
-0.1,0.005,0,Huano Pandora
-0.1,0.005,0,Huano Pandora
-0.1,0.005,0,Huano Pandora
0,0.01,0,Huano Pandora
0,0.015,0,Huano Pandora
0.3,0.02,0,Huano Pandora
6.6,0.025,0,Huano Pandora
11.8,0.03,0,Huano Pandora
15.3,0.035,0,Huano Pandora
18.2,0.04,0,Huano Pandora
21.1,0.04,0,Huano Pandora
25.5,0.045,0,Huano Pandora
29.1,0.05,0,Huano Pandora
32.4,0.055,0,Huano Pandora
32.7,0.06,0,Huano Pandora
32.9,0.065,0,Huano Pandora
34,0.07,0,Huano Pandora
34.8,0.08,0,Huano Pandora
35.6,0.09,0,Huano Pandora
36.1,0.09,0,Huano Pandora
36.1,0.095,0,Huano Pandora
36,0.095,0,Huano Pandora
36,0.1,0,Huano Pandora
36.1,0.1,0,Huano Pandora
36.2,0.1,0,Huano Pandora
36,0.1,0,Huano Pandora
36.3,0.105,0,Huano Pandora
36.4,0.105,0,Huano Pandora
36.5,0.105,0,Huano Pandora
36.5,0.11,0,Huano Pandora
36.7,0.11,0,Huano Pandora
36.7,0.115,0,Huano Pandora
36.5,0.12,0,Huano Pandora
36.2,0.13,0,Huano Pandora
36.3,0.135,0,Huano Pandora
36.2,0.14,0,Huano Pandora
36.4,0.145,0,Huano Pandora
36.4,0.155,0,Huano Pandora
36,0.16,0,Huano Pandora
36.3,0.16,0,Huano Pandora
36.2,0.165,0,Huano Pandora
36,0.17,0,Huano Pandora
36.1,0.17,0,Huano Pandora
36,0.175,0,Huano Pandora
35.9,0.18,0,Huano Pandora
35.9,0.18,0,Huano Pandora
35.9,0.185,0,Huano Pandora
35.8,0.185,0,Huano Pandora
35.8,0.19,0,Huano Pandora
35.8,0.19,0,Huano Pandora
35.8,0.195,0,Huano Pandora
35.7,0.195,0,Huano Pandora
35.8,0.2,0,Huano Pandora
35.9,0.205,0,Huano Pandora
35.7,0.205,0,Huano Pandora
35.9,0.21,0,Huano Pandora
35.8,0.21,0,Huano Pandora
35.8,0.215,0,Huano Pandora
35.8,0.215,0,Huano Pandora
35.5,0.22,0,Huano Pandora
35.5,0.22,0,Huano Pandora
35.4,0.22,0,Huano Pandora
35.5,0.22,0,Huano Pandora
35.5,0.225,0,Huano Pandora
35.4,0.225,0,Huano Pandora
35.3,0.225,0,Huano Pandora
35.3,0.225,0,Huano Pandora
35.4,0.225,0,Huano Pandora
35.5,0.23,0,Huano Pandora
35.5,0.23,0,Huano Pandora
35.6,0.235,0,Huano Pandora
35.7,0.235,0,Huano Pandora
35.7,0.24,0,Huano Pandora
35.5,0.24,0,Huano Pandora
35.6,0.245,0,Huano Pandora
35.5,0.245,0,Huano Pandora
35.4,0.25,0,Huano Pandora
35.4,0.25,0,Huano Pandora
35.5,0.25,0,Huano Pandora
35.5,0.255,0,Huano Pandora
35.6,0.255,0,Huano Pandora
35.6,0.255,0,Huano Pandora
35.8,0.255,0,Huano Pandora
35.9,0.26,0,Huano Pandora
35.9,0.26,0,Huano Pandora
35.8,0.265,0,Huano Pandora
35.7,0.265,0,Huano Pandora
35.6,0.265,0,Huano Pandora
35.6,0.27,0,Huano Pandora
35.6,0.27,0,Huano Pandora
35.8,0.27,0,Huano Pandora
35.8,0.275,0,Huano Pandora
35.8,0.275,0,Huano Pandora
35.8,0.275,0,Huano Pandora
35.9,0.28,0,Huano Pandora
35.9,0.28,0,Huano Pandora
36,0.285,0,Huano Pandora
35.9,0.285,0,Huano Pandora
35.8,0.285,0,Huano Pandora
35.9,0.29,0,Huano Pandora
36,0.29,0,Huano Pandora
36.1,0.295,0,Huano Pandora
36,0.295,0,Huano Pandora
36,0.295,0,Huano Pandora
35.9,0.3,0,Huano Pandora
36,0.3,0,Huano Pandora
36,0.305,0,Huano Pandora
35.9,0.305,0,Huano Pandora
36,0.305,0,Huano Pandora
36.1,0.31,0,Huano Pandora
36.1,0.31,0,Huano Pandora
36.1,0.31,0,Huano Pandora
36.1,0.315,0,Huano Pandora
36.1,0.315,0,Huano Pandora
36.1,0.315,0,Huano Pandora
36.1,0.32,0,Huano Pandora
36.2,0.32,0,Huano Pandora
36.2,0.325,0,Huano Pandora
36.3,0.325,0,Huano Pandora
36.3,0.33,0,Huano Pandora
36.2,0.335,0,Huano Pandora
36.2,0.335,0,Huano Pandora
36.2,0.34,0,Huano Pandora
36.2,0.345,0,Huano Pandora
36.2,0.345,0,Huano Pandora
36.3,0.35,0,Huano Pandora
36.3,0.35,0,Huano Pandora
36.3,0.355,0,Huano Pandora
36.3,0.36,0,Huano Pandora
36.3,0.36,0,Huano Pandora
36.3,0.365,0,Huano Pandora
36.3,0.37,0,Huano Pandora
36.3,0.375,0,Huano Pandora
36.3,0.375,0,Huano Pandora
36.2,0.38,0,Huano Pandora
36.1,0.385,0,Huano Pandora
36.1,0.385,0,Huano Pandora
36.1,0.385,0,Huano Pandora
36.1,0.39,0,Huano Pandora
36.2,0.39,0,Huano Pandora
36.1,0.39,0,Huano Pandora
36.1,0.395,0,Huano Pandora
36,0.395,0,Huano Pandora
36.1,0.395,0,Huano Pandora
36.3,0.4,0,Huano Pandora
36.2,0.4,0,Huano Pandora
36.2,0.4,0,Huano Pandora
36.3,0.405,0,Huano Pandora
