force,displacement,judge,name
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0,0,Huano Pineapple 17000 Actuations
0,0.005,0,Huano Pineapple 17000 Actuations
0,0.005,0,Huano Pineapple 17000 Actuations
0,0.005,0,Huano Pineapple 17000 Actuations
0,0.01,0,Huano Pineapple 17000 Actuations
0,0.01,0,Huano Pineapple 17000 Actuations
0,0.015,0,Huano Pineapple 17000 Actuations
0,0.015,0,Huano Pineapple 17000 Actuations
0,0.02,0,Huano Pineapple 17000 Actuations
0,0.025,0,Huano Pineapple 17000 Actuations
0,0.025,0,Huano Pineapple 17000 Actuations
0,0.03,0,Huano Pineapple 17000 Actuations
1.9,0.03,0,Huano Pineapple 17000 Actuations
4.4,0.03,0,Huano Pineapple 17000 Actuations
6.6,0.035,0,Huano Pineapple 17000 Actuations
8.5,0.035,0,Huano Pineapple 17000 Actuations
10.4,0.04,0,Huano Pineapple 17000 Actuations
12,0.04,0,Huano Pineapple 17000 Actuations
13.7,0.04,0,Huano Pineapple 17000 Actuations
15.4,0.045,0,Huano Pineapple 17000 Actuations
17.1,0.045,0,Huano Pineapple 17000 Actuations
18.9,0.05,0,Huano Pineapple 17000 Actuations
20.5,0.05,0,Huano Pineapple 17000 Actuations
22.1,0.05,0,Huano Pineapple 17000 Actuations
23.4,0.055,0,Huano Pineapple 17000 Actuations
24.4,0.055,0,Huano Pineapple 17000 Actuations
25.3,0.055,0,Huano Pineapple 17000 Actuations
26.2,0.06,0,Huano Pineapple 17000 Actuations
27,0.06,0,Huano Pineapple 17000 Actuations
28.2,0.065,0,Huano Pineapple 17000 Actuations
29.6,0.065,0,Huano Pineapple 17000 Actuations
30.3,0.07,0,Huano Pineapple 17000 Actuations
30.7,0.07,0,Huano Pineapple 17000 Actuations
30.8,0.075,0,Huano Pineapple 17000 Actuations
30.6,0.075,0,Huano Pineapple 17000 Actuations
30.6,0.075,0,Huano Pineapple 17000 Actuations
30.7,0.08,0,Huano Pineapple 17000 Actuations
30.7,0.085,0,Huano Pineapple 17000 Actuations
30.7,0.085,0,Huano Pineapple 17000 Actuations
30.6,0.09,0,Huano Pineapple 17000 Actuations
30.7,0.09,0,Huano Pineapple 17000 Actuations
30.7,0.095,0,Huano Pineapple 17000 Actuations
30.6,0.095,0,Huano Pineapple 17000 Actuations
30.7,0.1,0,Huano Pineapple 17000 Actuations
30.6,0.1,0,Huano Pineapple 17000 Actuations
30.6,0.105,0,Huano Pineapple 17000 Actuations
30.5,0.11,0,Huano Pineapple 17000 Actuations
30.5,0.11,0,Huano Pineapple 17000 Actuations
30.5,0.115,0,Huano Pineapple 17000 Actuations
30.5,0.12,0,Huano Pineapple 17000 Actuations
30.4,0.125,0,Huano Pineapple 17000 Actuations
30.3,0.125,0,Huano Pineapple 17000 Actuations
30.2,0.13,0,Huano Pineapple 17000 Actuations
30.2,0.135,0,Huano Pineapple 17000 Actuations
30.1,0.14,0,Huano Pineapple 17000 Actuations
30,0.14,0,Huano Pineapple 17000 Actuations
30,0.145,0,Huano Pineapple 17000 Actuations
30,0.15,0,Huano Pineapple 17000 Actuations
29.9,0.15,0,Huano Pineapple 17000 Actuations
29.9,0.155,0,Huano Pineapple 17000 Actuations
29.8,0.16,0,Huano Pineapple 17000 Actuations
29.8,0.16,0,Huano Pineapple 17000 Actuations
29.7,0.165,0,Huano Pineapple 17000 Actuations
29.7,0.165,0,Huano Pineapple 17000 Actuations
29.7,0.17,0,Huano Pineapple 17000 Actuations
29.7,0.17,0,Huano Pineapple 17000 Actuations
29.6,0.175,0,Huano Pineapple 17000 Actuations
29.6,0.18,0,Huano Pineapple 17000 Actuations
29.6,0.18,0,Huano Pineapple 17000 Actuations
29.6,0.185,0,Huano Pineapple 17000 Actuations
29.6,0.185,0,Huano Pineapple 17000 Actuations
29.6,0.19,0,Huano Pineapple 17000 Actuations
29.6,0.195,0,Huano Pineapple 17000 Actuations
29.6,0.195,0,Huano Pineapple 17000 Actuations
29.6,0.2,0,Huano Pineapple 17000 Actuations
29.6,0.2,0,Huano Pineapple 17000 Actuations
29.6,0.205,0,Huano Pineapple 17000 Actuations
29.6,0.21,0,Huano Pineapple 17000 Actuations
29.6,0.21,0,Huano Pineapple 17000 Actuations
29.8,0.215,0,Huano Pineapple 17000 Actuations
29.8,0.22,0,Huano Pineapple 17000 Actuations
29.8,0.225,0,Huano Pineapple 17000 Actuations
29.8,0.23,0,Huano Pineapple 17000 Actuations
29.8,0.235,0,Huano Pineapple 17000 Actuations
29.8,0.245,0,Huano Pineapple 17000 Actuations
