force,displacement,judge,name
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0,0,Huano Pineapple 3
0,0.005,0,Huano Pineapple 3
0,0.005,0,Huano Pineapple 3
0,0.005,0,Huano Pineapple 3
0,0.005,0,Huano Pineapple 3
0,0.01,0,Huano Pineapple 3
0,0.01,0,Huano Pineapple 3
0.4,0.015,0,Huano Pineapple 3
2.9,0.02,0,Huano Pineapple 3
5.3,0.02,0,Huano Pineapple 3
7.4,0.025,0,Huano Pineapple 3
9.4,0.025,0,Huano Pineapple 3
11.2,0.025,0,Huano Pineapple 3
13.7,0.03,0,Huano Pineapple 3
15.5,0.03,0,Huano Pineapple 3
16.8,0.035,0,Huano Pineapple 3
19.8,0.035,0,Huano Pineapple 3
23.1,0.04,0,Huano Pineapple 3
27.6,0.045,0,Huano Pineapple 3
26.9,0.05,0,Huano Pineapple 3
28.1,0.055,0,Huano Pineapple 3
28.5,0.055,0,Huano Pineapple 3
28.5,0.055,0,Huano Pineapple 3
28.7,0.055,0,Huano Pineapple 3
29.3,0.055,0,Huano Pineapple 3
29.6,0.06,0,Huano Pineapple 3
30.5,0.06,0,Huano Pineapple 3
30.5,0.065,0,Huano Pineapple 3
31.1,0.07,0,Huano Pineapple 3
31,0.07,0,Huano Pineapple 3
31.4,0.07,0,Huano Pineapple 3
32,0.075,0,Huano Pineapple 3
31.5,0.08,0,Huano Pineapple 3
31.5,0.085,0,Huano Pineapple 3
31.4,0.09,0,Huano Pineapple 3
31.5,0.095,0,Huano Pineapple 3
31.3,0.105,0,Huano Pineapple 3
31.3,0.11,0,Huano Pineapple 3
31.4,0.115,0,Huano Pineapple 3
31.4,0.12,0,Huano Pineapple 3
31.4,0.125,0,Huano Pineapple 3
31.4,0.125,0,Huano Pineapple 3
31.5,0.13,0,Huano Pineapple 3
31.4,0.13,0,Huano Pineapple 3
31.3,0.135,0,Huano Pineapple 3
31.2,0.145,0,Huano Pineapple 3
31.1,0.15,0,Huano Pineapple 3
31.2,0.155,0,Huano Pineapple 3
31.1,0.165,0,Huano Pineapple 3
31.1,0.17,0,Huano Pineapple 3
31,0.175,0,Huano Pineapple 3
30.9,0.18,0,Huano Pineapple 3
30.9,0.185,0,Huano Pineapple 3
30.9,0.185,0,Huano Pineapple 3
30.8,0.19,0,Huano Pineapple 3
30.8,0.19,0,Huano Pineapple 3
30.9,0.195,0,Huano Pineapple 3
