force,displacement,judge,name
0,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
-0.1,0,0,Huano Pink
0,0,0,Huano Pink
-0.1,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
0.1,0,0,Huano Pink
0,0,0,Huano Pink
-0.1,0,0,Huano Pink
0,0,0,Huano Pink
-0.2,0,0,Huano Pink
-0.1,0,0,Huano Pink
0,0,0,Huano Pink
0,0,0,Huano Pink
-0.1,0,0,Huano Pink
0,0,0,Huano Pink
0,0.005,0,Huano Pink
-0.1,0.005,0,Huano Pink
0,0.01,0,Huano Pink
0.1,0.01,0,Huano Pink
0,0.01,0,Huano Pink
0,0.015,0,Huano Pink
0,0.02,0,Huano Pink
0,0.025,0,Huano Pink
0,0.03,0,Huano Pink
0,0.035,0,Huano Pink
0,0.04,0,Huano Pink
-0.1,0.045,0,Huano Pink
-0.1,0.05,0,Huano Pink
-0.1,0.055,0,Huano Pink
0,0.06,0,Huano Pink
0,0.065,0,Huano Pink
0,0.07,0,Huano Pink
-0.1,0.075,0,Huano Pink
0,0.08,0,Huano Pink
0.1,0.09,0,Huano Pink
0,0.095,0,Huano Pink
0.1,0.1,0,Huano Pink
3.8,0.105,0,Huano Pink
8.3,0.105,0,Huano Pink
12.5,0.11,0,Huano Pink
16.1,0.115,0,Huano Pink
18.9,0.12,0,Huano Pink
22.1,0.12,0,Huano Pink
26.3,0.125,0,Huano Pink
30.1,0.13,0,Huano Pink
32.8,0.135,0,Huano Pink
35,0.135,0,Huano Pink
36.9,0.14,0,Huano Pink
37.4,0.14,0,Huano Pink
37.7,0.14,0,Huano Pink
38.2,0.145,0,Huano Pink
37.2,0.15,0,Huano Pink
36.8,0.155,0,Huano Pink
36.6,0.155,0,Huano Pink
36.4,0.16,0,Huano Pink
36.3,0.16,0,Huano Pink
36.2,0.165,0,Huano Pink
36.1,0.165,0,Huano Pink
36.1,0.17,0,Huano Pink
36.1,0.175,0,Huano Pink
36.1,0.175,0,Huano Pink
36.1,0.18,0,Huano Pink
36.2,0.185,0,Huano Pink
36.2,0.19,0,Huano Pink
36.1,0.195,0,Huano Pink
36.1,0.2,0,Huano Pink
36.1,0.205,0,Huano Pink
36,0.21,0,Huano Pink
36,0.215,0,Huano Pink
36,0.22,0,Huano Pink
36,0.225,0,Huano Pink
36.1,0.225,0,Huano Pink
36.2,0.23,0,Huano Pink
36.3,0.235,0,Huano Pink
36.2,0.235,0,Huano Pink
36.2,0.24,0,Huano Pink
36.3,0.24,0,Huano Pink
36.4,0.245,0,Huano Pink
36.5,0.25,0,Huano Pink
36.5,0.255,0,Huano Pink
36.6,0.255,0,Huano Pink
36.6,0.26,0,Huano Pink
36.6,0.26,0,Huano Pink
36.9,0.265,0,Huano Pink
36.7,0.275,0,Huano Pink
36.6,0.28,0,Huano Pink
36.5,0.285,0,Huano Pink
36.5,0.29,0,Huano Pink
36.4,0.295,0,Huano Pink
36.4,0.295,0,Huano Pink
36.4,0.3,0,Huano Pink
36.4,0.305,0,Huano Pink
36.5,0.31,0,Huano Pink
36.6,0.31,0,Huano Pink
36.6,0.315,0,Huano Pink
36.5,0.32,0,Huano Pink
36.6,0.32,0,Huano Pink
36.6,0.325,0,Huano Pink
36.6,0.33,0,Huano Pink
36.6,0.33,0,Huano Pink
36.7,0.335,0,Huano Pink
36.8,0.335,0,Huano Pink
36.7,0.34,0,Huano Pink
36.5,0.34,0,Huano Pink
