force,displacement,judge,name
0,0,0,Huano Red_Orange
0.1,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
-0.1,0,0,Huano Red_Orange
-0.1,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0.1,0,0,Huano Red_Orange
-0.1,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
-0.1,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0,0,Huano Red_Orange
0,0.005,0,Huano Red_Orange
0,0.005,0,Huano Red_Orange
0,0.015,0,Huano Red_Orange
0,0.02,0,Huano Red_Orange
-0.1,0.03,0,Huano Red_Orange
0,0.035,0,Huano Red_Orange
0.1,0.04,0,Huano Red_Orange
0,0.045,0,Huano Red_Orange
0,0.055,0,Huano Red_Orange
0,0.06,0,Huano Red_Orange
0,0.065,0,Huano Red_Orange
1.8,0.07,0,Huano Red_Orange
5.1,0.075,0,Huano Red_Orange
8.3,0.075,0,Huano Red_Orange
11,0.08,0,Huano Red_Orange
13.8,0.085,0,Huano Red_Orange
16.8,0.085,0,Huano Red_Orange
19.6,0.09,0,Huano Red_Orange
22.1,0.09,0,Huano Red_Orange
24.5,0.095,0,Huano Red_Orange
27.3,0.095,0,Huano Red_Orange
30.2,0.1,0,Huano Red_Orange
32.4,0.1,0,Huano Red_Orange
33.1,0.105,0,Huano Red_Orange
33.8,0.105,0,Huano Red_Orange
34.6,0.105,0,Huano Red_Orange
35.5,0.11,0,Huano Red_Orange
36.4,0.11,0,Huano Red_Orange
37.2,0.11,0,Huano Red_Orange
37.7,0.115,0,Huano Red_Orange
38.1,0.115,0,Huano Red_Orange
39,0.115,0,Huano Red_Orange
39.8,0.12,0,Huano Red_Orange
40.7,0.125,0,Huano Red_Orange
40.6,0.125,0,Huano Red_Orange
40.8,0.13,0,Huano Red_Orange
40.7,0.135,0,Huano Red_Orange
40.8,0.135,0,Huano Red_Orange
40.8,0.14,0,Huano Red_Orange
40.7,0.145,0,Huano Red_Orange
40.6,0.15,0,Huano Red_Orange
40.6,0.15,0,Huano Red_Orange
40.6,0.155,0,Huano Red_Orange
40.5,0.155,0,Huano Red_Orange
40.4,0.16,0,Huano Red_Orange
40.5,0.16,0,Huano Red_Orange
40.5,0.165,0,Huano Red_Orange
40.3,0.17,0,Huano Red_Orange
40.2,0.17,0,Huano Red_Orange
40.3,0.175,0,Huano Red_Orange
40.3,0.175,0,Huano Red_Orange
40.1,0.175,0,Huano Red_Orange
40.2,0.18,0,Huano Red_Orange
40.3,0.18,0,Huano Red_Orange
40.2,0.185,0,Huano Red_Orange
40.2,0.185,0,Huano Red_Orange
40,0.185,0,Huano Red_Orange
39.9,0.19,0,Huano Red_Orange
40.1,0.19,0,Huano Red_Orange
40.2,0.195,0,Huano Red_Orange
40.3,0.195,0,Huano Red_Orange
40.3,0.2,0,Huano Red_Orange
40.2,0.205,0,Huano Red_Orange
40,0.21,0,Huano Red_Orange
39.9,0.215,0,Huano Red_Orange
40,0.215,0,Huano Red_Orange
40,0.22,0,Huano Red_Orange
40,0.225,0,Huano Red_Orange
40,0.225,0,Huano Red_Orange
40,0.23,0,Huano Red_Orange
40,0.23,0,Huano Red_Orange
40,0.235,0,Huano Red_Orange
40,0.235,0,Huano Red_Orange
40.2,0.24,0,Huano Red_Orange
40.4,0.245,0,Huano Red_Orange
40.3,0.245,0,Huano Red_Orange
40.3,0.25,0,Huano Red_Orange
40.3,0.255,0,Huano Red_Orange
40.4,0.26,0,Huano Red_Orange
40.3,0.265,0,Huano Red_Orange
40.3,0.27,0,Huano Red_Orange
40.3,0.275,0,Huano Red_Orange
40.3,0.28,0,Huano Red_Orange
40.3,0.28,0,Huano Red_Orange
40.2,0.29,0,Huano Red_Orange
40.3,0.295,0,Huano Red_Orange
40.3,0.295,0,Huano Red_Orange
40.4,0.3,0,Huano Red_Orange
40.4,0.305,0,Huano Red_Orange
40.3,0.31,0,Huano Red_Orange
40.3,0.315,0,Huano Red_Orange
40.3,0.32,0,Huano Red_Orange
40.3,0.32,0,Huano Red_Orange
40.4,0.325,0,Huano Red_Orange
40.4,0.325,0,Huano Red_Orange
40.4,0.33,0,Huano Red_Orange
40.4,0.335,0,Huano Red_Orange
40.2,0.335,0,Huano Red_Orange
40.3,0.34,0,Huano Red_Orange
40.3,0.34,0,Huano Red_Orange
40.4,0.345,0,Huano Red_Orange
40.4,0.35,0,Huano Red_Orange
40.4,0.35,0,Huano Red_Orange
40.5,0.355,0,Huano Red_Orange
40.5,0.36,0,Huano Red_Orange
40.5,0.36,0,Huano Red_Orange
40.5,0.365,0,Huano Red_Orange
40.5,0.365,0,Huano Red_Orange
40.5,0.37,0,Huano Red_Orange
40.5,0.37,0,Huano Red_Orange
