force,displacement,judge,name
0.1,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0,0,Huano Turquoise
-0.1,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0.1,0,0,Huano Turquoise
0.1,0,0,Huano Turquoise
0.1,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0.1,0,0,Huano Turquoise
0,0,0,Huano Turquoise
0,0.005,0,Huano Turquoise
0,0.005,0,Huano Turquoise
0,0.005,0,Huano Turquoise
0,0.005,0,Huano Turquoise
0,0.005,0,Huano Turquoise
-0.1,0.01,0,Huano Turquoise
0,0.01,0,Huano Turquoise
0,0.01,0,Huano Turquoise
0,0.01,0,Huano Turquoise
0.2,0.015,0,Huano Turquoise
0,0.015,0,Huano Turquoise
-0.1,0.02,0,Huano Turquoise
0.4,0.02,0,Huano Turquoise
1.6,0.025,0,Huano Turquoise
2.8,0.025,0,Huano Turquoise
4,0.025,0,Huano Turquoise
4.9,0.025,0,Huano Turquoise
6,0.03,0,Huano Turquoise
7.1,0.03,0,Huano Turquoise
8.3,0.03,0,Huano Turquoise
9.6,0.03,0,Huano Turquoise
10.9,0.035,0,Huano Turquoise
11.9,0.035,0,Huano Turquoise
13,0.035,0,Huano Turquoise
14,0.035,0,Huano Turquoise
14.9,0.04,0,Huano Turquoise
16.3,0.04,0,Huano Turquoise
16.8,0.04,0,Huano Turquoise
17.5,0.04,0,Huano Turquoise
18.4,0.04,0,Huano Turquoise
19,0.045,0,Huano Turquoise
19.5,0.045,0,Huano Turquoise
20.1,0.045,0,Huano Turquoise
20.8,0.045,0,Huano Turquoise
21.4,0.045,0,Huano Turquoise
22,0.045,0,Huano Turquoise
22.8,0.05,0,Huano Turquoise
23.6,0.05,0,Huano Turquoise
24.6,0.05,0,Huano Turquoise
25.3,0.055,0,Huano Turquoise
25.6,0.055,0,Huano Turquoise
25.7,0.055,0,Huano Turquoise
25.8,0.06,0,Huano Turquoise
25.9,0.06,0,Huano Turquoise
25.7,0.06,0,Huano Turquoise
25.5,0.065,0,Huano Turquoise
25.7,0.065,0,Huano Turquoise
25.6,0.065,0,Huano Turquoise
25.3,0.07,0,Huano Turquoise
25.4,0.07,0,Huano Turquoise
25.3,0.075,0,Huano Turquoise
25.3,0.08,0,Huano Turquoise
25.2,0.08,0,Huano Turquoise
