force,displacement,judge,name
0,0,0,HyperX Red
0,0,0,HyperX Red
0.1,0,0,HyperX Red
-0.1,0,0,HyperX Red
0,0,0,HyperX Red
0,0,0,HyperX Red
0,0,0,HyperX Red
-3.8,0,0,HyperX Red
-0.9,0,0,HyperX Red
0.4,0,0,HyperX Red
0.4,0,0,HyperX Red
0,0,0,HyperX Red
-0.1,0,0,HyperX Red
0.1,0,0,HyperX Red
0.1,0,0,HyperX Red
0,0,0,HyperX Red
-0.1,0,0,HyperX Red
0,0,0,HyperX Red
-0.1,0,0,HyperX Red
0,0,0,HyperX Red
0,0,0,HyperX Red
0,0,0,HyperX Red
-0.1,0,0,HyperX Red
-0.1,0,0,HyperX Red
0,0,0,HyperX Red
0.1,0.005,0,HyperX Red
0,0.005,0,HyperX Red
0,0.005,0,HyperX Red
0,0.005,0,HyperX Red
0,0.01,0,HyperX Red
1.2,0.01,0,HyperX Red
4.1,0.015,0,HyperX Red
7.4,0.015,0,HyperX Red
10.5,0.02,0,HyperX Red
13.3,0.02,0,HyperX Red
16,0.025,0,HyperX Red
18.8,0.03,0,HyperX Red
21.6,0.03,0,HyperX Red
24,0.035,0,HyperX Red
26,0.035,0,HyperX Red
28,0.04,0,HyperX Red
29.4,0.04,0,HyperX Red
29.7,0.045,0,HyperX Red
30.1,0.045,0,HyperX Red
30.7,0.05,0,HyperX Red
31.1,0.05,0,HyperX Red
31.8,0.055,0,HyperX Red
32.5,0.06,0,HyperX Red
33,0.065,0,HyperX Red
33.6,0.065,0,HyperX Red
34.1,0.07,0,HyperX Red
34.4,0.075,0,HyperX Red
34.4,0.08,0,HyperX Red
34,0.08,0,HyperX Red
33.9,0.085,0,HyperX Red
33.9,0.09,0,HyperX Red
33.8,0.09,0,HyperX Red
33.8,0.095,0,HyperX Red
33.8,0.095,0,HyperX Red
33.8,0.1,0,HyperX Red
33.6,0.1,0,HyperX Red
33.6,0.105,0,HyperX Red
33.6,0.11,0,HyperX Red
33.5,0.11,0,HyperX Red
33.4,0.115,0,HyperX Red
33.2,0.115,0,HyperX Red
33.2,0.115,0,HyperX Red
33.3,0.12,0,HyperX Red
33.2,0.125,0,HyperX Red
33,0.125,0,HyperX Red
