force,displacement,judge,name
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0.1,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0.1,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0.1,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0.1,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0,0,Invokeys Blueberry Chiffon Prototype R2
0,0.005,0,Invokeys Blueberry Chiffon Prototype R2
0,0.005,0,Invokeys Blueberry Chiffon Prototype R2
-0.1,0.005,0,Invokeys Blueberry Chiffon Prototype R2
0,0.005,0,Invokeys Blueberry Chiffon Prototype R2
0,0.005,0,Invokeys Blueberry Chiffon Prototype R2
0,0.01,0,Invokeys Blueberry Chiffon Prototype R2
1.8,0.015,0,Invokeys Blueberry Chiffon Prototype R2
4.8,0.015,0,Invokeys Blueberry Chiffon Prototype R2
7.4,0.02,0,Invokeys Blueberry Chiffon Prototype R2
9.9,0.025,0,Invokeys Blueberry Chiffon Prototype R2
12.2,0.025,0,Invokeys Blueberry Chiffon Prototype R2
14.5,0.03,0,Invokeys Blueberry Chiffon Prototype R2
16.6,0.03,0,Invokeys Blueberry Chiffon Prototype R2
18.6,0.03,0,Invokeys Blueberry Chiffon Prototype R2
20.2,0.035,0,Invokeys Blueberry Chiffon Prototype R2
21.2,0.035,0,Invokeys Blueberry Chiffon Prototype R2
23,0.035,0,Invokeys Blueberry Chiffon Prototype R2
25,0.04,0,Invokeys Blueberry Chiffon Prototype R2
26.4,0.04,0,Invokeys Blueberry Chiffon Prototype R2
27.5,0.04,0,Invokeys Blueberry Chiffon Prototype R2
28.3,0.045,0,Invokeys Blueberry Chiffon Prototype R2
29.6,0.045,0,Invokeys Blueberry Chiffon Prototype R2
30.9,0.045,0,Invokeys Blueberry Chiffon Prototype R2
32.2,0.045,0,Invokeys Blueberry Chiffon Prototype R2
33.7,0.05,0,Invokeys Blueberry Chiffon Prototype R2
34.7,0.05,0,Invokeys Blueberry Chiffon Prototype R2
33.9,0.05,0,Invokeys Blueberry Chiffon Prototype R2
34.3,0.055,0,Invokeys Blueberry Chiffon Prototype R2
34.7,0.055,0,Invokeys Blueberry Chiffon Prototype R2
35,0.055,0,Invokeys Blueberry Chiffon Prototype R2
35.2,0.06,0,Invokeys Blueberry Chiffon Prototype R2
35.7,0.06,0,Invokeys Blueberry Chiffon Prototype R2
36,0.06,0,Invokeys Blueberry Chiffon Prototype R2
36.2,0.065,0,Invokeys Blueberry Chiffon Prototype R2
36.2,0.065,0,Invokeys Blueberry Chiffon Prototype R2
36.1,0.07,0,Invokeys Blueberry Chiffon Prototype R2
35.9,0.07,0,Invokeys Blueberry Chiffon Prototype R2
35.7,0.075,0,Invokeys Blueberry Chiffon Prototype R2
