force,displacement,judge,name
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0,0,Invokeys Red Bean
0,0.005,0,Invokeys Red Bean
0,0.005,0,Invokeys Red Bean
0,0.005,0,Invokeys Red Bean
0,0.01,0,Invokeys Red Bean
0,0.01,0,Invokeys Red Bean
0,0.015,0,Invokeys Red Bean
0,0.015,0,Invokeys Red Bean
0,0.02,0,Invokeys Red Bean
0,0.02,0,Invokeys Red Bean
0,0.025,0,Invokeys Red Bean
0,0.025,0,Invokeys Red Bean
0,0.03,0,Invokeys Red Bean
0,0.03,0,Invokeys Red Bean
0,0.035,0,Invokeys Red Bean
0,0.035,0,Invokeys Red Bean
0,0.035,0,Invokeys Red Bean
0,0.04,0,Invokeys Red Bean
0.2,0.04,0,Invokeys Red Bean
0.4,0.045,0,Invokeys Red Bean
1.5,0.05,0,Invokeys Red Bean
3.2,0.05,0,Invokeys Red Bean
4.9,0.055,0,Invokeys Red Bean
7,0.055,0,Invokeys Red Bean
9,0.06,0,Invokeys Red Bean
10.4,0.06,0,Invokeys Red Bean
12.1,0.06,0,Invokeys Red Bean
13.6,0.065,0,Invokeys Red Bean
16.1,0.065,0,Invokeys Red Bean
18.2,0.07,0,Invokeys Red Bean
19.7,0.07,0,Invokeys Red Bean
21.2,0.07,0,Invokeys Red Bean
22.9,0.075,0,Invokeys Red Bean
25.7,0.075,0,Invokeys Red Bean
28.1,0.08,0,Invokeys Red Bean
30.5,0.085,0,Invokeys Red Bean
32.6,0.085,0,Invokeys Red Bean
35.5,0.09,0,Invokeys Red Bean
38.1,0.09,0,Invokeys Red Bean
40.2,0.095,0,Invokeys Red Bean
41.7,0.095,0,Invokeys Red Bean
42.3,0.1,0,Invokeys Red Bean
42.4,0.1,0,Invokeys Red Bean
42.7,0.1,0,Invokeys Red Bean
43,0.1,0,Invokeys Red Bean
43,0.105,0,Invokeys Red Bean
42.5,0.105,0,Invokeys Red Bean
42.5,0.105,0,Invokeys Red Bean
42.5,0.105,0,Invokeys Red Bean
42.5,0.105,0,Invokeys Red Bean
42.4,0.105,0,Invokeys Red Bean
42.4,0.11,0,Invokeys Red Bean
42.4,0.11,0,Invokeys Red Bean
42.3,0.11,0,Invokeys Red Bean
42.3,0.115,0,Invokeys Red Bean
42.1,0.115,0,Invokeys Red Bean
42.2,0.115,0,Invokeys Red Bean
42.2,0.115,0,Invokeys Red Bean
42.3,0.12,0,Invokeys Red Bean
42.1,0.12,0,Invokeys Red Bean
42.1,0.125,0,Invokeys Red Bean
42.1,0.13,0,Invokeys Red Bean
42,0.13,0,Invokeys Red Bean
42.1,0.135,0,Invokeys Red Bean
42.1,0.135,0,Invokeys Red Bean
42.2,0.14,0,Invokeys Red Bean
42.1,0.14,0,Invokeys Red Bean
42.1,0.145,0,Invokeys Red Bean
42.2,0.145,0,Invokeys Red Bean
