force,displacement,judge,name
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.005,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.005,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.005,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.005,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.01,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.01,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.015,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.015,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.02,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.02,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.025,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.025,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.025,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.03,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.03,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.03,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.03,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.035,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.035,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.035,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.035,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.04,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.04,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.045,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.05,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.05,0,Invokeys x Alas Daydreamer - 17000 Actuations
0,0.055,0,Invokeys x Alas Daydreamer - 17000 Actuations
2.8,0.06,0,Invokeys x Alas Daydreamer - 17000 Actuations
5.5,0.06,0,Invokeys x Alas Daydreamer - 17000 Actuations
7.6,0.065,0,Invokeys x Alas Daydreamer - 17000 Actuations
9,0.065,0,Invokeys x Alas Daydreamer - 17000 Actuations
10.1,0.065,0,Invokeys x Alas Daydreamer - 17000 Actuations
11.3,0.07,0,Invokeys x Alas Daydreamer - 17000 Actuations
12.5,0.07,0,Invokeys x Alas Daydreamer - 17000 Actuations
14,0.075,0,Invokeys x Alas Daydreamer - 17000 Actuations
15.4,0.075,0,Invokeys x Alas Daydreamer - 17000 Actuations
16.6,0.075,0,Invokeys x Alas Daydreamer - 17000 Actuations
17.9,0.08,0,Invokeys x Alas Daydreamer - 17000 Actuations
19.1,0.08,0,Invokeys x Alas Daydreamer - 17000 Actuations
20.3,0.08,0,Invokeys x Alas Daydreamer - 17000 Actuations
21.5,0.085,0,Invokeys x Alas Daydreamer - 17000 Actuations
22.9,0.085,0,Invokeys x Alas Daydreamer - 17000 Actuations
24.1,0.085,0,Invokeys x Alas Daydreamer - 17000 Actuations
25.3,0.09,0,Invokeys x Alas Daydreamer - 17000 Actuations
26.6,0.09,0,Invokeys x Alas Daydreamer - 17000 Actuations
28,0.095,0,Invokeys x Alas Daydreamer - 17000 Actuations
29.4,0.095,0,Invokeys x Alas Daydreamer - 17000 Actuations
30.6,0.095,0,Invokeys x Alas Daydreamer - 17000 Actuations
32,0.1,0,Invokeys x Alas Daydreamer - 17000 Actuations
32.6,0.1,0,Invokeys x Alas Daydreamer - 17000 Actuations
33.2,0.1,0,Invokeys x Alas Daydreamer - 17000 Actuations
34.3,0.1,0,Invokeys x Alas Daydreamer - 17000 Actuations
35.5,0.105,0,Invokeys x Alas Daydreamer - 17000 Actuations
36.7,0.105,0,Invokeys x Alas Daydreamer - 17000 Actuations
38.1,0.11,0,Invokeys x Alas Daydreamer - 17000 Actuations
40.2,0.115,0,Invokeys x Alas Daydreamer - 17000 Actuations
42.7,0.115,0,Invokeys x Alas Daydreamer - 17000 Actuations
45.1,0.12,0,Invokeys x Alas Daydreamer - 17000 Actuations
47.2,0.125,0,Invokeys x Alas Daydreamer - 17000 Actuations
49.3,0.13,0,Invokeys x Alas Daydreamer - 17000 Actuations
50.9,0.135,0,Invokeys x Alas Daydreamer - 17000 Actuations
52.7,0.14,0,Invokeys x Alas Daydreamer - 17000 Actuations
54.7,0.145,0,Invokeys x Alas Daydreamer - 17000 Actuations
56.7,0.15,0,Invokeys x Alas Daydreamer - 17000 Actuations
57,0.155,0,Invokeys x Alas Daydreamer - 17000 Actuations
57.2,0.16,0,Invokeys x Alas Daydreamer - 17000 Actuations
57.5,0.165,0,Invokeys x Alas Daydreamer - 17000 Actuations
58,0.17,0,Invokeys x Alas Daydreamer - 17000 Actuations
58.2,0.18,0,Invokeys x Alas Daydreamer - 17000 Actuations
58.4,0.185,0,Invokeys x Alas Daydreamer - 17000 Actuations
58.8,0.195,0,Invokeys x Alas Daydreamer - 17000 Actuations
58.9,0.2,0,Invokeys x Alas Daydreamer - 17000 Actuations
59.1,0.205,0,Invokeys x Alas Daydreamer - 17000 Actuations
