force,displacement,judge,name
0.1,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
-0.1,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0.1,0,0,Invokeys x Alas Daydreamer 2
0.1,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0,0,Invokeys x Alas Daydreamer 2
0,0.005,0,Invokeys x Alas Daydreamer 2
0,0.005,0,Invokeys x Alas Daydreamer 2
0,0.005,0,Invokeys x Alas Daydreamer 2
0,0.01,0,Invokeys x Alas Daydreamer 2
0,0.015,0,Invokeys x Alas Daydreamer 2
0,0.015,0,Invokeys x Alas Daydreamer 2
1.4,0.02,0,Invokeys x Alas Daydreamer 2
3.7,0.025,0,Invokeys x Alas Daydreamer 2
4.8,0.025,0,Invokeys x Alas Daydreamer 2
5.2,0.025,0,Invokeys x Alas Daydreamer 2
5.7,0.025,0,Invokeys x Alas Daydreamer 2
6.5,0.025,0,Invokeys x Alas Daydreamer 2
7.4,0.025,0,Invokeys x Alas Daydreamer 2
8.4,0.03,0,Invokeys x Alas Daydreamer 2
9.3,0.03,0,Invokeys x Alas Daydreamer 2
10.5,0.03,0,Invokeys x Alas Daydreamer 2
11.6,0.03,0,Invokeys x Alas Daydreamer 2
12.5,0.035,0,Invokeys x Alas Daydreamer 2
14.4,0.035,0,Invokeys x Alas Daydreamer 2
16.5,0.04,0,Invokeys x Alas Daydreamer 2
18,0.04,0,Invokeys x Alas Daydreamer 2
19.8,0.045,0,Invokeys x Alas Daydreamer 2
21.2,0.045,0,Invokeys x Alas Daydreamer 2
21.9,0.045,0,Invokeys x Alas Daydreamer 2
22.6,0.05,0,Invokeys x Alas Daydreamer 2
24.9,0.05,0,Invokeys x Alas Daydreamer 2
26.4,0.055,0,Invokeys x Alas Daydreamer 2
27.1,0.055,0,Invokeys x Alas Daydreamer 2
27.6,0.055,0,Invokeys x Alas Daydreamer 2
28.6,0.055,0,Invokeys x Alas Daydreamer 2
29.9,0.06,0,Invokeys x Alas Daydreamer 2
31.3,0.06,0,Invokeys x Alas Daydreamer 2
33.7,0.065,0,Invokeys x Alas Daydreamer 2
35.6,0.065,0,Invokeys x Alas Daydreamer 2
37.4,0.07,0,Invokeys x Alas Daydreamer 2
38.9,0.075,0,Invokeys x Alas Daydreamer 2
40.7,0.075,0,Invokeys x Alas Daydreamer 2
41.5,0.08,0,Invokeys x Alas Daydreamer 2
42.9,0.08,0,Invokeys x Alas Daydreamer 2
43.8,0.08,0,Invokeys x Alas Daydreamer 2
46.7,0.085,0,Invokeys x Alas Daydreamer 2
48.1,0.09,0,Invokeys x Alas Daydreamer 2
49.6,0.095,0,Invokeys x Alas Daydreamer 2
50.1,0.095,0,Invokeys x Alas Daydreamer 2
51.7,0.095,0,Invokeys x Alas Daydreamer 2
53.2,0.1,0,Invokeys x Alas Daydreamer 2
54.6,0.105,0,Invokeys x Alas Daydreamer 2
55.8,0.105,0,Invokeys x Alas Daydreamer 2
56.7,0.11,0,Invokeys x Alas Daydreamer 2
57.6,0.115,0,Invokeys x Alas Daydreamer 2
57.9,0.115,0,Invokeys x Alas Daydreamer 2
58.4,0.115,0,Invokeys x Alas Daydreamer 2
59,0.12,0,Invokeys x Alas Daydreamer 2
59.4,0.12,0,Invokeys x Alas Daydreamer 2
60.1,0.12,0,Invokeys x Alas Daydreamer 2
60.3,0.125,0,Invokeys x Alas Daydreamer 2
60.2,0.125,0,Invokeys x Alas Daydreamer 2
60.3,0.13,0,Invokeys x Alas Daydreamer 2
60.5,0.13,0,Invokeys x Alas Daydreamer 2
60.5,0.135,0,Invokeys x Alas Daydreamer 2
60.5,0.135,0,Invokeys x Alas Daydreamer 2
60.4,0.14,0,Invokeys x Alas Daydreamer 2
60.4,0.14,0,Invokeys x Alas Daydreamer 2
60.4,0.14,0,Invokeys x Alas Daydreamer 2
60.4,0.145,0,Invokeys x Alas Daydreamer 2
60.5,0.145,0,Invokeys x Alas Daydreamer 2
60.7,0.145,0,Invokeys x Alas Daydreamer 2
60.8,0.15,0,Invokeys x Alas Daydreamer 2
61,0.15,0,Invokeys x Alas Daydreamer 2
61,0.155,0,Invokeys x Alas Daydreamer 2
61.1,0.155,0,Invokeys x Alas Daydreamer 2
61.1,0.155,0,Invokeys x Alas Daydreamer 2
61.4,0.16,0,Invokeys x Alas Daydreamer 2
61.5,0.16,0,Invokeys x Alas Daydreamer 2
61.6,0.165,0,Invokeys x Alas Daydreamer 2
61.8,0.165,0,Invokeys x Alas Daydreamer 2
61.8,0.17,0,Invokeys x Alas Daydreamer 2
62,0.17,0,Invokeys x Alas Daydreamer 2
62,0.175,0,Invokeys x Alas Daydreamer 2
62.2,0.175,0,Invokeys x Alas Daydreamer 2
62.4,0.18,0,Invokeys x Alas Daydreamer 2
62.6,0.18,0,Invokeys x Alas Daydreamer 2
62.7,0.18,0,Invokeys x Alas Daydreamer 2
62.9,0.185,0,Invokeys x Alas Daydreamer 2
63.1,0.185,0,Invokeys x Alas Daydreamer 2
63.2,0.19,0,Invokeys x Alas Daydreamer 2
63.3,0.19,0,Invokeys x Alas Daydreamer 2
63.6,0.195,0,Invokeys x Alas Daydreamer 2
63.7,0.195,0,Invokeys x Alas Daydreamer 2
63.9,0.2,0,Invokeys x Alas Daydreamer 2
64.2,0.2,0,Invokeys x Alas Daydreamer 2
64.4,0.205,0,Invokeys x Alas Daydreamer 2
64.7,0.205,0,Invokeys x Alas Daydreamer 2
64.9,0.21,0,Invokeys x Alas Daydreamer 2
65.1,0.215,0,Invokeys x Alas Daydreamer 2
65.3,0.215,0,Invokeys x Alas Daydreamer 2
65.5,0.22,0,Invokeys x Alas Daydreamer 2
65.7,0.225,0,Invokeys x Alas Daydreamer 2
65.9,0.23,0,Invokeys x Alas Daydreamer 2
66.2,0.23,0,Invokeys x Alas Daydreamer 2
66.3,0.235,0,Invokeys x Alas Daydreamer 2
66.4,0.24,0,Invokeys x Alas Daydreamer 2
66.6,0.24,0,Invokeys x Alas Daydreamer 2
66.7,0.245,0,Invokeys x Alas Daydreamer 2
66.9,0.245,0,Invokeys x Alas Daydreamer 2
67.1,0.25,0,Invokeys x Alas Daydreamer 2
67.3,0.255,0,Invokeys x Alas Daydreamer 2
67.5,0.255,0,Invokeys x Alas Daydreamer 2
67.7,0.26,0,Invokeys x Alas Daydreamer 2
68,0.265,0,Invokeys x Alas Daydreamer 2
68.2,0.265,0,Invokeys x Alas Daydreamer 2
68.4,0.27,0,Invokeys x Alas Daydreamer 2
68.6,0.27,0,Invokeys x Alas Daydreamer 2
68.8,0.275,0,Invokeys x Alas Daydreamer 2
69.1,0.28,0,Invokeys x Alas Daydreamer 2
69.3,0.28,0,Invokeys x Alas Daydreamer 2
69.4,0.285,0,Invokeys x Alas Daydreamer 2
69.6,0.29,0,Invokeys x Alas Daydreamer 2
69.8,0.29,0,Invokeys x Alas Daydreamer 2
70,0.295,0,Invokeys x Alas Daydreamer 2
70.2,0.295,0,Invokeys x Alas Daydreamer 2
70.3,0.3,0,Invokeys x Alas Daydreamer 2
70.5,0.305,0,Invokeys x Alas Daydreamer 2
70.4,0.305,0,Invokeys x Alas Daydreamer 2
70.3,0.31,0,Invokeys x Alas Daydreamer 2
70,0.31,0,Invokeys x Alas Daydreamer 2
69.9,0.315,0,Invokeys x Alas Daydreamer 2
70.2,0.315,0,Invokeys x Alas Daydreamer 2
70.5,0.32,0,Invokeys x Alas Daydreamer 2
70.2,0.32,0,Invokeys x Alas Daydreamer 2
70.1,0.325,0,Invokeys x Alas Daydreamer 2
70.2,0.325,0,Invokeys x Alas Daydreamer 2
70.2,0.325,0,Invokeys x Alas Daydreamer 2
70.3,0.33,0,Invokeys x Alas Daydreamer 2
70.3,0.33,0,Invokeys x Alas Daydreamer 2
70.4,0.335,0,Invokeys x Alas Daydreamer 2
70.3,0.335,0,Invokeys x Alas Daydreamer 2
70.3,0.335,0,Invokeys x Alas Daydreamer 2
70.3,0.335,0,Invokeys x Alas Daydreamer 2
70.2,0.335,0,Invokeys x Alas Daydreamer 2
70.3,0.335,0,Invokeys x Alas Daydreamer 2
70.5,0.34,0,Invokeys x Alas Daydreamer 2
70.7,0.34,0,Invokeys x Alas Daydreamer 2
70.8,0.34,0,Invokeys x Alas Daydreamer 2
70.6,0.345,0,Invokeys x Alas Daydreamer 2
70.1,0.345,0,Invokeys x Alas Daydreamer 2
70.2,0.345,0,Invokeys x Alas Daydreamer 2
70.3,0.35,0,Invokeys x Alas Daydreamer 2
70.2,0.35,0,Invokeys x Alas Daydreamer 2
70.2,0.35,0,Invokeys x Alas Daydreamer 2
70.2,0.355,0,Invokeys x Alas Daydreamer 2
70.3,0.355,0,Invokeys x Alas Daydreamer 2
70.4,0.36,0,Invokeys x Alas Daydreamer 2
70.7,0.365,0,Invokeys x Alas Daydreamer 2
70.4,0.375,0,Invokeys x Alas Daydreamer 2
70,0.38,0,Invokeys x Alas Daydreamer 2
69.5,0.38,0,Invokeys x Alas Daydreamer 2
69.4,0.385,0,Invokeys x Alas Daydreamer 2
69.5,0.385,0,Invokeys x Alas Daydreamer 2
69.3,0.39,0,Invokeys x Alas Daydreamer 2
69.4,0.39,0,Invokeys x Alas Daydreamer 2
69.3,0.395,0,Invokeys x Alas Daydreamer 2
69.3,0.395,0,Invokeys x Alas Daydreamer 2
69.1,0.395,0,Invokeys x Alas Daydreamer 2
69.1,0.4,0,Invokeys x Alas Daydreamer 2
68.9,0.4,0,Invokeys x Alas Daydreamer 2
69,0.4,0,Invokeys x Alas Daydreamer 2
69.1,0.405,0,Invokeys x Alas Daydreamer 2
69.1,0.405,0,Invokeys x Alas Daydreamer 2
69.2,0.405,0,Invokeys x Alas Daydreamer 2
69.1,0.41,0,Invokeys x Alas Daydreamer 2
69.1,0.415,0,Invokeys x Alas Daydreamer 2
69,0.415,0,Invokeys x Alas Daydreamer 2
68.8,0.42,0,Invokeys x Alas Daydreamer 2
68.8,0.42,0,Invokeys x Alas Daydreamer 2
68.8,0.425,0,Invokeys x Alas Daydreamer 2
68.7,0.425,0,Invokeys x Alas Daydreamer 2
68.3,0.43,0,Invokeys x Alas Daydreamer 2
68,0.435,0,Invokeys x Alas Daydreamer 2
67.8,0.435,0,Invokeys x Alas Daydreamer 2
67.7,0.435,0,Invokeys x Alas Daydreamer 2
68.1,0.44,0,Invokeys x Alas Daydreamer 2
67.9,0.445,0,Invokeys x Alas Daydreamer 2
67.7,0.445,0,Invokeys x Alas Daydreamer 2
