force,displacement,judge,name
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0.1,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0,0,Invokeys x Alas Daydreamer
0,0.005,0,Invokeys x Alas Daydreamer
1,0.005,0,Invokeys x Alas Daydreamer
2.2,0.005,0,Invokeys x Alas Daydreamer
3.6,0.005,0,Invokeys x Alas Daydreamer
5,0.01,0,Invokeys x Alas Daydreamer
6.3,0.01,0,Invokeys x Alas Daydreamer
7.5,0.01,0,Invokeys x Alas Daydreamer
8.6,0.015,0,Invokeys x Alas Daydreamer
9.6,0.015,0,Invokeys x Alas Daydreamer
10.6,0.015,0,Invokeys x Alas Daydreamer
11.6,0.015,0,Invokeys x Alas Daydreamer
12.4,0.02,0,Invokeys x Alas Daydreamer
13,0.02,0,Invokeys x Alas Daydreamer
13.6,0.02,0,Invokeys x Alas Daydreamer
14.4,0.02,0,Invokeys x Alas Daydreamer
15.1,0.02,0,Invokeys x Alas Daydreamer
15.8,0.025,0,Invokeys x Alas Daydreamer
16.4,0.025,0,Invokeys x Alas Daydreamer
17.3,0.025,0,Invokeys x Alas Daydreamer
18,0.025,0,Invokeys x Alas Daydreamer
18.8,0.025,0,Invokeys x Alas Daydreamer
19.6,0.03,0,Invokeys x Alas Daydreamer
