force,displacement,judge,name
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.005,0,JKDK Crimson
0,0.01,0,JKDK Crimson
0,0.01,0,JKDK Crimson
0,0.01,0,JKDK Crimson
0,0.015,0,JKDK Crimson
0,0.015,0,JKDK Crimson
0,0.015,0,JKDK Crimson
0,0.015,0,JKDK Crimson
0,0.015,0,JKDK Crimson
0,0.02,0,JKDK Crimson
0,0.02,0,JKDK Crimson
0,0.02,0,JKDK Crimson
0,0.02,0,JKDK Crimson
0,0.02,0,JKDK Crimson
0,0.025,0,JKDK Crimson
0,0.025,0,JKDK Crimson
0,0.025,0,JKDK Crimson
0,0.025,0,JKDK Crimson
0,0.03,0,JKDK Crimson
0,0.03,0,JKDK Crimson
0,0.03,0,JKDK Crimson
0,0.035,0,JKDK Crimson
0,0.035,0,JKDK Crimson
0,0.04,0,JKDK Crimson
0.1,0.04,0,JKDK Crimson
2.1,0.04,0,JKDK Crimson
4.1,0.045,0,JKDK Crimson
5.9,0.045,0,JKDK Crimson
7.5,0.05,0,JKDK Crimson
9,0.05,0,JKDK Crimson
10.3,0.05,0,JKDK Crimson
11.2,0.05,0,JKDK Crimson
11.8,0.055,0,JKDK Crimson
12.6,0.055,0,JKDK Crimson
13.2,0.055,0,JKDK Crimson
14,0.055,0,JKDK Crimson
15,0.055,0,JKDK Crimson
16.1,0.06,0,JKDK Crimson
17,0.06,0,JKDK Crimson
17.8,0.06,0,JKDK Crimson
18.7,0.06,0,JKDK Crimson
19.5,0.065,0,JKDK Crimson
20.2,0.065,0,JKDK Crimson
20.9,0.065,0,JKDK Crimson
22,0.065,0,JKDK Crimson
22.9,0.07,0,JKDK Crimson
23.9,0.07,0,JKDK Crimson
24.8,0.07,0,JKDK Crimson
25.9,0.075,0,JKDK Crimson
26.6,0.075,0,JKDK Crimson
27.4,0.075,0,JKDK Crimson
28.4,0.08,0,JKDK Crimson
29.4,0.08,0,JKDK Crimson
30.6,0.08,0,JKDK Crimson
31.6,0.085,0,JKDK Crimson
32.6,0.085,0,JKDK Crimson
33.7,0.085,0,JKDK Crimson
34.9,0.09,0,JKDK Crimson
36.1,0.09,0,JKDK Crimson
37.5,0.095,0,JKDK Crimson
39,0.095,0,JKDK Crimson
40.5,0.1,0,JKDK Crimson
41.9,0.1,0,JKDK Crimson
43.3,0.105,0,JKDK Crimson
44.5,0.105,0,JKDK Crimson
45.6,0.11,0,JKDK Crimson
46.8,0.11,0,JKDK Crimson
47.8,0.115,0,JKDK Crimson
48.9,0.115,0,JKDK Crimson
49.7,0.12,0,JKDK Crimson
50.1,0.12,0,JKDK Crimson
50.2,0.125,0,JKDK Crimson
50.1,0.125,0,JKDK Crimson
50.1,0.13,0,JKDK Crimson
50.2,0.13,0,JKDK Crimson
50.1,0.135,0,JKDK Crimson
50.3,0.135,0,JKDK Crimson
50.4,0.14,0,JKDK Crimson
50.5,0.145,0,JKDK Crimson
50.6,0.145,0,JKDK Crimson
50.7,0.15,0,JKDK Crimson
50.8,0.15,0,JKDK Crimson
51,0.155,0,JKDK Crimson
51.1,0.16,0,JKDK Crimson
51.2,0.16,0,JKDK Crimson
51.5,0.165,0,JKDK Crimson
51.6,0.165,0,JKDK Crimson
51.8,0.17,0,JKDK Crimson
52,0.17,0,JKDK Crimson
52.2,0.175,0,JKDK Crimson
52.5,0.18,0,JKDK Crimson
52.8,0.185,0,JKDK Crimson
53.2,0.19,0,JKDK Crimson
53.4,0.195,0,JKDK Crimson
53.7,0.2,0,JKDK Crimson
53.9,0.205,0,JKDK Crimson
54.4,0.21,0,JKDK Crimson
54.9,0.22,0,JKDK Crimson
55.6,0.23,0,JKDK Crimson
56.1,0.24,0,JKDK Crimson
56.5,0.245,0,JKDK Crimson
57,0.255,0,JKDK Crimson
57.3,0.26,0,JKDK Crimson
57.8,0.265,0,JKDK Crimson
58,0.27,0,JKDK Crimson
58.1,0.275,0,JKDK Crimson
58.3,0.28,0,JKDK Crimson
58.5,0.28,0,JKDK Crimson
58.7,0.285,0,JKDK Crimson
58.9,0.29,0,JKDK Crimson
59.2,0.29,0,JKDK Crimson
59.4,0.295,0,JKDK Crimson
59.6,0.295,0,JKDK Crimson
59.7,0.3,0,JKDK Crimson
59.8,0.305,0,JKDK Crimson
59.8,0.305,0,JKDK Crimson
59.9,0.31,0,JKDK Crimson
60,0.31,0,JKDK Crimson
60,0.315,0,JKDK Crimson
60.1,0.315,0,JKDK Crimson
60.3,0.32,0,JKDK Crimson
60.4,0.32,0,JKDK Crimson
60.4,0.325,0,JKDK Crimson
60.4,0.325,0,JKDK Crimson
60.4,0.33,0,JKDK Crimson
60.5,0.335,0,JKDK Crimson
60.6,0.34,0,JKDK Crimson
60.5,0.34,0,JKDK Crimson
60.6,0.345,0,JKDK Crimson
60.7,0.35,0,JKDK Crimson
60.6,0.35,0,JKDK Crimson
60.7,0.355,0,JKDK Crimson
60.6,0.36,0,JKDK Crimson
60.5,0.36,0,JKDK Crimson
60.4,0.365,0,JKDK Crimson
60.5,0.37,0,JKDK Crimson
60.6,0.37,0,JKDK Crimson
60.6,0.375,0,JKDK Crimson
60.6,0.38,0,JKDK Crimson
60.5,0.38,0,JKDK Crimson
60.5,0.385,0,JKDK Crimson
60.5,0.385,0,JKDK Crimson
60.7,0.39,0,JKDK Crimson
60.7,0.39,0,JKDK Crimson
60.5,0.395,0,JKDK Crimson
60.6,0.395,0,JKDK Crimson
60.6,0.395,0,JKDK Crimson
60.7,0.4,0,JKDK Crimson
60.9,0.4,0,JKDK Crimson
60.8,0.405,0,JKDK Crimson
60.6,0.41,0,JKDK Crimson
60.6,0.41,0,JKDK Crimson
60.6,0.415,0,JKDK Crimson
60.7,0.415,0,JKDK Crimson
60.6,0.42,0,JKDK Crimson
60.7,0.42,0,JKDK Crimson
60.4,0.425,0,JKDK Crimson
60.4,0.43,0,JKDK Crimson
60.6,0.43,0,JKDK Crimson
60.5,0.435,0,JKDK Crimson
60.7,0.44,0,JKDK Crimson
60.6,0.44,0,JKDK Crimson
60.6,0.445,0,JKDK Crimson
60.8,0.445,0,JKDK Crimson
60.6,0.45,0,JKDK Crimson
60.6,0.455,0,JKDK Crimson
60.6,0.455,0,JKDK Crimson
60.6,0.46,0,JKDK Crimson
60.8,0.46,0,JKDK Crimson
60.7,0.465,0,JKDK Crimson
60.7,0.465,0,JKDK Crimson
61,0.47,0,JKDK Crimson
60.9,0.475,0,JKDK Crimson
60.8,0.48,0,JKDK Crimson
60.7,0.485,0,JKDK Crimson
60.9,0.49,0,JKDK Crimson
61.1,0.495,0,JKDK Crimson
60.9,0.5,0,JKDK Crimson
60.9,0.505,0,JKDK Crimson
60.8,0.51,0,JKDK Crimson
60.8,0.51,0,JKDK Crimson
60.6,0.515,0,JKDK Crimson
60.5,0.515,0,JKDK Crimson
60.5,0.52,0,JKDK Crimson
60.5,0.52,0,JKDK Crimson
60.4,0.525,0,JKDK Crimson
60.3,0.525,0,JKDK Crimson
60.2,0.53,0,JKDK Crimson
60.2,0.53,0,JKDK Crimson
60.2,0.535,0,JKDK Crimson
60.3,0.54,0,JKDK Crimson
60.2,0.54,0,JKDK Crimson
60.1,0.545,0,JKDK Crimson
60,0.55,0,JKDK Crimson
59.6,0.555,0,JKDK Crimson
59.3,0.555,0,JKDK Crimson
59,0.56,0,JKDK Crimson
58.9,0.56,0,JKDK Crimson
58.8,0.565,0,JKDK Crimson
58.9,0.565,0,JKDK Crimson
58.8,0.57,0,JKDK Crimson
58.6,0.575,0,JKDK Crimson
58.5,0.575,0,JKDK Crimson
58.3,0.58,0,JKDK Crimson
58.1,0.58,0,JKDK Crimson
58,0.585,0,JKDK Crimson
57.9,0.585,0,JKDK Crimson
57.9,0.59,0,JKDK Crimson
58,0.59,0,JKDK Crimson
57.8,0.595,0,JKDK Crimson
57.7,0.595,0,JKDK Crimson
57.6,0.6,0,JKDK Crimson
57.6,0.6,0,JKDK Crimson
57.4,0.605,0,JKDK Crimson
57.3,0.605,0,JKDK Crimson
57.1,0.605,0,JKDK Crimson
57.2,0.61,0,JKDK Crimson
57.3,0.61,0,JKDK Crimson
57.2,0.61,0,JKDK Crimson
57.1,0.615,0,JKDK Crimson
57,0.615,0,JKDK Crimson
57,0.62,0,JKDK Crimson
57,0.62,0,JKDK Crimson
56.9,0.625,0,JKDK Crimson
56.9,0.625,0,JKDK Crimson
56.8,0.63,0,JKDK Crimson
56.8,0.63,0,JKDK Crimson
56.7,0.635,0,JKDK Crimson
56.6,0.635,0,JKDK Crimson
56.4,0.64,0,JKDK Crimson
56.3,0.64,0,JKDK Crimson
56.3,0.64,0,JKDK Crimson
56.1,0.645,0,JKDK Crimson
56,0.645,0,JKDK Crimson
55.8,0.65,0,JKDK Crimson
55.7,0.65,0,JKDK Crimson
55.8,0.65,0,JKDK Crimson
55.6,0.655,0,JKDK Crimson
55.5,0.655,0,JKDK Crimson
55.4,0.66,0,JKDK Crimson
55.2,0.66,0,JKDK Crimson
55.1,0.66,0,JKDK Crimson
55.1,0.665,0,JKDK Crimson
55,0.665,0,JKDK Crimson
54.8,0.67,0,JKDK Crimson
54.6,0.67,0,JKDK Crimson
54.5,0.675,0,JKDK Crimson
54.5,0.68,0,JKDK Crimson
54.3,0.68,0,JKDK Crimson
54.1,0.685,0,JKDK Crimson
54,0.69,0,JKDK Crimson
53.9,0.695,0,JKDK Crimson
53.6,0.695,0,JKDK Crimson
53.5,0.7,0,JKDK Crimson
53.4,0.705,0,JKDK Crimson
53.3,0.705,0,JKDK Crimson
53.2,0.71,0,JKDK Crimson
53.1,0.71,0,JKDK Crimson
52.9,0.715,0,JKDK Crimson
53,0.715,0,JKDK Crimson
53,0.715,0,JKDK Crimson
53,0.72,0,JKDK Crimson
52.9,0.72,0,JKDK Crimson
52.9,0.725,0,JKDK Crimson
52.9,0.725,0,JKDK Crimson
53,0.73,0,JKDK Crimson
53.1,0.735,0,JKDK Crimson
53,0.74,0,JKDK Crimson
53,0.74,0,JKDK Crimson
53,0.745,0,JKDK Crimson
52.9,0.75,0,JKDK Crimson
52.9,0.755,0,JKDK Crimson
52.7,0.755,0,JKDK Crimson
52.5,0.76,0,JKDK Crimson
52.2,0.76,0,JKDK Crimson
52.1,0.765,0,JKDK Crimson
52.1,0.765,0,JKDK Crimson
52,0.77,0,JKDK Crimson
51.8,0.77,0,JKDK Crimson
51.6,0.775,0,JKDK Crimson
51.6,0.78,0,JKDK Crimson
51.3,0.78,0,JKDK Crimson
51.2,0.785,0,JKDK Crimson
51.4,0.785,0,JKDK Crimson
51.3,0.79,0,JKDK Crimson
51.1,0.795,0,JKDK Crimson
50.8,0.8,0,JKDK Crimson
50.4,0.8,0,JKDK Crimson
50.3,0.805,0,JKDK Crimson
50.2,0.805,0,JKDK Crimson
50,0.81,0,JKDK Crimson
50.1,0.81,0,JKDK Crimson
49.9,0.815,0,JKDK Crimson
49.9,0.815,0,JKDK Crimson
49.9,0.82,0,JKDK Crimson
49.9,0.82,0,JKDK Crimson
49.8,0.82,0,JKDK Crimson
50,0.825,0,JKDK Crimson
49.7,0.825,0,JKDK Crimson
49.6,0.83,0,JKDK Crimson
50,0.83,0,JKDK Crimson
49.9,0.835,0,JKDK Crimson
49.5,0.84,0,JKDK Crimson
49.2,0.845,0,JKDK Crimson
49.4,0.845,0,JKDK Crimson
49.4,0.85,0,JKDK Crimson
49.3,0.855,0,JKDK Crimson
49.2,0.86,0,JKDK Crimson
49,0.865,0,JKDK Crimson
48.9,0.875,0,JKDK Crimson
48.3,0.88,0,JKDK Crimson
47.5,0.885,0,JKDK Crimson
