force,displacement,judge,name
0,0,0,JWICK T1
0,0,0,JWICK T1
0,0,0,JWICK T1
-0.2,0,0,JWICK T1
-0.1,0,0,JWICK T1
0.1,0,0,JWICK T1
0,0,0,JWICK T1
0.1,0,0,JWICK T1
-0.2,0,0,JWICK T1
-0.1,0,0,JWICK T1
0,0,0,JWICK T1
-0.1,0,0,JWICK T1
0,0,0,JWICK T1
0,0,0,JWICK T1
0.1,0,0,JWICK T1
0,0,0,JWICK T1
-0.1,0.005,0,JWICK T1
0.1,0.005,0,JWICK T1
0,0.01,0,JWICK T1
0.1,0.01,0,JWICK T1
0.1,0.015,0,JWICK T1
0.2,0.015,0,JWICK T1
0,0.02,0,JWICK T1
-0.1,0.02,0,JWICK T1
0,0.025,0,JWICK T1
0.1,0.03,0,JWICK T1
0,0.03,0,JWICK T1
0.1,0.035,0,JWICK T1
0.1,0.035,0,JWICK T1
0.1,0.04,0,JWICK T1
-0.1,0.045,0,JWICK T1
0,0.05,0,JWICK T1
0.1,0.055,0,JWICK T1
0,0.06,0,JWICK T1
0,0.065,0,JWICK T1
0.1,0.07,0,JWICK T1
0,0.075,0,JWICK T1
5,0.08,0,JWICK T1
10.3,0.085,0,JWICK T1
14.7,0.09,0,JWICK T1
18.5,0.095,0,JWICK T1
22,0.1,0,JWICK T1
24.8,0.1,0,JWICK T1
27.4,0.105,0,JWICK T1
29.8,0.105,0,JWICK T1
32.1,0.11,0,JWICK T1
33.8,0.11,0,JWICK T1
35.2,0.115,0,JWICK T1
36.5,0.115,0,JWICK T1
37.9,0.12,0,JWICK T1
38.8,0.12,0,JWICK T1
39,0.125,0,JWICK T1
39.6,0.125,0,JWICK T1
40,0.13,0,JWICK T1
40.1,0.13,0,JWICK T1
40.1,0.13,0,JWICK T1
40.2,0.135,0,JWICK T1
40.3,0.135,0,JWICK T1
40.5,0.135,0,JWICK T1
40.8,0.14,0,JWICK T1
40.9,0.14,0,JWICK T1
40.9,0.14,0,JWICK T1
41.1,0.145,0,JWICK T1
41.4,0.145,0,JWICK T1
42,0.15,0,JWICK T1
42,0.15,0,JWICK T1
41.8,0.15,0,JWICK T1
41.9,0.155,0,JWICK T1
41.8,0.155,0,JWICK T1
41.9,0.155,0,JWICK T1
42,0.155,0,JWICK T1
42.1,0.155,0,JWICK T1
42.2,0.155,0,JWICK T1
42.2,0.16,0,JWICK T1
42.4,0.16,0,JWICK T1
42.5,0.16,0,JWICK T1
42.7,0.16,0,JWICK T1
43,0.16,0,JWICK T1
43.2,0.165,0,JWICK T1
43.3,0.165,0,JWICK T1
43.4,0.165,0,JWICK T1
43.4,0.165,0,JWICK T1
43.5,0.17,0,JWICK T1
43.7,0.17,0,JWICK T1
43.7,0.17,0,JWICK T1
43.8,0.175,0,JWICK T1
44,0.175,0,JWICK T1
44.2,0.175,0,JWICK T1
44.3,0.18,0,JWICK T1
44.5,0.18,0,JWICK T1
44.5,0.18,0,JWICK T1
44.7,0.185,0,JWICK T1
44.9,0.185,0,JWICK T1
45.1,0.19,0,JWICK T1
45.1,0.19,0,JWICK T1
45.1,0.195,0,JWICK T1
45.1,0.195,0,JWICK T1
45.2,0.195,0,JWICK T1
45.3,0.2,0,JWICK T1
45.5,0.205,0,JWICK T1
45.8,0.205,0,JWICK T1
46,0.21,0,JWICK T1
46,0.21,0,JWICK T1
46,0.215,0,JWICK T1
46.1,0.215,0,JWICK T1
46.2,0.22,0,JWICK T1
46.4,0.22,0,JWICK T1
46.4,0.225,0,JWICK T1
46.3,0.225,0,JWICK T1
46.5,0.23,0,JWICK T1
47,0.23,0,JWICK T1
47.2,0.235,0,JWICK T1
47.1,0.24,0,JWICK T1
47.3,0.24,0,JWICK T1
47.5,0.245,0,JWICK T1
47.6,0.245,0,JWICK T1
47.5,0.245,0,JWICK T1
47.8,0.25,0,JWICK T1
48,0.25,0,JWICK T1
48.3,0.255,0,JWICK T1
48.5,0.26,0,JWICK T1
48.6,0.265,0,JWICK T1
48.6,0.265,0,JWICK T1
48.7,0.27,0,JWICK T1
48.7,0.275,0,JWICK T1
49,0.28,0,JWICK T1
49.5,0.28,0,JWICK T1
49.7,0.285,0,JWICK T1
49.9,0.29,0,JWICK T1
49.9,0.29,0,JWICK T1
50.1,0.295,0,JWICK T1
50.2,0.3,0,JWICK T1
50.4,0.305,0,JWICK T1
50.6,0.305,0,JWICK T1
51,0.31,0,JWICK T1
51.6,0.315,0,JWICK T1
52.1,0.32,0,JWICK T1
52.3,0.325,0,JWICK T1
52.6,0.33,0,JWICK T1
52.9,0.33,0,JWICK T1
53.2,0.335,0,JWICK T1
53.4,0.34,0,JWICK T1
53.8,0.34,0,JWICK T1
54,0.345,0,JWICK T1
54.1,0.35,0,JWICK T1
54.4,0.35,0,JWICK T1
54.5,0.355,0,JWICK T1
