force,displacement,judge,name
-0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
0.1,0,0,JWICK Taro
0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
0,0,0,JWICK Taro
0,0,0,JWICK Taro
0.1,0,0,JWICK Taro
0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
0,0,0,JWICK Taro
-0.1,0,0,JWICK Taro
0,0.005,0,JWICK Taro
0.9,0.005,0,JWICK Taro
2.2,0.005,0,JWICK Taro
4,0.01,0,JWICK Taro
6.6,0.01,0,JWICK Taro
8.2,0.01,0,JWICK Taro
9.9,0.015,0,JWICK Taro
10.9,0.015,0,JWICK Taro
11.8,0.015,0,JWICK Taro
12.6,0.015,0,JWICK Taro
13.6,0.02,0,JWICK Taro
14.8,0.02,0,JWICK Taro
16.4,0.02,0,JWICK Taro
17.9,0.02,0,JWICK Taro
19.2,0.025,0,JWICK Taro
20.4,0.025,0,JWICK Taro
21.9,0.025,0,JWICK Taro
23.9,0.03,0,JWICK Taro
26.6,0.03,0,JWICK Taro
29.2,0.035,0,JWICK Taro
31.2,0.035,0,JWICK Taro
33,0.04,0,JWICK Taro
34.3,0.04,0,JWICK Taro
35,0.04,0,JWICK Taro
35.2,0.045,0,JWICK Taro
35.3,0.045,0,JWICK Taro
35.4,0.045,0,JWICK Taro
35.7,0.045,0,JWICK Taro
36,0.05,0,JWICK Taro
36.4,0.05,0,JWICK Taro
36.8,0.05,0,JWICK Taro
37,0.055,0,JWICK Taro
37.3,0.055,0,JWICK Taro
37.6,0.055,0,JWICK Taro
37.9,0.06,0,JWICK Taro
38.3,0.06,0,JWICK Taro
38.7,0.065,0,JWICK Taro
39.1,0.065,0,JWICK Taro
39.6,0.07,0,JWICK Taro
40,0.07,0,JWICK Taro
40.4,0.075,0,JWICK Taro
40.5,0.08,0,JWICK Taro
40.4,0.08,0,JWICK Taro
40.5,0.085,0,JWICK Taro
40.7,0.085,0,JWICK Taro
40.9,0.09,0,JWICK Taro
40.9,0.095,0,JWICK Taro
41.1,0.095,0,JWICK Taro
41.1,0.1,0,JWICK Taro
41.3,0.105,0,JWICK Taro
41.3,0.11,0,JWICK Taro
41.5,0.115,0,JWICK Taro
41.4,0.12,0,JWICK Taro
41.5,0.125,0,JWICK Taro
41.6,0.13,0,JWICK Taro
41.6,0.13,0,JWICK Taro
41.7,0.135,0,JWICK Taro
41.8,0.135,0,JWICK Taro
42.1,0.14,0,JWICK Taro
42.3,0.145,0,JWICK Taro
42.3,0.145,0,JWICK Taro
42.5,0.15,0,JWICK Taro
42.6,0.155,0,JWICK Taro
42.7,0.155,0,JWICK Taro
43.1,0.16,0,JWICK Taro
43.2,0.165,0,JWICK Taro
43.3,0.17,0,JWICK Taro
43.2,0.17,0,JWICK Taro
43.2,0.175,0,JWICK Taro
43.5,0.175,0,JWICK Taro
43.5,0.18,0,JWICK Taro
43.6,0.18,0,JWICK Taro
43.9,0.185,0,JWICK Taro
43.9,0.19,0,JWICK Taro
44.1,0.19,0,JWICK Taro
