force,displacement,judge,name
0.1,0,0,JWICK Ultimate Black
-0.1,0,0,JWICK Ultimate Black
0.1,0,0,JWICK Ultimate Black
0.1,0,0,JWICK Ultimate Black
0.2,0,0,JWICK Ultimate Black
0,0,0,JWICK Ultimate Black
-0.1,0,0,JWICK Ultimate Black
0,0,0,JWICK Ultimate Black
0,0,0,JWICK Ultimate Black
0.1,0,0,JWICK Ultimate Black
0.2,0,0,JWICK Ultimate Black
0.1,0,0,JWICK Ultimate Black
-0.1,0,0,JWICK Ultimate Black
0,0,0,JWICK Ultimate Black
0,0,0,JWICK Ultimate Black
0,0,0,JWICK Ultimate Black
0.1,0,0,JWICK Ultimate Black
0.1,0,0,JWICK Ultimate Black
0.1,0.005,0,JWICK Ultimate Black
0.1,0.005,0,JWICK Ultimate Black
0,0.01,0,JWICK Ultimate Black
-0.1,0.01,0,JWICK Ultimate Black
0,0.01,0,JWICK Ultimate Black
0.1,0.015,0,JWICK Ultimate Black
0,0.02,0,JWICK Ultimate Black
0.1,0.025,0,JWICK Ultimate Black
0.1,0.025,0,JWICK Ultimate Black
0,0.03,0,JWICK Ultimate Black
0,0.03,0,JWICK Ultimate Black
0,0.035,0,JWICK Ultimate Black
0.1,0.035,0,JWICK Ultimate Black
0.1,0.035,0,JWICK Ultimate Black
0.1,0.04,0,JWICK Ultimate Black
0.1,0.04,0,JWICK Ultimate Black
0,0.045,0,JWICK Ultimate Black
0,0.045,0,JWICK Ultimate Black
0,0.05,0,JWICK Ultimate Black
0.1,0.055,0,JWICK Ultimate Black
0.1,0.055,0,JWICK Ultimate Black
0.1,0.06,0,JWICK Ultimate Black
0,0.065,0,JWICK Ultimate Black
0.1,0.07,0,JWICK Ultimate Black
0,0.075,0,JWICK Ultimate Black
0,0.08,0,JWICK Ultimate Black
-0.1,0.085,0,JWICK Ultimate Black
4.3,0.09,0,JWICK Ultimate Black
10.5,0.1,0,JWICK Ultimate Black
16.5,0.105,0,JWICK Ultimate Black
20.8,0.11,0,JWICK Ultimate Black
24.3,0.115,0,JWICK Ultimate Black
27.9,0.12,0,JWICK Ultimate Black
30.6,0.125,0,JWICK Ultimate Black
31.3,0.13,0,JWICK Ultimate Black
31.9,0.14,0,JWICK Ultimate Black
31.5,0.145,0,JWICK Ultimate Black
31.3,0.15,0,JWICK Ultimate Black
31.6,0.155,0,JWICK Ultimate Black
32.7,0.16,0,JWICK Ultimate Black
34,0.165,0,JWICK Ultimate Black
34.1,0.17,0,JWICK Ultimate Black
34,0.175,0,JWICK Ultimate Black
34.1,0.175,0,JWICK Ultimate Black
34.1,0.18,0,JWICK Ultimate Black
34,0.185,0,JWICK Ultimate Black
33.8,0.185,0,JWICK Ultimate Black
33.9,0.19,0,JWICK Ultimate Black
33.9,0.19,0,JWICK Ultimate Black
33.9,0.195,0,JWICK Ultimate Black
33.9,0.2,0,JWICK Ultimate Black
33.8,0.2,0,JWICK Ultimate Black
33.8,0.205,0,JWICK Ultimate Black
33.8,0.205,0,JWICK Ultimate Black
33.8,0.21,0,JWICK Ultimate Black
33.7,0.21,0,JWICK Ultimate Black
33.7,0.215,0,JWICK Ultimate Black
33.7,0.215,0,JWICK Ultimate Black
33.8,0.215,0,JWICK Ultimate Black
33.7,0.22,0,JWICK Ultimate Black
33.8,0.22,0,JWICK Ultimate Black
33.8,0.22,0,JWICK Ultimate Black
33.8,0.225,0,JWICK Ultimate Black
33.7,0.225,0,JWICK Ultimate Black
33.7,0.23,0,JWICK Ultimate Black
33.7,0.23,0,JWICK Ultimate Black
33.7,0.23,0,JWICK Ultimate Black
33.3,0.235,0,JWICK Ultimate Black
33.5,0.235,0,JWICK Ultimate Black
33.5,0.235,0,JWICK Ultimate Black
33.5,0.235,0,JWICK Ultimate Black
33.5,0.235,0,JWICK Ultimate Black
